	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z
1	14.38	13.20	12.63	13.35	12.86	16.39
2	14.23	12.99	12.58	13.04	12.69	16.39
3	13.91	12.59	12.34	12.60	12.39	16.39
4	13.42	12.04	11.92	12.07	11.97	16.39
5	12.80	11.39	11.34	11.50	11.49	16.39
6	12.11	10.72	10.69	10.95	11.01	16.39
7	11.43	10.12	10.06	10.46	10.60	16.39
8	10.85	9.65	9.53	10.07	10.33	16.39
9	10.41	9.35	9.18	9.79	10.20	16.39
10	10.16	9.23	9.02	9.62	10.20	16.39
11	10.08	9.29	9.05	9.55	10.30	16.39
12	10.16	9.51	9.23	9.60	10.46	16.39
13	10.37	9.87	9.53	9.74	10.66	16.39
14	10.68	10.32	9.89	9.97	10.86	16.39
15	11.07	10.84	10.30	10.26	11.04	16.39
16	11.51	11.39	10.72	10.60	11.22	16.39
17	11.99	11.93	11.15	10.97	11.39	16.39
18	12.48	12.44	11.59	11.34	11.55	16.39
19	12.95	12.90	12.04	11.71	11.71	16.39
20	13.39	13.29	12.50	12.04	11.85	16.39
21	13.76	13.60	12.95	12.33	11.97	16.39
22	14.06	13.84	13.37	12.56	12.04	16.39
23	14.27	14.03	13.77	12.72	12.06	16.39
24	14.41	14.18	14.12	12.84	12.01	16.39
25	14.49	14.32	14.44	12.91	11.91	16.39
26	14.54	14.47	14.73	12.96	11.78	16.39
27	14.59	14.62	15.00	12.99	11.63	16.39
