	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	8.1	6.4	13.2	4.3	5.5	7.3	6.8	7.3	5.3	7.4	4.1	6.4
2	7.1	12.9	18.5	5.9	5.7	6.5	7.0	7.1	5.2	8.9	4.9	7.6
3	8.8	15.5	21.9	9.1	7.0	7.7	5.4	7.4	7.0	16.9	5.6	13.0
4	10.5	28.3	25.7	9.3	7.3	7.9	11.8	11.0	13.3	20.9	16.5	20.3
5	17.8	30.5	26.4	11.7	10.1	8.5	12.0	12.3	14.0	22.0	19.0	21.7
6	19.4	40.0	29.7	13.3	10.6	11.8	12.4	12.7	16.2	23.8	19.4	22.1
7	26.0	41.1	28.9	18.9	12.9	12.3	12.2	14.3	19.0	24.4	19.5	22.8
8	26.3	43.6	26.8	25.9	13.7	15.1	14.7	18.2	20.2	21.8	19.8	22.3
9	30.0	51.6	26.3	39.2	14.7	15.5	15.1	18.4	17.9	17.5	15.1	14.3
10	30.9	49.6	25.4	39.8	14.9	15.7	12.2	18.5	16.3	13.7	12.7	11.8
11	30.8	49.5	26.8	39.9	13.9	17.5	16.5	17.6	13.9	12.2	11.2	12.1
