	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X
1	29.42	24.81	0.00
2	27.01	22.75	0.00
3	24.06	20.30	0.00
4	20.70	17.58	0.00
5	17.14	14.76	0.00
6	13.63	12.02	0.00
7	10.40	9.50	0.00
8	7.57	7.29	0.00
9	5.25	5.47	0.00
10	3.47	4.06	0.00
11	2.20	3.04	0.00
12	1.37	2.35	0.00
13	0.89	1.91	0.00
14	0.64	1.67	0.00
15	0.54	1.55	0.00
16	0.53	1.50	0.00
17	0.55	1.48	0.00
18	0.59	1.48	0.00
19	0.62	1.49	0.00
20	0.64	1.49	0.00
21	0.65	1.49	0.00
22	0.66	1.49	0.00
23	0.65	1.48	0.00
24	0.65	1.46	0.00
25	0.65	1.45	0.00
26	0.65	1.42	0.00
27	0.65	1.39	0.00
28	0.65	1.36	0.00
29	0.65	1.32	0.00
30	0.64	1.29	0.00
31	0.63	1.26	0.00
32	0.62	1.23	0.00
33	0.59	1.20	0.00
34	0.57	1.16	0.00
35	0.53	1.11	0.00
36	0.50	1.07	0.00
37	0.47	1.03	0.00
38	0.43	0.99	0.00
39	0.38	0.93	0.00
40	0.31	0.86	0.00
41	0.21	0.75	-0.00
42	0.06	0.59	-0.00
43	-0.14	0.37	-0.00
44	-0.42	0.09	-0.00
45	-0.78	-0.27	-0.00
46	-1.24	-0.71	-0.00
47	-1.82	-1.25	-0.00
48	-2.53	-1.90	-0.00
49	-3.39	-2.69	-0.00
50	-4.41	-3.62	-0.00
51	-5.64	-4.73	-0.00
52	-7.10	-6.05	-0.00
53	-8.85	-7.64	-0.00
54	-10.94	-9.54	-0.00
55	-13.44	-11.83	-0.00
56	-16.39	-14.57	-0.00
57	-19.85	-17.83	-0.00
58	-23.85	-21.64	-0.00
59	-28.36	-25.99	-0.00
60	-33.27	-30.77	-0.00
61	-38.35	-35.76	-0.00
62	-43.26	-40.63	-0.00
63	-47.65	-45.02	-0.00
64	-51.21	-48.60	-0.00
65	-53.76	-51.17	-0.00
66	-55.27	-52.71	-0.00
67	-55.83	-53.31	-0.00
68	-55.60	-53.11	-0.00
69	-54.73	-52.27	-0.00
70	-53.37	-50.95	-0.00
71	-51.61	-49.23	-0.00
72	-49.51	-47.20	-0.00
73	-47.12	-44.90	-0.00
74	-44.46	-42.38	-0.00
75	-41.56	-39.64	-0.00
76	-38.45	-36.71	-0.00
77	-35.13	-33.61	-0.00
78	-31.63	-30.38	-0.00
79	-27.98	-27.06	-0.00
80	-24.22	-23.68	-0.00
81	-20.40	-20.25	-0.00
82	-16.55	-16.81	-0.00
83	-12.72	-13.35	-0.00
84	-8.96	-9.90	-0.00
85	-5.32	-6.49	-0.00
86	-1.82	-3.15	-0.00
87	1.51	0.12	-0.00
88	4.69	3.29	-0.00
89	7.75	6.38	-0.00
90	10.75	9.39	-0.00
91	13.72	12.34	-0.00
92	16.66	15.19	-0.00
93	19.51	17.90	-0.00
94	22.13	20.36	-0.00
95	24.40	22.45	-0.00
96	26.15	24.02	-0.00
97	27.28	24.97	-0.00
98	27.71	25.21	-0.00
99	27.40	24.70	-0.00
100	26.41	23.46	-0.00
101	24.81	21.58	-0.00
