	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z
1	-12.99	-12.90	-12.10	-13.67	-10.76	-12.60
2	-12.30	-12.50	-11.62	-13.41	-10.48	-12.60
3	-11.61	-12.17	-11.27	-13.29	-10.33	-12.60
4	-11.00	-11.90	-11.03	-13.26	-10.27	-12.60
5	-10.49	-11.68	-10.86	-13.26	-10.28	-12.60
6	-10.09	-11.47	-10.75	-13.25	-10.32	-12.60
7	-9.80	-11.27	-10.66	-13.20	-10.35	-12.60
8	-9.58	-11.06	-10.57	-13.11	-10.35	-12.60
9	-9.42	-10.86	-10.48	-12.99	-10.31	-12.60
10	-9.30	-10.70	-10.39	-12.87	-10.23	-12.60
11	-9.20	-10.59	-10.30	-12.76	-10.14	-12.60
12	-9.12	-10.52	-10.21	-12.68	-10.04	-12.60
13	-9.07	-10.48	-10.14	-12.61	-9.95	-12.60
14	-9.03	-10.46	-10.08	-12.57	-9.88	-12.60
15	-9.00	-10.45	-10.02	-12.54	-9.84	-12.60
16	-8.99	-10.44	-9.98	-12.53	-9.82	-12.60
17	-8.98	-10.43	-9.95	-12.52	-9.83	-12.60
18	-8.98	-10.41	-9.92	-12.52	-9.86	-12.60
19	-8.98	-10.40	-9.91	-12.53	-9.91	-12.60
20	-8.99	-10.39	-9.91	-12.54	-9.96	-12.60
21	-9.00	-10.38	-9.92	-12.56	-10.03	-12.60
22	-9.03	-10.39	-9.94	-12.59	-10.09	-12.60
23	-9.06	-10.41	-9.98	-12.61	-10.15	-12.60
24	-9.11	-10.45	-10.03	-12.65	-10.22	-12.60
25	-9.16	-10.51	-10.09	-12.68	-10.28	-12.60
26	-9.23	-10.58	-10.16	-12.72	-10.33	-12.60
27	-9.29	-10.65	-10.25	-12.75	-10.39	-12.60
28	-9.36	-10.73	-10.35	-12.79	-10.45	-12.60
29	-9.43	-10.82	-10.45	-12.84	-10.50	-12.60
30	-9.50	-10.90	-10.56	-12.89	-10.57	-12.60
31	-9.57	-10.98	-10.66	-12.94	-10.63	-12.60
32	-9.65	-11.05	-10.76	-13.00	-10.69	-12.60
33	-9.72	-11.14	-10.85	-13.07	-10.76	-12.60
34	-9.80	-11.22	-10.94	-13.13	-10.82	-12.60
35	-9.88	-11.32	-11.02	-13.20	-10.88	-12.60
36	-9.97	-11.43	-11.12	-13.27	-10.94	-12.60
37	-10.06	-11.55	-11.21	-13.34	-11.00	-12.60
38	-10.15	-11.68	-11.32	-13.42	-11.08	-12.60
