	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right GRF	Right GRF	Right GRF	Right GRF	Right GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z
1	0.0957	0.1216	0.0898	0.0197	0.0545
2	0.2714	0.2745	0.2701	0.1833	0.2567
3	0.2622	0.2942	0.2946	0.2777	0.2668
4	0.2354	0.2920	0.2872	0.2532	0.2295
5	0.2829	0.3632	0.3253	0.2765	0.2740
6	0.4031	0.4845	0.4182	0.3489	0.3829
7	0.5482	0.6014	0.5414	0.4881	0.5530
8	0.6379	0.6701	0.6288	0.5965	0.6680
9	0.6653	0.6907	0.6689	0.6471	0.7043
10	0.6678	0.6679	0.6849	0.6699	0.7051
11	0.6515	0.6345	0.6815	0.6609	0.6905
12	0.6402	0.6186	0.6765	0.6395	0.6727
13	0.6398	0.6204	0.6740	0.6231	0.6568
14	0.6507	0.6311	0.6781	0.6093	0.6468
15	0.6771	0.6537	0.6990	0.6077	0.6514
16	0.7170	0.6912	0.7399	0.6261	0.6719
17	0.7626	0.7419	0.7922	0.6600	0.7016
18	0.8081	0.7990	0.8432	0.7045	0.7347
19	0.8505	0.8507	0.8836	0.7538	0.7686
20	0.8851	0.8870	0.9128	0.8006	0.8003
21	0.9084	0.9038	0.9327	0.8378	0.8267
22	0.9220	0.9037	0.9474	0.8633	0.8476
23	0.9324	0.8964	0.9596	0.8826	0.8653
24	0.9453	0.8922	0.9700	0.9030	0.8835
25	0.9611	0.8960	0.9790	0.9270	0.9043
26	0.9778	0.9069	0.9871	0.9536	0.9269
27	0.9937	0.9213	0.9945	0.9800	0.9490
28	1.0068	0.9370	1.0009	1.0034	0.9698
29	1.0152	0.9525	1.0048	1.0211	0.9883
30	1.0181	0.9648	1.0039	1.0328	1.0033
31	1.0162	0.9713	0.9977	1.0383	1.0138
32	1.0111	0.9722	0.9872	1.0371	1.0194
33	1.0039	0.9685	0.9746	1.0300	1.0209
34	0.9946	0.9609	0.9610	1.0185	1.0184
35	0.9831	0.9510	0.9472	1.0039	1.0119
36	0.9698	0.9412	0.9340	0.9875	1.0014
37	0.9550	0.9329	0.9215	0.9705	0.9874
38	0.9398	0.9257	0.9096	0.9538	0.9712
39	0.9252	0.9190	0.8985	0.9380	0.9542
40	0.9125	0.9118	0.8884	0.9232	0.9371
41	0.9017	0.9041	0.8796	0.9089	0.9211
42	0.8923	0.8959	0.8724	0.8954	0.9067
43	0.8839	0.8874	0.8668	0.8833	0.8943
44	0.8765	0.8789	0.8630	0.8732	0.8840
45	0.8699	0.8715	0.8603	0.8658	0.8768
46	0.8649	0.8659	0.8583	0.8611	0.8724
47	0.8617	0.8622	0.8568	0.8582	0.8699
48	0.8606	0.8601	0.8560	0.8570	0.8689
49	0.8609	0.8593	0.8560	0.8573	0.8690
50	0.8618	0.8592	0.8571	0.8592	0.8700
51	0.8628	0.8592	0.8592	0.8621	0.8713
52	0.8638	0.8589	0.8623	0.8649	0.8731
53	0.8652	0.8591	0.8666	0.8680	0.8767
54	0.8677	0.8606	0.8724	0.8724	0.8832
55	0.8712	0.8634	0.8799	0.8782	0.8925
56	0.8756	0.8675	0.8891	0.8850	0.9034
