	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	14.0	10.8	17.1	15.2	24.9	11.6	8.9	6.2	8.5	18.2	8.7	8.7
2	17.4	26.0	30.7	15.8	25.4	23.0	10.7	7.8	16.0	32.0	17.1	24.6
3	24.5	27.5	34.0	22.5	32.2	26.2	23.8	20.4	25.4	33.4	32.7	28.4
4	27.7	34.6	38.0	23.5	40.8	38.1	24.8	22.3	27.7	46.4	33.5	34.9
5	32.2	39.5	40.5	29.0	47.1	47.1	39.9	24.3	47.6	47.7	52.2	58.1
6	33.0	43.9	43.7	32.7	47.6	50.1	47.3	37.5	51.1	57.4	55.3	63.5
7	40.6	43.4	44.1	39.2	43.9	51.8	53.0	43.2	53.3	53.7	58.0	62.9
8	38.3	41.2	41.8	40.4	44.3	48.1	52.7	44.5	49.1	51.4	52.1	60.0
