	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
1	3.49	3.70	3.06	2.05	2.84	1.68
2	3.79	3.82	3.31	2.31	3.07	1.68
3	4.11	3.95	3.62	2.59	3.32	1.68
4	4.45	4.11	3.99	2.90	3.59	1.68
5	4.81	4.31	4.41	3.25	3.88	1.68
6	5.18	4.55	4.87	3.64	4.19	1.68
7	5.55	4.84	5.34	4.08	4.52	1.68
8	5.90	5.14	5.79	4.54	4.86	1.68
9	6.22	5.44	6.20	5.01	5.20	1.68
10	6.52	5.72	6.55	5.46	5.52	1.68
11	6.78	5.94	6.82	5.88	5.83	1.68
12	7.00	6.10	7.01	6.24	6.10	1.68
13	7.17	6.19	7.12	6.54	6.34	1.68
14	7.30	6.23	7.17	6.76	6.53	1.68
15	7.36	6.21	7.16	6.91	6.68	1.68
16	7.37	6.14	7.10	6.98	6.77	1.68
17	7.33	6.04	7.00	6.99	6.81	1.68
18	7.23	5.92	6.86	6.93	6.81	1.68
19	7.09	5.77	6.70	6.82	6.76	1.68
20	6.92	5.61	6.52	6.68	6.67	1.68
21	6.73	5.45	6.34	6.50	6.54	1.68
22	6.54	5.28	6.16	6.31	6.40	1.68
23	6.34	5.12	5.99	6.11	6.23	1.68
24	6.14	4.95	5.84	5.90	6.04	1.68
25	5.94	4.78	5.69	5.69	5.85	1.68
26	5.75	4.61	5.57	5.47	5.67	1.68
27	5.57	4.44	5.46	5.26	5.49	1.68
28	5.41	4.28	5.37	5.05	5.32	1.68
29	5.25	4.14	5.30	4.86	5.17	1.68
30	5.12	4.02	5.25	4.69	5.04	1.68
31	5.01	3.92	5.23	4.55	4.93	1.68
32	4.92	3.85	5.24	4.43	4.84	1.68
33	4.85	3.79	5.26	4.35	4.77	1.68
34	4.81	3.76	5.29	4.30	4.72	1.68
35	4.78	3.74	5.34	4.28	4.68	1.68
36	4.77	3.73	5.39	4.28	4.66	1.68
37	4.78	3.74	5.45	4.29	4.66	1.68
38	4.80	3.75	5.50	4.32	4.68	1.68
39	4.82	3.77	5.55	4.34	4.71	1.68
40	4.85	3.79	5.60	4.36	4.74	1.68
41	4.86	3.79	5.63	4.38	4.77	1.68
42	4.86	3.78	5.63	4.37	4.78	1.68
43	4.83	3.74	5.61	4.35	4.79	1.68
44	4.77	3.67	5.56	4.29	4.77	1.68
45	4.67	3.56	5.46	4.20	4.71	1.68
46	4.54	3.40	5.31	4.08	4.61	1.68
47	4.37	3.20	5.10	3.90	4.46	1.68
48	4.16	2.96	4.83	3.68	4.25	1.68
49	3.91	2.68	4.49	3.40	3.97	1.68
