	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X
1	17.97	16.67	18.83	16.78	19.03	-8.71
2	18.13	16.93	18.79	17.05	19.23	-8.71
3	18.14	17.04	18.74	17.31	19.34	-8.71
4	17.98	16.96	18.65	17.52	19.31	-8.71
5	17.66	16.70	18.47	17.62	19.12	-8.71
6	17.18	16.28	18.20	17.60	18.77	-8.71
7	16.58	15.75	17.83	17.43	18.28	-8.71
8	15.90	15.12	17.34	17.11	17.66	-8.71
9	15.16	14.43	16.74	16.65	16.95	-8.71
10	14.38	13.69	16.04	16.07	16.14	-8.71
11	13.57	12.90	15.24	15.39	15.27	-8.71
12	12.75	12.06	14.38	14.64	14.34	-8.71
13	11.91	11.17	13.47	13.84	13.37	-8.71
14	11.05	10.25	12.53	13.01	12.37	-8.71
15	10.16	9.30	11.58	12.18	11.35	-8.71
16	9.26	8.33	10.64	11.36	10.33	-8.71
17	8.34	7.36	9.71	10.55	9.31	-8.71
18	7.42	6.40	8.80	9.76	8.31	-8.71
19	6.49	5.44	7.89	8.99	7.33	-8.71
20	5.56	4.49	6.98	8.24	6.36	-8.71
21	4.63	3.56	6.05	7.49	5.39	-8.71
22	3.71	2.63	5.11	6.74	4.43	-8.71
23	2.78	1.70	4.16	5.97	3.48	-8.71
24	1.85	0.78	3.19	5.19	2.52	-8.71
25	0.92	-0.15	2.22	4.39	1.56	-8.71
26	-0.02	-1.08	1.24	3.58	0.59	-8.71
27	-0.96	-2.02	0.26	2.74	-0.39	-8.71
28	-1.93	-2.97	-0.73	1.88	-1.38	-8.71
29	-2.93	-3.94	-1.74	0.99	-2.39	-8.71
30	-3.96	-4.92	-2.76	0.08	-3.43	-8.71
31	-5.03	-5.93	-3.81	-0.86	-4.51	-8.71
32	-6.13	-6.94	-4.88	-1.84	-5.63	-8.71
33	-7.26	-7.94	-5.97	-2.86	-6.82	-8.71
34	-8.40	-8.94	-7.08	-3.91	-8.07	-8.71
35	-9.53	-9.91	-8.18	-5.01	-9.38	-8.71
36	-10.63	-10.85	-9.28	-6.13	-10.73	-8.71
37	-11.68	-11.75	-10.35	-7.26	-12.11	-8.71
38	-12.67	-12.61	-11.40	-8.40	-13.47	-8.71
39	-13.60	-13.44	-12.41	-9.53	-14.78	-8.71
40	-14.49	-14.24	-13.40	-10.63	-16.00	-8.71
41	-15.35	-15.03	-14.37	-11.70	-17.12	-8.71
42	-16.19	-15.82	-15.32	-12.72	-18.14	-8.71
43	-17.02	-16.61	-16.25	-13.71	-19.05	-8.71
44	-17.83	-17.39	-17.16	-14.64	-19.88	-8.71
