	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Hip Power	Right Hip Power	Right Hip Power	Right Hip Power	Right Hip Power
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	0.5845	0.6963	0.7591	0.0408	0.1078
2	1.8721	1.3937	2.2328	1.4765	1.6773
3	0.4029	0.7708	0.7877	0.7459	0.6052
4	-0.2872	1.1422	0.0558	-0.1234	-0.3767
5	0.3524	1.1144	0.8400	0.6533	0.5645
6	0.2764	1.0143	0.6554	0.3621	0.9338
7	0.7214	1.3567	0.7714	0.4870	1.0222
8	0.9499	1.6497	0.9283	0.6951	1.0982
9	1.0077	1.8010	1.0589	0.8782	1.1309
10	0.8509	1.5849	1.0000	0.8395	0.9508
11	0.6013	1.1183	0.8046	0.6759	0.7593
12	0.4410	0.7148	0.5868	0.5098	0.6537
13	0.3956	0.5403	0.4719	0.3946	0.6202
14	0.4304	0.5618	0.4392	0.3708	0.6533
15	0.4783	0.6437	0.4287	0.4260	0.6886
16	0.4571	0.6597	0.4062	0.4559	0.6558
17	0.3811	0.6073	0.3732	0.4140	0.5644
18	0.3067	0.5458	0.3374	0.3356	0.4687
19	0.2535	0.4953	0.3051	0.2605	0.4011
20	0.2314	0.4676	0.2844	0.2094	0.3650
21	0.2294	0.4538	0.2755	0.1816	0.3530
22	0.2278	0.4361	0.2670	0.1682	0.3453
23	0.2206	0.4113	0.2494	0.1565	0.3280
24	0.2092	0.3702	0.2221	0.1433	0.2991
25	0.1950	0.3203	0.1916	0.1265	0.2620
26	0.1772	0.2741	0.1663	0.1081	0.2220
27	0.1546	0.2386	0.1494	0.0919	0.1863
28	0.1316	0.2151	0.1375	0.0808	0.1580
29	0.1122	0.2021	0.1283	0.0748	0.1393
30	0.0986	0.1936	0.1212	0.0723	0.1283
31	0.0902	0.1870	0.1156	0.0714	0.1220
32	0.0872	0.1805	0.1111	0.0706	0.1181
33	0.0894	0.1748	0.1071	0.0689	0.1139
34	0.0944	0.1683	0.1016	0.0659	0.1095
35	0.0996	0.1586	0.0964	0.0632	0.1031
36	0.1022	0.1481	0.0929	0.0595	0.0927
37	0.0990	0.1345	0.0907	0.0546	0.0812
38	0.0918	0.1135	0.0866	0.0514	0.0720
39	0.0778	0.0851	0.0777	0.0486	0.0619
40	0.0597	0.0542	0.0648	0.0431	0.0478
41	0.0408	0.0237	0.0501	0.0345	0.0299
42	0.0211	-0.0047	0.0356	0.0229	0.0116
43	-0.0004	-0.0285	0.0185	0.0074	-0.0037
44	-0.0235	-0.0451	-0.0003	-0.0094	-0.0174
45	-0.0550	-0.0627	-0.0223	-0.0269	-0.0354
46	-0.0970	-0.0898	-0.0504	-0.0502	-0.0536
47	-0.1468	-0.1323	-0.0848	-0.0800	-0.0655
48	-0.1940	-0.1920	-0.1190	-0.1116	-0.0723
49	-0.2359	-0.2675	-0.1556	-0.1392	-0.0776
50	-0.2776	-0.3097	-0.2009	-0.1632	-0.0885
51	-0.3151	-0.3562	-0.2515	-0.1848	-0.1113
52	-0.3251	-0.3713	-0.2698	-0.2029	-0.1528
53	-0.3241	-0.3621	-0.2753	-0.2058	-0.1669
54	-0.3095	-0.3103	-0.2652	-0.2120	-0.1636
55	-0.2629	-0.2101	-0.2275	-0.1957	-0.1344
56	-0.1809	-0.0523	-0.1533	-0.1633	-0.0673
57	-0.0362	0.1581	-0.0279	-0.0925	0.0328
58	0.1683	0.3489	0.1360	0.0241	0.1618
59	0.3959	0.4298	0.3014	0.1893	0.2740
