	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z
1	-13.23	-12.08	-11.46	-10.96	-9.56	-10.63
2	-12.80	-12.12	-11.24	-10.84	-9.66	-10.63
3	-12.11	-11.87	-10.86	-10.60	-9.60	-10.63
4	-11.22	-11.32	-10.32	-10.23	-9.36	-10.63
5	-10.20	-10.53	-9.65	-9.76	-8.93	-10.63
6	-9.18	-9.62	-8.92	-9.24	-8.40	-10.63
7	-8.27	-8.73	-8.23	-8.71	-7.86	-10.63
8	-7.55	-8.00	-7.67	-8.25	-7.41	-10.63
9	-7.07	-7.49	-7.32	-7.88	-7.14	-10.63
10	-6.83	-7.25	-7.18	-7.61	-7.05	-10.63
11	-6.80	-7.27	-7.25	-7.44	-7.13	-10.63
12	-6.93	-7.51	-7.47	-7.36	-7.32	-10.63
13	-7.19	-7.95	-7.78	-7.35	-7.58	-10.63
14	-7.51	-8.51	-8.15	-7.43	-7.85	-10.63
15	-7.88	-9.16	-8.53	-7.58	-8.10	-10.63
16	-8.26	-9.83	-8.88	-7.81	-8.32	-10.63
17	-8.64	-10.47	-9.20	-8.10	-8.50	-10.63
18	-8.98	-11.02	-9.46	-8.43	-8.64	-10.63
19	-9.27	-11.41	-9.63	-8.77	-8.70	-10.63
20	-9.48	-11.62	-9.72	-9.09	-8.68	-10.63
21	-9.58	-11.62	-9.71	-9.35	-8.53	-10.63
22	-9.57	-11.42	-9.61	-9.53	-8.27	-10.63
23	-9.45	-11.06	-9.44	-9.60	-7.88	-10.63
24	-9.25	-10.61	-9.24	-9.58	-7.41	-10.63
25	-8.98	-10.13	-9.03	-9.47	-6.88	-10.63
26	-8.69	-9.68	-8.85	-9.32	-6.34	-10.63
27	-8.41	-9.32	-8.69	-9.15	-5.82	-10.63
28	-8.15	-9.05	-8.57	-8.98	-5.37	-10.63
29	-7.92	-8.86	-8.47	-8.84	-5.00	-10.63
30	-7.71	-8.73	-8.39	-8.71	-4.73	-10.63
31	-7.51	-8.63	-8.30	-8.59	-4.55	-10.63
32	-7.31	-8.52	-8.19	-8.46	-4.45	-10.63
33	-7.12	-8.41	-8.06	-8.30	-4.41	-10.63
34	-6.93	-8.28	-7.92	-8.10	-4.40	-10.63
35	-6.76	-8.15	-7.77	-7.85	-4.41	-10.63
36	-6.61	-8.04	-7.63	-7.56	-4.43	-10.63
37	-6.51	-7.94	-7.51	-7.24	-4.46	-10.64
38	-6.44	-7.86	-7.41	-6.92	-4.51	-10.64
39	-6.42	-7.81	-7.35	-6.61	-4.59	-10.64
40	-6.42	-7.76	-7.32	-6.34	-4.68	-10.64
