	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
1	1.54	1.41	1.47	1.36	1.21	1.75
2	1.44	1.30	1.43	1.27	1.10	1.75
3	1.35	1.20	1.40	1.19	1.00	1.75
4	1.32	1.16	1.38	1.15	0.95	1.75
5	1.34	1.17	1.40	1.15	0.97	1.75
6	1.41	1.25	1.47	1.21	1.07	1.75
7	1.52	1.38	1.59	1.31	1.24	1.75
8	1.67	1.53	1.76	1.46	1.46	1.75
9	1.84	1.69	1.95	1.62	1.70	1.75
10	2.01	1.85	2.15	1.80	1.93	1.75
11	2.18	2.00	2.35	1.98	2.14	1.75
12	2.34	2.14	2.52	2.16	2.31	1.75
13	2.47	2.26	2.67	2.33	2.43	1.75
14	2.59	2.37	2.78	2.48	2.52	1.75
15	2.69	2.47	2.85	2.62	2.57	1.75
16	2.78	2.55	2.89	2.72	2.59	1.75
17	2.85	2.62	2.90	2.80	2.57	1.75
18	2.90	2.69	2.89	2.84	2.53	1.75
19	2.95	2.73	2.86	2.86	2.48	1.75
20	2.97	2.77	2.83	2.85	2.43	1.75
21	2.99	2.80	2.81	2.83	2.38	1.75
22	2.98	2.81	2.78	2.80	2.34	1.75
23	2.97	2.82	2.75	2.76	2.30	1.75
24	2.94	2.82	2.73	2.72	2.27	1.75
25	2.90	2.81	2.70	2.69	2.23	1.75
26	2.85	2.81	2.67	2.66	2.20	1.75
27	2.81	2.82	2.64	2.64	2.17	1.75
28	2.78	2.83	2.63	2.63	2.15	1.75
29	2.75	2.84	2.62	2.63	2.12	1.75
30	2.74	2.86	2.62	2.64	2.11	1.75
31	2.72	2.88	2.63	2.66	2.10	1.75
32	2.72	2.89	2.64	2.71	2.11	1.75
33	2.71	2.90	2.65	2.76	2.12	1.75
34	2.70	2.90	2.66	2.83	2.14	1.75
35	2.68	2.90	2.67	2.90	2.18	1.75
36	2.68	2.89	2.68	2.96	2.22	1.75
37	2.67	2.89	2.69	3.01	2.27	1.75
38	2.68	2.89	2.71	3.05	2.32	1.75
39	2.70	2.89	2.74	3.07	2.37	1.75
40	2.73	2.90	2.77	3.06	2.43	1.75
41	2.76	2.91	2.82	3.04	2.48	1.75
42	2.80	2.92	2.86	3.01	2.52	1.75
43	2.83	2.93	2.90	2.96	2.56	1.75
44	2.85	2.93	2.93	2.90	2.58	1.75
45	2.86	2.92	2.95	2.83	2.59	1.75
46	2.85	2.89	2.94	2.75	2.57	1.75
47	2.81	2.84	2.91	2.67	2.52	1.75
48	2.74	2.76	2.85	2.57	2.44	1.75
49	2.64	2.65	2.76	2.45	2.33	1.75
50	2.51	2.51	2.63	2.31	2.18	1.75
51	2.34	2.35	2.48	2.15	2.01	1.75
52	2.16	2.18	2.31	1.96	1.81	1.75
53	1.96	2.00	2.13	1.76	1.60	1.75
54	1.77	1.83	1.95	1.55	1.39	1.75
55	1.60	1.67	1.76	1.33	1.19	1.75
56	1.45	1.51	1.57	1.10	1.01	1.75
57	1.32	1.34	1.36	0.83	0.85	1.75
58	1.18	1.10	1.10	0.52	0.67	1.75
59	0.98	0.75	0.75	0.14	0.44	1.75
60	0.68	0.25	0.28	-0.30	0.14	1.75
61	0.26	-0.39	-0.29	-0.80	-0.24	1.75
62	-0.28	-1.15	-0.95	-1.30	-0.69	1.75
63	-0.90	-1.93	-1.63	-1.76	-1.16	1.75
64	-1.54	-2.62	-2.26	-2.15	-1.61	1.75
65	-2.14	-3.15	-2.80	-2.44	-2.01	1.75
66	-2.64	-3.44	-3.21	-2.65	-2.38	1.75
67	-3.04	-3.51	-3.50	-2.80	-2.72	1.75
68	-3.35	-3.40	-3.69	-2.95	-3.05	1.75
69	-3.57	-3.15	-3.79	-3.10	-3.38	1.75
70	-3.74	-2.83	-3.84	-3.26	-3.69	1.75
71	-3.87	-2.50	-3.84	-3.42	-3.97	1.75
72	-3.96	-2.19	-3.79	-3.53	-4.20	1.75
73	-4.00	-1.92	-3.68	-3.57	-4.34	1.75
74	-3.97	-1.68	-3.50	-3.47	-4.39	1.75
75	-3.86	-1.47	-3.24	-3.23	-4.33	1.75
76	-3.66	-1.28	-2.89	-2.82	-4.14	1.75
77	-3.36	-1.08	-2.44	-2.26	-3.84	1.75
78	-2.96	-0.87	-1.90	-1.58	-3.42	1.75
79	-2.45	-0.64	-1.27	-0.80	-2.88	1.75
80	-1.85	-0.37	-0.56	0.01	-2.26	1.75
81	-1.18	-0.08	0.19	0.83	-1.58	1.75
82	-0.46	0.24	0.96	1.62	-0.87	1.75
83	0.29	0.60	1.69	2.33	-0.16	1.75
84	1.02	0.98	2.36	2.94	0.52	1.75
85	1.69	1.35	2.93	3.43	1.15	1.75
86	2.27	1.71	3.35	3.77	1.69	1.75
87	2.73	2.00	3.62	3.95	2.14	1.75
88	3.04	2.22	3.72	3.97	2.47	1.75
89	3.19	2.36	3.67	3.85	2.68	1.75
90	3.19	2.41	3.49	3.60	2.75	1.75
91	3.06	2.39	3.20	3.28	2.71	1.75
92	2.83	2.31	2.86	2.93	2.56	1.75
93	2.56	2.20	2.52	2.59	2.35	1.75
94	2.28	2.07	2.20	2.30	2.13	1.75
95	2.04	1.93	1.93	2.05	1.92	1.75
96	1.86	1.79	1.71	1.87	1.75	1.75
97	1.73	1.66	1.55	1.74	1.64	1.75
98	1.64	1.55	1.44	1.64	1.55	1.75
99	1.58	1.44	1.37	1.57	1.48	1.75
100	1.50	1.35	1.34	1.50	1.39	1.75
101	1.41	1.28	1.31	1.45	1.27	1.75
