	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X
1	9.29	9.88	7.36	9.54	8.89	3.40
2	10.78	11.08	9.49	11.16	10.56	3.40
3	12.10	12.16	11.65	12.68	12.19	3.40
4	13.23	13.09	13.73	14.02	13.71	3.40
5	14.15	13.87	15.64	15.15	15.07	3.40
6	14.89	14.48	17.31	16.02	16.24	3.40
7	15.44	14.95	18.67	16.66	17.21	3.40
8	15.79	15.25	19.70	17.05	17.98	3.40
9	15.95	15.41	20.37	17.22	18.54	3.40
10	15.93	15.42	20.71	17.19	18.91	3.40
11	15.72	15.30	20.77	17.01	19.12	3.40
12	15.35	15.06	20.59	16.69	19.17	3.40
13	14.85	14.70	20.25	16.26	19.10	3.40
14	14.23	14.26	19.80	15.75	18.91	3.40
15	13.54	13.73	19.27	15.19	18.61	3.40
16	12.81	13.14	18.69	14.59	18.23	3.40
17	12.05	12.51	18.08	13.97	17.76	3.40
18	11.29	11.85	17.43	13.33	17.21	3.40
19	10.52	11.17	16.75	12.70	16.60	3.40
20	9.77	10.47	16.03	12.06	15.92	3.40
21	9.03	9.76	15.27	11.43	15.19	3.40
22	8.30	9.03	14.47	10.78	14.40	3.40
23	7.60	8.28	13.65	10.12	13.57	3.40
24	6.91	7.53	12.81	9.45	12.70	3.40
25	6.25	6.78	11.96	8.75	11.79	3.40
26	5.62	6.04	11.12	8.04	10.86	3.40
27	5.02	5.34	10.30	7.31	9.91	3.40
28	4.45	4.70	9.49	6.58	8.97	3.40
29	3.93	4.13	8.71	5.84	8.03	3.40
30	3.47	3.65	7.95	5.13	7.12	3.40
31	3.06	3.27	7.21	4.46	6.25	3.40
32	2.73	2.99	6.50	3.85	5.42	3.40
33	2.46	2.81	5.82	3.33	4.66	3.40
34	2.26	2.71	5.20	2.91	3.98	3.40
35	2.13	2.67	4.65	2.60	3.38	3.40
36	2.07	2.69	4.17	2.41	2.89	3.40
37	2.09	2.74	3.79	2.33	2.51	3.40
38	2.19	2.83	3.52	2.35	2.24	3.39
39	2.37	2.96	3.37	2.45	2.10	3.39
40	2.65	3.15	3.33	2.62	2.06	3.39
41	3.03	3.39	3.41	2.85	2.15	3.39
42	3.50	3.70	3.58	3.15	2.34	3.39
43	4.07	4.10	3.84	3.52	2.64	3.39
44	4.72	4.60	4.18	3.99	3.05	3.39
45	5.46	5.21	4.58	4.57	3.58	3.39
46	6.29	5.94	5.05	5.29	4.23	3.39
47	7.20	6.80	5.62	6.18	5.02	3.39
48	8.21	7.81	6.29	7.26	5.96	3.39
49	9.36	8.98	7.09	8.56	7.06	3.39
50	10.67	10.36	8.05	10.11	8.34	3.39
51	12.20	11.96	9.21	11.92	9.83	3.39
52	14.00	13.83	10.61	14.04	11.57	3.39
53	16.11	16.01	12.29	16.48	13.60	3.39
54	18.57	18.53	14.28	19.27	15.96	3.39
55	21.39	21.40	16.63	22.41	18.67	3.39
56	24.57	24.64	19.36	25.88	21.77	3.39
57	28.08	28.20	22.46	29.65	25.26	3.39
58	31.87	32.05	25.92	33.66	29.09	3.39
59	35.86	36.11	29.68	37.83	33.22	3.39
60	39.95	40.26	33.68	42.05	37.54	3.39
61	44.02	44.41	37.81	46.21	41.95	3.39
62	47.98	48.44	41.95	50.20	46.31	3.39
63	51.72	52.25	45.98	53.92	50.51	3.39
64	55.16	55.76	49.80	57.29	54.45	3.39
65	58.24	58.87	53.31	60.25	58.02	3.39
66	60.90	61.54	56.43	62.77	61.17	3.39
67	63.11	63.72	59.11	64.82	63.85	3.39
68	64.85	65.40	61.32	66.42	66.02	3.39
69	66.11	66.58	63.05	67.56	67.67	3.39
70	66.90	67.26	64.30	68.27	68.82	3.39
71	67.24	67.47	65.09	68.57	69.49	3.39
72	67.15	67.25	65.45	68.47	69.69	3.39
73	66.65	66.61	65.40	68.01	69.47	3.39
74	65.77	65.58	64.97	67.20	68.86	3.39
75	64.52	64.18	64.20	66.06	67.87	3.39
76	62.92	62.43	63.09	64.58	66.54	3.39
77	60.99	60.33	61.67	62.79	64.87	3.39
78	58.72	57.90	59.95	60.68	62.88	3.39
79	56.13	55.14	57.93	58.28	60.57	3.39
80	53.21	52.07	55.61	55.59	57.93	3.39
81	49.99	48.71	53.00	52.64	54.97	3.39
82	46.48	45.08	50.11	49.49	51.69	3.39
83	42.72	41.22	46.95	46.17	48.12	3.39
84	38.74	37.17	43.56	42.73	44.28	3.39
85	34.62	32.99	39.98	39.24	40.22	3.39
86	30.43	28.77	36.27	35.75	36.01	3.39
87	26.30	24.59	32.49	32.32	31.73	3.39
88	22.31	20.55	28.71	28.98	27.49	3.39
89	18.58	16.75	25.00	25.80	23.37	3.39
90	15.20	13.29	21.44	22.79	19.47	3.39
91	12.26	10.27	18.07	20.01	15.91	3.39
92	9.80	7.78	14.97	17.49	12.76	3.39
93	7.89	5.91	12.21	15.28	10.13	3.39
94	6.55	4.69	9.83	13.45	8.08	3.39
95	5.78	4.15	7.92	12.05	6.70	3.39
96	5.56	4.26	6.54	11.13	6.00	3.39
97	5.84	4.92	5.74	10.71	5.98	3.39
98	6.53	6.00	5.54	10.77	6.56	3.39
99	7.52	7.36	5.90	11.24	7.62	3.39
100	8.67	8.81	6.74	12.02	8.98	3.39
101	9.88	10.22	7.92	12.98	10.48	3.39
