	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Knee Power	Right Knee Power	Right Knee Power	Right Knee Power	Right Knee Power
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	-0.2481	-0.3343	-0.3614	-0.0219	-0.0203
2	-0.9727	-0.6424	-1.0791	-0.6283	-0.6729
3	-0.2887	-0.3447	-0.4653	-0.4102	-0.3658
4	-0.0269	-0.5631	-0.1933	-0.0716	0.0389
5	-0.5847	-0.6997	-0.6001	-0.5054	-0.6263
6	-0.6620	-0.8106	-0.5710	-0.4606	-0.8341
7	-0.7401	-0.9852	-0.5775	-0.4776	-0.6623
8	-0.5962	-1.0392	-0.5232	-0.3901	-0.3937
9	-0.3870	-0.9416	-0.4562	-0.2530	-0.1319
10	-0.1728	-0.6435	-0.3664	-0.0938	0.0731
11	-0.0325	-0.3075	-0.2747	0.0198	0.1595
12	0.0137	-0.0868	-0.2046	0.0576	0.1466
13	-0.0059	0.0070	-0.1667	0.0316	0.0719
14	-0.0591	0.0194	-0.1470	-0.0330	-0.0261
15	-0.1108	-0.0069	-0.1259	-0.1099	-0.1121
16	-0.1287	-0.0336	-0.0873	-0.1656	-0.1552
17	-0.1048	-0.0395	-0.0292	-0.1734	-0.1504
18	-0.0539	-0.0279	0.0386	-0.1327	-0.1153
19	0.0049	-0.0102	0.1030	-0.0610	-0.0699
20	0.0584	0.0071	0.1557	0.0206	-0.0242
21	0.1034	0.0270	0.1961	0.0965	0.0231
22	0.1408	0.0557	0.2264	0.1581	0.0771
23	0.1711	0.0953	0.2467	0.2024	0.1382
24	0.1943	0.1409	0.2550	0.2310	0.1992
25	0.2106	0.1830	0.2511	0.2459	0.2472
26	0.2210	0.2150	0.2382	0.2490	0.2723
27	0.2256	0.2356	0.2211	0.2423	0.2725
28	0.2251	0.2476	0.2024	0.2284	0.2529
29	0.2199	0.2538	0.1843	0.2091	0.2219
30	0.2112	0.2549	0.1683	0.1865	0.1873
31	0.1996	0.2524	0.1552	0.1631	0.1542
32	0.1858	0.2476	0.1452	0.1434	0.1273
33	0.1699	0.2428	0.1381	0.1314	0.1086
34	0.1530	0.2394	0.1329	0.1293	0.0988
35	0.1386	0.2383	0.1311	0.1361	0.0978
36	0.1315	0.2421	0.1365	0.1477	0.1044
37	0.1363	0.2519	0.1537	0.1602	0.1178
38	0.1572	0.2708	0.1865	0.1744	0.1381
39	0.1958	0.3039	0.2378	0.1937	0.1657
40	0.2528	0.3563	0.3094	0.2230	0.2028
41	0.3268	0.4317	0.4033	0.2682	0.2534
42	0.4135	0.5306	0.5206	0.3345	0.3211
43	0.5059	0.6498	0.6548	0.4240	0.4079
44	0.5959	0.7795	0.7926	0.5337	0.5125
45	0.6745	0.8999	0.9154	0.6528	0.6304
46	0.7384	0.9917	1.0069	0.7649	0.7531
47	0.7908	1.0450	1.0593	0.8575	0.8701
48	0.8385	1.0607	1.0789	0.9257	0.9654
49	0.8815	1.0416	1.0673	0.9695	1.0212
50	0.9095	1.0377	1.0189	0.9894	1.0197
51	0.9152	1.0074	0.9391	0.9833	0.9607
52	0.9132	0.9836	0.8726	0.9503	0.8338
53	0.8738	0.9387	0.7979	0.9039	0.7197
54	0.7795	0.8679	0.7141	0.8016	0.5826
55	0.6441	0.7550	0.6252	0.6852	0.4442
56	0.4378	0.5750	0.5234	0.5323	0.3287
57	0.1955	0.3838	0.4162	0.3752	0.2009
58	-0.0448	0.2043	0.3104	0.2040	0.0649
59	-0.2758	0.0733	0.1722	0.0050	-0.0365
60	-0.4536	0.2454	0.0740	-0.1444	-0.0630
61	-0.4204	0.1658	0.2535	-0.1777	0.0812
62	-0.2928	-0.6214	0.2328	-0.0386	0.1070
63	-0.6264	-0.5818	-0.5169	-0.3550	-0.2516
64	-0.6437	-0.1111	-0.5666	-0.8689	-0.4223
65	-0.2643	0.3195	-0.1025	-0.3620	-0.1333
66	0.1695	0.1904	0.3361	0.1937	0.3091
67	0.1947	0.1022	0.2313	0.2187	0.1826
68	0.1162	0.0365	0.1519	0.1390	0.0960
69	0.0446	-0.0000	0.0862	0.0700	0.0320
70	0.0039	-0.0170	0.0451	0.0267	-0.0011
71	-0.0147	-0.0213	0.0219	0.0016	-0.0094
72	-0.0190	-0.0159	0.0085	-0.0103	-0.0037
73	-0.0141	-0.0064	0.0012	-0.0108	0.0034
74	-0.0054	-0.0002	-0.0005	-0.0045	0.0044
75	0.0007	-0.0014	0.0005	0.0006	-0.0004
76	0.0006	-0.0091	0.0003	-0.0001	-0.0070
77	-0.0049	-0.0203	-0.0044	-0.0059	-0.0137
78	-0.0133	-0.0338	-0.0140	-0.0145	-0.0219
79	-0.0233	-0.0499	-0.0276	-0.0254	-0.0349
80	-0.0359	-0.0699	-0.0446	-0.0408	-0.0537
81	-0.0531	-0.0940	-0.0645	-0.0616	-0.0775
82	-0.0755	-0.1222	-0.0866	-0.0860	-0.1047
83	-0.1020	-0.1552	-0.1113	-0.1102	-0.1342
84	-0.1304	-0.1943	-0.1390	-0.1335	-0.1658
85	-0.1612	-0.2413	-0.1709	-0.1618	-0.2033
86	-0.2007	-0.2990	-0.2077	-0.2070	-0.2530
87	-0.2595	-0.3694	-0.2548	-0.2820	-0.3200
88	-0.3488	-0.4527	-0.3264	-0.3922	-0.4036
89	-0.4715	-0.5437	-0.4357	-0.5282	-0.4954
90	-0.6162	-0.6315	-0.5868	-0.6652	-0.5789
91	-0.7574	-0.7015	-0.7613	-0.7738	-0.6366
92	-0.8618	-0.7417	-0.9228	-0.8317	-0.6574
93	-0.9019	-0.7455	-1.0323	-0.8327	-0.6391
94	-0.8683	-0.7162	-1.0610	-0.7807	-0.5836
95	-0.7700	-0.6580	-0.9981	-0.6826	-0.4917
96	-0.6303	-0.5764	-0.8555	-0.5440	-0.3667
97	-0.4764	-0.4728	-0.6614	-0.3799	-0.2249
98	-0.3315	-0.3512	-0.4522	-0.2207	-0.1017
99	-0.2096	-0.2207	-0.2641	-0.0991	-0.0267
100	-0.1107	-0.0952	-0.1175	-0.0188	0.0173
101	-0.0289	0.0090	-0.0062	0.0426	0.0735
