	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
1	2.96	3.20	0.13	2.38	1.18	1.55
2	3.23	3.42	0.43	2.67	1.39	1.55
3	3.53	3.67	0.79	3.02	1.67	1.55
4	3.87	3.95	1.23	3.43	2.00	1.55
5	4.23	4.25	1.70	3.86	2.38	1.55
6	4.59	4.54	2.20	4.30	2.78	1.55
7	4.94	4.82	2.69	4.73	3.18	1.55
8	5.27	5.08	3.17	5.12	3.56	1.55
9	5.57	5.30	3.60	5.46	3.90	1.55
10	5.83	5.49	3.98	5.75	4.19	1.55
11	6.03	5.64	4.32	5.99	4.44	1.55
12	6.17	5.75	4.62	6.18	4.63	1.55
13	6.24	5.80	4.89	6.31	4.78	1.55
14	6.23	5.80	5.11	6.37	4.87	1.55
15	6.16	5.73	5.30	6.37	4.90	1.55
16	6.04	5.59	5.43	6.29	4.87	1.55
17	5.86	5.40	5.50	6.15	4.77	1.55
18	5.65	5.15	5.49	5.95	4.61	1.55
19	5.42	4.86	5.40	5.69	4.39	1.55
20	5.18	4.55	5.24	5.41	4.13	1.55
21	4.95	4.22	5.03	5.10	3.83	1.55
22	4.73	3.89	4.76	4.79	3.52	1.55
23	4.53	3.58	4.47	4.48	3.20	1.55
24	4.37	3.28	4.16	4.19	2.88	1.55
25	4.24	3.02	3.85	3.93	2.58	1.55
26	4.14	2.79	3.55	3.68	2.30	1.55
27	4.08	2.60	3.25	3.47	2.04	1.55
28	4.06	2.44	2.98	3.28	1.81	1.55
29	4.06	2.32	2.73	3.13	1.61	1.55
30	4.08	2.23	2.51	3.00	1.44	1.55
31	4.12	2.17	2.32	2.90	1.31	1.55
32	4.18	2.14	2.17	2.83	1.20	1.55
33	4.25	2.13	2.04	2.78	1.13	1.55
34	4.33	2.14	1.93	2.76	1.08	1.55
35	4.42	2.17	1.86	2.77	1.06	1.55
36	4.52	2.22	1.80	2.81	1.06	1.55
37	4.62	2.28	1.78	2.87	1.09	1.55
38	4.71	2.36	1.77	2.96	1.13	1.55
39	4.81	2.46	1.80	3.07	1.20	1.55
40	4.89	2.57	1.86	3.20	1.29	1.55
41	4.98	2.69	1.94	3.34	1.40	1.55
42	5.05	2.82	2.05	3.49	1.53	1.55
43	5.12	2.95	2.18	3.64	1.67	1.55
44	5.18	3.07	2.32	3.79	1.82	1.55
45	5.22	3.18	2.47	3.92	1.96	1.55
46	5.24	3.27	2.60	4.02	2.09	1.55
47	5.22	3.32	2.72	4.09	2.19	1.55
48	5.18	3.34	2.79	4.11	2.27	1.55
49	5.09	3.31	2.81	4.07	2.30	1.55
50	4.96	3.25	2.78	3.97	2.28	1.55
51	4.78	3.13	2.67	3.80	2.21	1.55
52	4.55	2.98	2.51	3.57	2.09	1.55
53	4.27	2.77	2.29	3.27	1.92	1.55
54	3.95	2.53	2.02	2.93	1.69	1.55
55	3.58	2.23	1.73	2.56	1.42	1.55
56	3.19	1.90	1.44	2.17	1.11	1.55
57	2.77	1.53	1.15	1.79	0.78	1.55
58	2.35	1.15	0.89	1.42	0.43	1.55
59	1.93	0.77	0.65	1.06	0.08	1.55
60	1.52	0.39	0.43	0.74	-0.27	1.55
61	1.15	0.05	0.22	0.45	-0.59	1.55
62	0.83	-0.23	0.03	0.22	-0.88	1.55
63	0.57	-0.43	-0.14	0.04	-1.11	1.55
64	0.39	-0.54	-0.27	-0.05	-1.28	1.55
65	0.29	-0.54	-0.36	-0.06	-1.36	1.55
66	0.29	-0.44	-0.38	0.03	-1.34	1.55
67	0.37	-0.25	-0.32	0.20	-1.22	1.54
68	0.53	0.02	-0.17	0.43	-1.00	1.54
69	0.75	0.35	0.06	0.72	-0.70	1.54
70	1.01	0.72	0.35	1.04	-0.34	1.54
71	1.29	1.10	0.69	1.37	0.06	1.54
72	1.59	1.49	1.06	1.70	0.48	1.54
73	1.88	1.85	1.44	2.01	0.91	1.54
74	2.17	2.19	1.82	2.31	1.32	1.54
75	2.44	2.49	2.18	2.58	1.71	1.54
76	2.69	2.74	2.53	2.83	2.06	1.54
77	2.91	2.94	2.84	3.05	2.38	1.54
78	3.09	3.10	3.12	3.24	2.65	1.54
79	3.25	3.21	3.37	3.40	2.88	1.54
80	3.37	3.29	3.59	3.53	3.06	1.54
81	3.45	3.35	3.76	3.64	3.20	1.54
82	3.50	3.38	3.89	3.72	3.30	1.54
83	3.52	3.39	3.97	3.77	3.36	1.54
84	3.50	3.39	4.01	3.80	3.40	1.54
85	3.46	3.38	4.01	3.82	3.40	1.54
86	3.40	3.35	3.96	3.81	3.38	1.54
87	3.32	3.31	3.88	3.79	3.34	1.54
88	3.22	3.25	3.76	3.75	3.27	1.54
89	3.12	3.18	3.62	3.70	3.18	1.54
90	3.01	3.09	3.45	3.63	3.07	1.54
91	2.91	3.00	3.26	3.54	2.95	1.54
92	2.82	2.91	3.06	3.45	2.81	1.54
93	2.75	2.84	2.87	3.34	2.67	1.54
94	2.70	2.78	2.68	3.24	2.55	1.54
95	2.68	2.76	2.51	3.15	2.45	1.54
96	2.69	2.77	2.37	3.08	2.38	1.54
97	2.73	2.83	2.27	3.03	2.36	1.54
98	2.79	2.93	2.21	3.03	2.40	1.54
99	2.89	3.07	2.20	3.06	2.48	1.54
100	3.03	3.24	2.25	3.14	2.62	1.54
101	3.20	3.45	2.34	3.27	2.80	1.54
