	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z
1	-0.71	-0.41	1.29	-1.86	-0.65	-2.57
2	-0.80	-0.47	1.21	-2.04	-0.75	-2.57
3	-0.83	-0.45	1.09	-2.22	-0.86	-2.57
4	-0.81	-0.36	0.94	-2.38	-0.97	-2.57
5	-0.73	-0.21	0.78	-2.52	-1.08	-2.57
6	-0.62	-0.03	0.61	-2.63	-1.18	-2.57
7	-0.48	0.15	0.47	-2.72	-1.26	-2.57
8	-0.34	0.31	0.37	-2.77	-1.31	-2.57
9	-0.19	0.45	0.33	-2.80	-1.34	-2.57
10	-0.05	0.56	0.35	-2.80	-1.32	-2.57
11	0.10	0.67	0.45	-2.78	-1.27	-2.57
12	0.25	0.79	0.61	-2.75	-1.18	-2.57
13	0.39	0.92	0.81	-2.70	-1.06	-2.57
14	0.53	1.06	1.02	-2.65	-0.92	-2.57
15	0.64	1.21	1.22	-2.61	-0.78	-2.57
16	0.72	1.34	1.37	-2.60	-0.67	-2.57
17	0.74	1.43	1.44	-2.61	-0.59	-2.57
18	0.70	1.44	1.42	-2.65	-0.57	-2.57
19	0.58	1.37	1.30	-2.74	-0.62	-2.57
20	0.40	1.21	1.07	-2.87	-0.73	-2.57
21	0.14	0.96	0.74	-3.04	-0.92	-2.57
22	-0.18	0.64	0.34	-3.25	-1.16	-2.57
23	-0.55	0.27	-0.12	-3.47	-1.46	-2.57
24	-0.93	-0.11	-0.61	-3.70	-1.79	-2.57
25	-1.32	-0.50	-1.12	-3.92	-2.12	-2.57
26	-1.69	-0.86	-1.61	-4.13	-2.44	-2.57
27	-2.02	-1.20	-2.07	-4.31	-2.74	-2.57
28	-2.31	-1.49	-2.50	-4.45	-3.00	-2.57
29	-2.55	-1.74	-2.89	-4.55	-3.21	-2.57
30	-2.73	-1.95	-3.22	-4.63	-3.37	-2.57
31	-2.86	-2.12	-3.50	-4.67	-3.48	-2.57
32	-2.95	-2.26	-3.73	-4.69	-3.54	-2.57
33	-3.00	-2.37	-3.91	-4.69	-3.57	-2.57
34	-3.03	-2.46	-4.04	-4.68	-3.57	-2.57
35	-3.03	-2.55	-4.13	-4.66	-3.56	-2.57
36	-3.04	-2.64	-4.19	-4.65	-3.54	-2.57
37	-3.06	-2.75	-4.21	-4.64	-3.52	-2.57
38	-3.09	-2.88	-4.22	-4.64	-3.50	-2.57
39	-3.15	-3.04	-4.23	-4.65	-3.52	-2.57
40	-3.23	-3.23	-4.23	-4.68	-3.57	-2.57
41	-3.33	-3.46	-4.23	-4.73	-3.68	-2.57
42	-3.44	-3.71	-4.25	-4.79	-3.83	-2.57
43	-3.55	-3.97	-4.27	-4.88	-4.03	-2.57
44	-3.64	-4.22	-4.29	-4.98	-4.27	-2.57
45	-3.71	-4.45	-4.30	-5.09	-4.50	-2.57
46	-3.74	-4.64	-4.29	-5.19	-4.71	-2.57
47	-3.74	-4.79	-4.25	-5.26	-4.87	-2.57
48	-3.69	-4.90	-4.18	-5.31	-4.96	-2.57
49	-3.61	-4.97	-4.06	-5.32	-4.95	-2.57
50	-3.49	-5.01	-3.92	-5.29	-4.86	-2.57
51	-3.34	-5.03	-3.75	-5.22	-4.69	-2.57
52	-3.17	-5.05	-3.56	-5.12	-4.47	-2.57
53	-2.99	-5.07	-3.38	-5.02	-4.21	-2.57
54	-2.79	-5.09	-3.20	-4.91	-3.95	-2.57
55	-2.58	-5.11	-3.05	-4.81	-3.71	-2.57
56	-2.37	-5.14	-2.94	-4.74	-3.50	-2.57
57	-2.15	-5.16	-2.88	-4.70	-3.34	-2.57
58	-1.96	-5.19	-2.87	-4.71	-3.24	-2.57
59	-1.79	-5.23	-2.93	-4.77	-3.20	-2.57
60	-1.67	-5.30	-3.04	-4.88	-3.23	-2.57
61	-1.60	-5.41	-3.21	-5.03	-3.31	-2.57
62	-1.59	-5.57	-3.42	-5.20	-3.44	-2.57
63	-1.65	-5.77	-3.65	-5.38	-3.59	-2.57
64	-1.75	-5.98	-3.89	-5.54	-3.77	-2.57
65	-1.89	-6.18	-4.10	-5.67	-3.94	-2.57
66	-2.03	-6.35	-4.27	-5.73	-4.09	-2.57
67	-2.17	-6.46	-4.38	-5.71	-4.22	-2.57
68	-2.27	-6.49	-4.42	-5.60	-4.30	-2.57
69	-2.33	-6.43	-4.38	-5.41	-4.33	-2.57
70	-2.34	-6.29	-4.26	-5.14	-4.30	-2.57
71	-2.29	-6.08	-4.07	-4.81	-4.22	-2.57
72	-2.18	-5.81	-3.82	-4.42	-4.09	-2.57
73	-2.03	-5.48	-3.52	-4.01	-3.91	-2.57
74	-1.84	-5.12	-3.19	-3.59	-3.69	-2.57
75	-1.61	-4.73	-2.84	-3.18	-3.45	-2.57
76	-1.36	-4.32	-2.49	-2.80	-3.19	-2.57
77	-1.10	-3.91	-2.14	-2.46	-2.93	-2.57
78	-0.83	-3.52	-1.80	-2.16	-2.67	-2.57
79	-0.56	-3.14	-1.50	-1.90	-2.43	-2.57
80	-0.30	-2.78	-1.23	-1.69	-2.19	-2.57
81	-0.05	-2.46	-1.00	-1.51	-1.98	-2.57
82	0.18	-2.18	-0.81	-1.36	-1.78	-2.57
83	0.38	-1.93	-0.66	-1.24	-1.61	-2.57
84	0.55	-1.70	-0.54	-1.13	-1.47	-2.57
85	0.69	-1.50	-0.45	-1.04	-1.35	-2.57
86	0.80	-1.31	-0.37	-0.95	-1.27	-2.57
87	0.86	-1.12	-0.30	-0.86	-1.21	-2.57
88	0.90	-0.93	-0.23	-0.76	-1.19	-2.57
89	0.91	-0.74	-0.14	-0.66	-1.20	-2.57
90	0.89	-0.56	-0.02	-0.54	-1.24	-2.57
91	0.86	-0.38	0.13	-0.42	-1.29	-2.57
92	0.81	-0.22	0.31	-0.29	-1.36	-2.57
93	0.74	-0.09	0.51	-0.15	-1.45	-2.57
94	0.65	0.00	0.74	-0.02	-1.54	-2.57
95	0.54	0.05	0.97	0.10	-1.64	-2.57
96	0.40	0.07	1.19	0.21	-1.75	-2.57
97	0.24	0.05	1.39	0.28	-1.87	-2.57
98	0.05	0.01	1.57	0.33	-1.99	-2.57
99	-0.13	-0.04	1.71	0.33	-2.11	-2.57
100	-0.29	-0.08	1.83	0.30	-2.22	-2.57
101	-0.41	-0.09	1.92	0.25	-2.33	-2.57
