	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X
1	-5.21	-5.83	-4.91	-5.65	-5.38	-4.66
2	-5.35	-5.95	-5.07	-5.76	-5.51	-4.66
3	-5.50	-6.07	-5.23	-5.87	-5.65	-4.66
4	-5.66	-6.19	-5.39	-5.97	-5.80	-4.66
5	-5.83	-6.31	-5.56	-6.06	-5.96	-4.66
6	-5.99	-6.40	-5.73	-6.13	-6.13	-4.66
7	-6.13	-6.47	-5.90	-6.20	-6.29	-4.66
8	-6.25	-6.49	-6.07	-6.24	-6.45	-4.66
9	-6.33	-6.47	-6.21	-6.24	-6.60	-4.66
10	-6.36	-6.41	-6.31	-6.20	-6.71	-4.66
11	-6.35	-6.30	-6.38	-6.11	-6.79	-4.66
12	-6.30	-6.16	-6.39	-5.96	-6.84	-4.66
13	-6.22	-5.99	-6.36	-5.75	-6.86	-4.66
14	-6.13	-5.82	-6.28	-5.49	-6.85	-4.66
15	-6.03	-5.64	-6.17	-5.19	-6.81	-4.66
16	-5.94	-5.47	-6.02	-4.87	-6.76	-4.66
17	-5.85	-5.32	-5.86	-4.54	-6.68	-4.66
18	-5.78	-5.18	-5.69	-4.21	-6.58	-4.66
19	-5.73	-5.06	-5.51	-3.90	-6.48	-4.66
20	-5.69	-4.96	-5.35	-3.60	-6.38	-4.66
21	-5.65	-4.86	-5.18	-3.34	-6.28	-4.66
22	-5.62	-4.77	-5.03	-3.10	-6.19	-4.66
23	-5.59	-4.68	-4.88	-2.89	-6.10	-4.66
24	-5.55	-4.58	-4.73	-2.70	-6.02	-4.66
25	-5.49	-4.48	-4.57	-2.54	-5.93	-4.66
26	-5.41	-4.37	-4.41	-2.39	-5.84	-4.66
27	-5.32	-4.25	-4.24	-2.25	-5.75	-4.66
28	-5.21	-4.12	-4.06	-2.12	-5.64	-4.66
29	-5.09	-3.99	-3.89	-2.00	-5.52	-4.66
30	-4.98	-3.87	-3.72	-1.89	-5.40	-4.66
31	-4.86	-3.74	-3.56	-1.79	-5.29	-4.66
32	-4.76	-3.62	-3.42	-1.69	-5.18	-4.66
33	-4.68	-3.49	-3.31	-1.61	-5.10	-4.66
34	-4.61	-3.37	-3.21	-1.54	-5.04	-4.66
35	-4.56	-3.25	-3.14	-1.49	-5.01	-4.66
36	-4.54	-3.12	-3.09	-1.45	-4.99	-4.66
37	-4.52	-3.01	-3.05	-1.43	-4.99	-4.66
38	-4.53	-2.91	-3.04	-1.43	-4.99	-4.66
39	-4.56	-2.82	-3.04	-1.45	-4.99	-4.66
40	-4.61	-2.76	-3.07	-1.50	-4.98	-4.66
41	-4.69	-2.73	-3.13	-1.57	-4.98	-4.66
42	-4.80	-2.73	-3.22	-1.66	-4.99	-4.66
43	-4.94	-2.76	-3.34	-1.78	-5.01	-4.66
44	-5.10	-2.82	-3.49	-1.91	-5.06	-4.66
45	-5.27	-2.91	-3.66	-2.07	-5.14	-4.66
46	-5.44	-3.02	-3.84	-2.24	-5.23	-4.66
47	-5.60	-3.14	-4.02	-2.43	-5.35	-4.66
48	-5.76	-3.26	-4.20	-2.63	-5.49	-4.66
49	-5.89	-3.39	-4.35	-2.84	-5.64	-4.66
50	-6.01	-3.51	-4.49	-3.07	-5.80	-4.66
51	-6.11	-3.62	-4.62	-3.31	-5.95	-4.66
52	-6.22	-3.74	-4.75	-3.57	-6.10	-4.66
53	-6.32	-3.86	-4.88	-3.83	-6.25	-4.66
54	-6.44	-3.99	-5.02	-4.10	-6.38	-4.66
55	-6.57	-4.13	-5.18	-4.36	-6.51	-4.66
56	-6.72	-4.28	-5.35	-4.60	-6.64	-4.66
57	-6.88	-4.44	-5.55	-4.81	-6.76	-4.66
58	-7.05	-4.59	-5.74	-5.00	-6.86	-4.66
59	-7.22	-4.73	-5.93	-5.15	-6.96	-4.66
60	-7.37	-4.85	-6.09	-5.26	-7.02	-4.66
61	-7.48	-4.93	-6.22	-5.33	-7.06	-4.66
62	-7.55	-4.98	-6.31	-5.37	-7.06	-4.66
63	-7.58	-4.99	-6.36	-5.38	-7.03	-4.66
64	-7.57	-4.98	-6.37	-5.37	-6.97	-4.66
65	-7.54	-4.96	-6.36	-5.34	-6.88	-4.66
66	-7.48	-4.93	-6.34	-5.30	-6.77	-4.66
67	-7.42	-4.90	-6.32	-5.25	-6.64	-4.66
68	-7.35	-4.87	-6.30	-5.19	-6.49	-4.66
69	-7.29	-4.84	-6.28	-5.13	-6.33	-4.66
70	-7.23	-4.81	-6.26	-5.07	-6.16	-4.66
71	-7.16	-4.76	-6.25	-5.02	-5.98	-4.66
72	-7.09	-4.70	-6.22	-4.96	-5.80	-4.66
73	-7.00	-4.60	-6.17	-4.91	-5.62	-4.66
74	-6.89	-4.49	-6.11	-4.85	-5.43	-4.66
75	-6.75	-4.35	-6.02	-4.79	-5.23	-4.66
76	-6.60	-4.21	-5.90	-4.72	-5.03	-4.66
77	-6.42	-4.07	-5.76	-4.65	-4.81	-4.66
78	-6.23	-3.96	-5.60	-4.57	-4.59	-4.66
79	-6.04	-3.89	-5.44	-4.49	-4.37	-4.66
80	-5.84	-3.86	-5.27	-4.42	-4.15	-4.66
81	-5.66	-3.87	-5.12	-4.36	-3.94	-4.66
82	-5.51	-3.92	-4.99	-4.31	-3.77	-4.66
83	-5.37	-3.99	-4.89	-4.27	-3.63	-4.66
84	-5.27	-4.07	-4.82	-4.25	-3.53	-4.66
85	-5.19	-4.14	-4.78	-4.23	-3.46	-4.66
86	-5.15	-4.20	-4.76	-4.21	-3.44	-4.66
87	-5.13	-4.25	-4.77	-4.19	-3.45	-4.66
88	-5.13	-4.28	-4.78	-4.17	-3.48	-4.66
89	-5.15	-4.30	-4.80	-4.13	-3.53	-4.66
90	-5.18	-4.30	-4.83	-4.09	-3.61	-4.66
91	-5.22	-4.30	-4.85	-4.06	-3.69	-4.66
92	-5.27	-4.30	-4.88	-4.04	-3.79	-4.66
93	-5.31	-4.30	-4.91	-4.04	-3.91	-4.66
94	-5.36	-4.31	-4.95	-4.07	-4.03	-4.66
95	-5.41	-4.34	-5.00	-4.12	-4.17	-4.66
96	-5.47	-4.40	-5.08	-4.20	-4.31	-4.66
97	-5.52	-4.48	-5.17	-4.30	-4.47	-4.66
98	-5.58	-4.60	-5.28	-4.41	-4.62	-4.66
99	-5.65	-4.75	-5.41	-4.53	-4.79	-4.66
100	-5.74	-4.93	-5.54	-4.65	-4.96	-4.66
101	-5.83	-5.13	-5.67	-4.76	-5.13	-4.66
