	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles	Right Shoulder Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	23.8	22.6	21.1	21.4	19.7	27.0	24.5	18.7	24.3	23.1	25.1	22.0	22.4	38.1
2	24.2	22.4	21.9	21.3	19.9	27.3	24.7	18.6	24.6	23.2	25.8	22.3	22.1	38.1
3	24.5	22.2	22.9	21.4	20.1	27.4	24.9	18.6	24.9	23.3	26.5	22.6	21.8	38.1
4	24.7	21.9	23.9	21.4	20.3	27.4	25.1	18.7	25.1	23.3	27.1	22.9	21.4	38.1
5	24.8	21.6	24.8	21.6	20.6	27.4	25.2	18.9	25.3	23.4	27.7	23.2	21.1	38.1
6	24.9	21.4	25.5	21.8	20.9	27.4	25.3	19.2	25.5	23.5	28.2	23.5	20.9	38.1
7	25.1	21.4	26.2	22.2	21.4	27.5	25.5	19.7	25.7	23.6	28.6	23.9	21.0	38.1
8	25.4	21.6	26.7	22.8	22.0	27.8	25.8	20.4	26.0	23.9	29.1	24.5	21.3	38.1
9	25.9	22.1	27.2	23.5	22.7	28.3	26.1	21.3	26.4	24.3	29.6	25.2	21.8	38.1
10	26.6	22.9	27.7	24.4	23.5	28.9	26.5	22.5	26.9	24.9	30.3	26.1	22.6	38.1
11	27.3	23.8	28.3	25.4	24.3	29.5	27.0	24.0	27.5	25.8	31.0	27.1	23.6	38.1
12	28.0	24.9	28.8	26.3	25.0	30.1	27.4	25.5	27.9	26.8	31.8	28.2	24.8	38.1
13	28.7	26.0	29.4	27.1	25.7	30.6	27.7	26.9	28.3	27.9	32.5	29.2	26.1	38.0
14	29.2	27.1	29.8	27.7	26.4	30.9	28.0	28.1	28.5	29.1	33.0	30.1	27.3	38.0
15	29.5	28.2	30.3	28.1	26.9	31.0	28.2	29.1	28.5	30.4	33.5	31.1	28.5	38.0
16	29.6	29.1	30.6	28.4	27.5	31.1	28.5	29.8	28.5	31.6	33.9	32.0	29.5	38.0
17	29.7	29.9	30.9	28.5	28.1	31.0	28.8	30.3	28.4	32.8	34.2	32.8	30.2	38.0
18	29.7	30.6	31.2	28.6	28.7	30.9	29.3	30.7	28.3	33.8	34.5	33.4	30.5	38.0
19	29.7	31.0	31.5	28.6	29.4	30.6	30.0	30.9	28.4	34.7	34.7	33.9	30.6	38.0
20	29.7	31.3	31.8	28.7	30.1	30.3	30.8	31.1	28.5	35.2	34.9	34.0	30.5	38.0
21	29.6	31.4	32.0	28.7	30.7	30.0	31.8	31.1	28.7	35.3	34.9	33.8	30.1	38.0
22	29.6	31.3	32.2	28.8	31.2	29.6	32.7	31.0	29.1	35.1	34.8	33.2	29.5	38.0
23	29.5	31.0	32.2	28.9	31.5	29.1	33.5	30.8	29.5	34.5	34.5	32.3	28.8	38.0
24	29.4	30.6	32.1	28.9	31.5	28.7	34.1	30.4	29.9	33.5	34.0	31.1	28.1	38.0
25	29.2	30.2	31.8	28.8	31.3	28.3	34.5	29.8	30.3	32.3	33.3	29.8	27.4	38.0
26	28.9	29.8	31.5	28.7	30.9	28.1	34.7	29.0	30.5	31.0	32.4	28.4	26.7	38.0
27	28.7	29.4	31.1	28.5	30.4	27.9	34.7	28.2	30.6	29.7	31.4	27.3	26.1	38.0
28	28.4	29.1	30.7	28.2	29.7	27.9	34.5	27.4	30.5	28.7	30.4	26.5	25.6	38.0
29	28.2	28.9	30.3	27.9	29.1	28.0	34.1	26.5	30.2	28.0	29.5	26.0	25.3	38.0
30	28.1	28.8	29.9	27.6	28.5	28.2	33.5	25.8	29.8	27.7	28.8	26.1	25.1	38.0
31	28.1	28.8	29.7	27.4	28.0	28.5	32.7	25.2	29.3	27.7	28.3	26.6	25.1	38.0
32	28.1	29.0	29.5	27.3	27.7	28.8	31.9	24.7	28.8	28.0	28.0	27.3	25.2	38.0
33	28.3	29.2	29.4	27.2	27.5	29.1	31.1	24.4	28.4	28.6	28.0	28.3	25.5	38.0
34	28.4	29.4	29.4	27.3	27.3	29.4	30.2	24.3	28.1	29.3	28.3	29.3	25.8	38.0
35	28.6	29.6	29.4	27.4	27.3	29.5	29.4	24.4	27.9	30.1	28.6	30.3	26.1	38.0
36	28.6	29.7	29.4	27.5	27.3	29.4	28.7	24.7	27.7	30.7	29.2	31.0	26.4	38.0
37	28.6	29.7	29.5	27.5	27.3	29.2	28.1	25.1	27.6	31.1	29.7	31.4	26.5	38.0
38	28.4	29.6	29.6	27.4	27.2	28.9	27.6	25.8	27.4	31.3	30.2	31.5	26.6	38.0
39	28.2	29.4	29.6	27.0	27.1	28.3	27.1	26.5	27.2	31.1	30.6	31.1	26.6	38.0
40	27.8	29.2	29.7	26.5	27.0	27.7	26.7	27.3	27.0	30.7	31.0	30.4	26.5	38.0
41	27.3	28.8	29.6	25.7	26.8	26.9	26.4	28.1	26.7	30.1	31.1	29.5	26.4	38.0
42	26.8	28.4	29.6	24.8	26.6	26.2	26.1	28.8	26.4	29.4	31.2	28.3	26.4	38.0
43	26.3	28.0	29.4	23.7	26.5	25.4	25.9	29.3	26.1	28.6	31.1	27.1	26.3	38.0
