	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior	Right Tibialis Anterior
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	26.3	49.0	36.9	25.2	80.0	161.0	26.4	27.7	111.6	243.1	32.5	139.1
2	41.1	60.1	42.3	42.0	81.3	193.6	106.1	60.6	250.1	261.5	104.9	332.3
3	46.2	63.2	40.2	45.7	89.6	194.5	128.5	74.4	272.3	263.2	139.7	551.5
4	45.8	63.2	43.0	48.9	90.8	194.5	129.8	81.1	272.9	262.2	141.4	603.0
5	47.6	65.7	45.0	47.9	87.6	193.2	130.9	89.5	273.3	261.3	142.4	655.8
6	52.1	59.8	42.4	50.7	60.7	185.1	130.8	92.9	271.6	144.9	143.2	656.9
7	43.3	47.7	34.3	50.3	60.3	93.8	114.0	92.4	151.3	73.7	104.9	636.9
8	35.8	33.0	34.5	40.4	60.7	57.2	62.0	69.6	53.2	74.8	49.1	473.6
9	35.7	36.9	36.3	33.4	59.2	58.3	52.7	59.3	54.2	80.4	49.6	320.7
10	34.9	39.7	35.9	36.7	58.6	69.5	52.5	51.4	62.0	82.0	62.6	136.5
11	38.7	40.0	35.7	35.5	56.8	71.1	57.6	39.3	58.4	82.0	65.0	109.9
12	42.3	38.9	34.5	35.0	55.6	68.8	58.9	36.5	59.5	68.8	65.2	69.8
13	40.8	41.8	32.1	32.4	51.2	64.3	59.5	34.9	54.5	60.6	62.8	72.3
14	40.6	39.6	29.8	28.9	50.2	53.1	57.2	34.4	53.2	48.1	54.4	67.4
15	40.0	33.3	18.4	27.6	32.6	46.4	55.1	34.3	36.8	31.1	46.5	51.4
16	31.7	26.0	15.5	22.4	32.5	29.7	49.9	30.0	32.4	35.0	28.0	44.6
17	25.7	24.7	15.4	20.0	33.3	31.4	43.0	24.5	25.4	35.3	26.7	43.4
18	14.0	18.1	12.3	19.1	28.2	31.2	41.8	25.3	24.3	30.6	25.2	28.4
19	12.7	10.5	9.3	15.8	20.1	25.0	37.1	24.7	19.2	25.8	20.8	22.5
20	11.3	10.6	9.9	12.0	19.0	19.6	21.4	16.1	15.7	25.5	18.3	14.9
21	9.7	7.2	10.2	11.6	13.9	19.6	21.4	14.3	13.5	19.3	15.3	10.3
22	9.5	6.1	8.9	7.9	11.5	15.3	16.0	10.6	10.0	14.8	13.3	10.4
23	8.7	6.4	8.7	7.9	9.3	9.8	11.4	6.7	9.9	14.1	13.1	8.7
24	8.5	6.5	8.8	8.4	9.1	9.2	12.5	7.0	9.9	10.8	12.1	5.7
25	8.0	5.2	7.8	8.4	7.1	8.5	12.8	7.1	9.2	7.9	11.1	4.1
26	7.3	3.6	6.1	7.5	5.0	5.8	11.7	6.0	4.8	7.8	6.1	3.7
27	6.1	3.6	5.3	6.3	4.6	4.0	8.5	4.7	4.8	6.0	5.0	3.2
28	3.7	2.8	4.0	5.3	3.4	4.0	7.6	4.6	4.2	4.3	4.2	2.0
29	1.9	2.0	3.0	4.0	2.4	3.1	5.5	4.0	2.4	4.1	2.6	1.8
30	2.6	2.0	3.0	2.9	2.3	2.6	3.1	3.0	2.4	3.1	2.4	1.6
31	2.7	1.9	2.7	3.2	2.6	2.2	2.8	2.7	2.3	2.0	2.5	1.9
32	2.7	1.6	2.0	2.7	2.1	2.1	2.7	2.6	1.9	1.9	2.5	1.9
33	2.5	1.7	2.0	2.5	2.0	2.0	2.2	2.2	1.5	1.6	1.8	2.0
34	2.6	1.5	2.4	2.2	1.9	1.6	2.0	1.9	1.6	1.4	1.8	1.9
35	2.3	1.9	2.3	2.3	1.9	1.6	2.0	1.7	1.3	1.3	1.6	1.9
36	2.4	1.9	2.2	1.8	2.2	1.6	1.9	1.5	1.4	1.4	1.7	1.7
37	2.4	2.2	2.0	1.8	1.7	1.6	1.9	1.2	1.5	1.4	1.3	1.7
38	2.4	2.2	2.1	1.8	1.6	1.6	1.7	1.3	1.5	1.3	1.3	1.6
39	2.3	2.1	2.0	2.0	1.7	1.7	1.9	1.4	1.6	1.4	1.9	1.5
40	2.2	2.1	1.7	2.0	1.9	1.8	1.6	1.5	1.8	1.6	2.0	1.4
41	2.0	1.8	1.8	1.9	2.0	1.6	1.6	1.7	1.8	1.7	2.0	1.3
42	1.7	1.8	1.7	1.9	1.7	1.6	1.6	1.7	1.8	1.7	2.0	1.3
43	1.7	1.6	1.9	1.7	1.7	1.5	1.7	1.7	1.8	1.8	1.9	1.4
44	1.9	1.8	1.7	2.0	2.0	1.4	1.7	1.7	1.9	1.8	1.7	1.4
45	1.9	1.8	1.8	2.0	1.9	1.5	1.7	1.7	1.6	1.6	1.7	1.5
46	1.9	2.1	1.7	2.1	2.0	1.6	1.6	1.6	1.5	2.1	2.1	1.5
47	1.9	2.1	1.9	2.2	3.3	1.5	1.6	1.7	1.6	3.8	3.2	1.6
48	1.9	2.0	2.3	2.2	3.3	1.5	1.4	1.8	1.6	3.9	3.2	2.6
49	1.9	2.0	2.4	2.0	3.9	1.6	1.3	1.6	1.5	4.1	3.2	3.4
50	1.7	3.5	3.6	1.8	4.5	1.7	1.3	1.8	1.3	5.0	3.5	3.8
51	1.7	3.6	3.7	1.9	4.5	1.6	1.2	1.9	1.2	5.0	3.7	3.8
52	2.0	3.5	3.7	1.8	4.4	2.6	1.3	1.9	1.1	4.2	3.4	3.8
53	1.9	3.6	3.6	1.8	3.8	3.7	1.3	1.9	1.1	4.2	3.3	3.6
54	2.0	3.6	3.5	1.8	4.1	3.8	1.3	2.0	1.3	6.3	3.3	2.2
55	2.1	3.6	3.3	1.9	3.4	4.4	1.5	2.1	1.4	6.3	3.4	1.6
56	2.6	2.6	2.3	2.2	3.5	4.4	1.5	1.9	1.8	6.2	3.1	1.7
57	3.2	2.6	2.3	4.9	3.5	4.4	1.5	2.0	1.9	6.3	3.1	3.0
58	3.9	2.7	2.7	7.0	3.5	3.9	1.6	1.9	1.9	6.4	3.0	3.1
59	4.7	3.0	2.8	8.4	3.4	3.0	1.8	2.4	1.9	4.7	4.2	3.0
60	6.8	2.7	3.4	24.2	3.7	2.2	1.6	3.0	1.9	3.4	5.3	3.0
61	7.3	2.8	3.7	34.8	3.6	1.9	2.0	3.4	1.9	3.3	5.9	3.9
62	7.2	3.1	4.2	48.4	5.1	2.0	2.4	3.9	1.8	3.2	6.0	3.1
63	7.0	3.2	4.8	48.2	5.9	2.0	2.6	4.0	1.9	3.1	6.2	3.6
64	6.7	3.3	4.9	48.0	6.6	2.9	2.7	3.9	1.9	3.1	5.9	4.9
65	5.6	3.4	4.7	46.0	6.6	3.3	2.8	3.3	2.0	3.2	5.9	5.1
66	4.3	3.5	5.2	41.9	6.4	3.5	3.3	3.4	2.4	3.7	6.5	4.7
67	4.1	3.5	5.3	6.9	6.5	3.7	4.3	3.0	2.7	3.8	6.4	4.8
68	4.8	4.1	5.3	4.7	5.6	3.8	4.7	3.6	3.1	4.4	6.3	4.9
69	5.7	4.4	4.8	4.7	6.3	3.7	5.0	4.0	3.2	4.9	6.2	4.2
70	6.0	4.1	4.9	4.7	6.5	4.8	5.4	4.8	3.6	6.2	6.2	4.8
71	5.4	5.6	5.9	5.0	6.8	6.6	5.4	4.9	3.4	7.1	6.9	4.9
72	5.3	6.0	5.8	4.9	7.0	6.6	5.0	5.6	3.7	7.2	6.8	4.9
73	5.6	6.1	5.9	4.9	7.6	6.8	4.6	5.3	3.5	8.1	6.9	5.5
