File	Frame	1 	2 	3 
GLOBAL	1	1.000000	0.873500	2.011000
 - 	2	2.000000	-0.033550	1.993000
 - 	3	3.000000	-1.024000	1.990000
 - 	4	4.000000	-1.937000	2.009000
 - 	5	5.000000	-2.618000	2.041000
 - 	6	6.000000	-2.960000	2.058000
 - 	7	7.000000	-2.921000	2.045000
 - 	8	8.000000	-2.531000	2.005000
 - 	9	9.000000	-1.868000	1.951000
 - 	10	10.000000	-1.023000	1.896000
 - 	11	11.000000	-0.077160	1.849000
 - 	12	12.000000	0.900200	1.814000
 - 	13	13.000000	1.859000	1.791000
 - 	14	14.000000	2.763000	1.781000
 - 	15	15.000000	3.592000	1.781000
 - 	16	16.000000	4.334000	1.785000
 - 	17	17.000000	4.987000	1.791000
 - 	18	18.000000	5.555000	1.797000
 - 	19	19.000000	6.047000	1.803000
 - 	20	20.000000	6.472000	1.805000
 - 	21	21.000000	6.842000	1.805000
 - 	22	22.000000	7.169000	1.803000
 - 	23	23.000000	7.465000	1.800000
 - 	24	24.000000	7.738000	1.802000
 - 	25	25.000000	7.993000	1.813000
 - 	26	26.000000	8.233000	1.839000
 - 	27	27.000000	8.457000	1.880000
 - 	28	28.000000	8.666000	1.940000
 - 	29	29.000000	8.864000	2.019000
 - 	30	30.000000	9.055000	2.118000
 - 	31	31.000000	9.246000	2.234000
 - 	32	32.000000	9.442000	2.362000
 - 	33	33.000000	9.647000	2.494000
 - 	34	34.000000	9.865000	2.625000
 - 	35	35.000000	10.100000	2.754000
 - 	36	36.000000	10.350000	2.878000
 - 	37	37.000000	10.610000	2.998000
 - 	38	38.000000	10.880000	3.112000
 - 	39	39.000000	11.140000	3.220000
 - 	40	40.000000	11.390000	3.322000
 - 	41	41.000000	11.610000	3.416000
 - 	42	42.000000	11.790000	3.504000
 - 	43	43.000000	11.930000	3.585000
 - 	44	44.000000	12.000000	3.662000
 - 	45	45.000000	12.000000	3.737000
 - 	46	46.000000	11.920000	3.812000
 - 	47	47.000000	11.710000	3.890000
 - 	48	48.000000	11.380000	3.977000
 - 	49	49.000000	10.870000	4.081000
 - 	50	50.000000	10.160000	4.211000
 - 	51	51.000000	9.192000	4.378000
 - 	52	52.000000	7.922000	4.583000
 - 	53	53.000000	6.304000	4.834000
 - 	54	54.000000	4.309000	5.121000
 - 	55	55.000000	1.938000	5.424000
 - 	56	56.000000	-0.762200	5.708000
 - 	57	57.000000	-3.695000	5.933000
 - 	58	58.000000	-6.714000	6.075000
 - 	59	59.000000	-9.646000	6.136000
 - 	60	60.000000	-12.310000	6.151000
 - 	61	61.000000	-14.530000	6.168000
 - 	62	62.000000	-16.170000	6.229000
 - 	63	63.000000	-17.100000	6.336000
 - 	64	64.000000	-17.410000	6.422000
 - 	65	65.000000	-16.900000	6.480000
 - 	66	66.000000	-15.720000	6.477000
 - 	67	67.000000	-14.150000	6.334000
 - 	68	68.000000	-12.190000	6.137000
 - 	69	69.000000	-10.100000	5.878000
 - 	70	70.000000	-7.999000	5.584000
 - 	71	71.000000	-6.037000	5.246000
 - 	72	72.000000	-4.151000	4.968000
 - 	73	73.000000	-2.455000	4.672000
 - 	74	74.000000	-0.973300	4.357000
 - 	75	75.000000	0.411000	4.078000
 - 	76	76.000000	1.651000	3.808000
 - 	77	77.000000	2.752000	3.551000
 - 	78	78.000000	3.716000	3.312000
 - 	79	79.000000	4.536000	3.088000
 - 	80	80.000000	5.214000	2.889000
 - 	81	81.000000	5.744000	2.713000
 - 	82	82.000000	6.117000	2.552000
 - 	83	83.000000	6.336000	2.408000
 - 	84	84.000000	6.403000	2.285000
 - 	85	85.000000	6.328000	2.184000
 - 	86	86.000000	6.125000	2.108000
 - 	87	87.000000	5.815000	2.061000
 - 	88	88.000000	5.424000	2.043000
 - 	89	89.000000	4.985000	2.050000
 - 	90	90.000000	4.529000	2.074000
 - 	91	91.000000	4.090000	2.112000
 - 	92	92.000000	3.690000	2.162000
 - 	93	93.000000	3.346000	2.223000
 - 	94	94.000000	3.064000	2.288000
 - 	95	95.000000	2.844000	2.350000
 - 	96	96.000000	2.668000	2.402000
 - 	97	97.000000	2.503000	2.439000
 - 	98	98.000000	2.294000	2.466000
 - 	99	99.000000	1.975000	2.490000
 - 	100	100.000000	1.483000	2.521000
 - 	101	101.000000	0.782500	2.563000
