	Gait LB - IOR 5.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	X	X
1	1.2	5.6
2	0.2	5.6
3	-0.9	5.6
4	-2.0	5.6
5	-2.8	5.6
6	-3.5	5.6
7	-3.8	5.6
8	-3.8	5.6
9	-3.6	5.6
10	-3.2	5.6
11	-2.7	5.6
12	-2.1	5.6
13	-1.5	5.6
14	-0.9	5.6
15	-0.3	5.6
16	0.3	5.6
17	0.8	5.6
18	1.2	5.6
19	1.7	5.6
20	2.1	5.6
21	2.4	5.6
22	2.8	5.6
23	3.1	5.6
24	3.4	5.6
25	3.7	5.6
26	4.1	5.6
27	4.4	5.6
28	4.7	5.6
29	5.0	5.6
30	5.4	5.6
31	5.7	5.6
32	6.2	5.6
33	6.6	5.6
34	7.2	5.6
35	7.8	5.6
36	8.5	5.6
37	9.2	5.6
38	10.0	5.6
39	10.8	5.6
40	11.6	5.6
41	12.4	5.6
42	13.1	5.6
43	13.7	5.6
44	14.3	5.6
45	14.7	5.6
46	15.0	5.6
47	15.1	5.6
48	15.1	5.6
49	14.9	5.6
50	14.4	5.6
51	13.7	5.6
52	12.6	5.6
53	11.0	5.6
54	9.0	5.6
55	6.4	5.6
56	3.4	5.6
57	0.0	5.6
58	-3.3	5.6
59	-6.4	5.6
60	-8.8	5.6
61	-10.4	5.6
62	-11.2	5.6
63	-11.0	5.6
64	-10.2	5.6
65	-8.7	5.6
66	-7.0	5.6
67	-5.0	5.6
68	-3.0	5.6
69	-1.0	5.6
70	0.9	5.6
71	2.7	5.6
72	4.3	5.6
73	5.7	5.6
74	7.1	5.6
75	8.2	5.6
76	9.3	5.6
77	10.1	5.6
78	10.8	5.6
79	11.4	5.6
80	11.8	5.6
81	12.0	5.6
82	12.1	5.6
83	11.9	5.6
84	11.5	5.6
85	10.9	5.6
86	10.2	5.6
87	9.4	5.6
88	8.6	5.6
89	7.8	5.6
90	7.1	5.6
91	6.4	5.6
92	5.8	5.6
93	5.3	5.6
94	4.9	5.6
95	4.5	5.6
96	4.2	5.6
97	3.9	5.6
98	3.6	5.6
99	3.3	5.6
100	2.8	5.6
101	2.1	5.6
