	Gait LB - IOR 5.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Y	Y
1	2.0	-0.5
2	1.9	-0.5
3	1.8	-0.5
4	1.6	-0.5
5	1.3	-0.5
6	0.8	-0.5
7	0.2	-0.5
8	-0.7	-0.5
9	-1.6	-0.5
10	-2.5	-0.5
11	-3.3	-0.5
12	-3.9	-0.5
13	-4.4	-0.5
14	-4.7	-0.5
15	-4.9	-0.5
16	-5.0	-0.5
17	-5.0	-0.5
18	-5.0	-0.5
19	-5.0	-0.5
20	-5.0	-0.5
21	-4.9	-0.5
22	-4.9	-0.5
23	-4.9	-0.5
24	-4.9	-0.5
25	-4.9	-0.5
26	-4.9	-0.5
27	-4.8	-0.5
28	-4.8	-0.5
29	-4.7	-0.5
30	-4.6	-0.5
31	-4.5	-0.5
32	-4.5	-0.5
33	-4.4	-0.5
34	-4.3	-0.5
35	-4.1	-0.5
36	-4.0	-0.5
37	-3.8	-0.5
38	-3.5	-0.5
39	-3.2	-0.5
40	-2.9	-0.5
41	-2.4	-0.5
42	-1.9	-0.5
43	-1.3	-0.5
44	-0.5	-0.5
45	0.3	-0.5
46	1.3	-0.5
47	2.4	-0.5
48	3.6	-0.5
49	4.9	-0.5
50	6.2	-0.5
51	7.5	-0.5
52	8.7	-0.5
53	9.8	-0.5
54	10.6	-0.5
55	11.1	-0.5
56	11.1	-0.5
57	10.6	-0.5
58	9.7	-0.5
59	8.4	-0.5
60	7.2	-0.5
61	6.1	-0.5
62	5.3	-0.5
63	4.8	-0.5
64	4.4	-0.5
65	3.9	-0.5
66	3.4	-0.5
67	2.8	-0.5
68	2.1	-0.5
69	1.4	-0.5
70	0.8	-0.5
71	0.4	-0.5
72	0.1	-0.5
73	-0.0	-0.5
74	-0.0	-0.5
75	-0.0	-0.5
76	-0.0	-0.5
77	-0.1	-0.5
78	-0.2	-0.5
79	-0.4	-0.5
80	-0.6	-0.5
81	-0.9	-0.5
82	-1.0	-0.5
83	-1.1	-0.5
84	-1.2	-0.5
85	-1.2	-0.5
86	-1.1	-0.5
87	-1.0	-0.5
88	-0.8	-0.5
89	-0.6	-0.5
90	-0.3	-0.5
91	0.0	-0.5
92	0.4	-0.5
93	0.7	-0.5
94	0.9	-0.5
95	1.0	-0.5
96	1.1	-0.5
97	1.1	-0.5
98	1.0	-0.5
99	0.9	-0.5
100	0.8	-0.5
101	0.8	-0.5
