	Gait LB - IOR 5.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Z	Z
1	-2.1	-0.6
2	-2.3	-0.6
3	-2.5	-0.6
4	-2.8	-0.6
5	-3.0	-0.6
6	-3.1	-0.6
7	-3.3	-0.6
8	-3.4	-0.6
9	-3.5	-0.6
10	-3.6	-0.6
11	-3.7	-0.6
12	-3.8	-0.6
13	-3.9	-0.6
14	-4.0	-0.6
15	-4.0	-0.6
16	-4.0	-0.6
17	-3.9	-0.6
18	-3.7	-0.6
19	-3.5	-0.6
20	-3.4	-0.6
21	-3.2	-0.6
22	-3.0	-0.6
23	-2.8	-0.6
24	-2.7	-0.6
25	-2.5	-0.6
26	-2.3	-0.6
27	-2.1	-0.6
28	-1.9	-0.6
29	-1.6	-0.6
30	-1.4	-0.6
31	-1.2	-0.6
32	-1.1	-0.6
33	-1.0	-0.6
34	-0.9	-0.6
35	-0.9	-0.6
36	-0.9	-0.6
37	-0.9	-0.6
38	-0.9	-0.6
39	-0.9	-0.6
40	-1.0	-0.6
41	-0.9	-0.6
42	-0.9	-0.6
43	-0.8	-0.6
44	-0.6	-0.6
45	-0.5	-0.6
46	-0.3	-0.6
47	-0.1	-0.6
48	0.2	-0.6
49	0.5	-0.6
50	0.8	-0.6
51	1.2	-0.6
52	1.8	-0.6
53	2.5	-0.6
54	3.4	-0.6
55	4.5	-0.6
56	5.7	-0.6
57	6.8	-0.6
58	7.8	-0.6
59	8.4	-0.6
60	8.5	-0.6
61	8.1	-0.6
62	7.3	-0.6
63	6.1	-0.6
64	4.6	-0.6
65	3.2	-0.6
66	1.8	-0.6
67	0.6	-0.6
68	-0.4	-0.6
69	-1.1	-0.6
70	-1.6	-0.6
71	-2.0	-0.6
72	-2.2	-0.6
73	-2.4	-0.6
74	-2.6	-0.6
75	-2.9	-0.6
76	-3.2	-0.6
77	-3.5	-0.6
78	-3.9	-0.6
79	-4.2	-0.6
80	-4.4	-0.6
81	-4.6	-0.6
82	-4.6	-0.6
83	-4.5	-0.6
84	-4.3	-0.6
85	-4.1	-0.6
86	-3.8	-0.6
87	-3.6	-0.6
88	-3.4	-0.6
89	-3.3	-0.6
90	-3.2	-0.6
91	-3.1	-0.6
92	-3.0	-0.6
93	-2.9	-0.6
94	-2.8	-0.6
95	-2.7	-0.6
96	-2.6	-0.6
97	-2.5	-0.6
98	-2.5	-0.6
99	-2.6	-0.6
100	-2.7	-0.6
101	-2.9	-0.6
