	Gait LB - IOR 5.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Z	Z
1	-11.29	-12.21
2	-11.18	-12.21
3	-11.25	-12.21
4	-11.42	-12.21
5	-11.59	-12.21
6	-11.69	-12.21
7	-11.68	-12.21
8	-11.58	-12.21
9	-11.46	-12.21
10	-11.39	-12.21
11	-11.45	-12.21
12	-11.64	-12.21
13	-11.97	-12.21
14	-12.39	-12.21
15	-12.85	-12.21
16	-13.29	-12.21
17	-13.67	-12.21
18	-13.95	-12.21
19	-14.14	-12.21
20	-14.25	-12.21
21	-14.29	-12.21
22	-14.29	-12.21
23	-14.24	-12.21
24	-14.17	-12.21
25	-14.08	-12.21
26	-13.99	-12.21
27	-13.90	-12.21
28	-13.84	-12.21
29	-13.80	-12.21
30	-13.79	-12.21
31	-13.79	-12.21
32	-13.79	-12.21
33	-13.76	-12.21
34	-13.68	-12.21
35	-13.56	-12.21
36	-13.39	-12.21
37	-13.17	-12.21
38	-12.91	-12.21
39	-12.62	-12.21
40	-12.31	-12.21
41	-11.99	-12.21
42	-11.64	-12.21
43	-11.27	-12.21
44	-10.88	-12.21
45	-10.48	-12.21
46	-10.08	-12.21
47	-9.72	-12.22
48	-9.42	-12.22
49	-9.22	-12.22
50	-9.16	-12.22
51	-9.25	-12.22
52	-9.50	-12.22
53	-9.92	-12.22
54	-10.45	-12.22
55	-11.05	-12.22
56	-11.62	-12.22
57	-12.09	-12.22
58	-12.39	-12.22
59	-12.52	-12.22
60	-12.54	-12.22
61	-12.55	-12.22
62	-12.67	-12.22
63	-13.02	-12.22
64	-13.66	-12.22
65	-14.59	-12.22
66	-15.73	-12.22
67	-16.99	-12.22
68	-18.26	-12.22
69	-19.42	-12.22
70	-20.42	-12.22
71	-21.23	-12.22
72	-21.85	-12.22
73	-22.31	-12.22
74	-22.64	-12.22
75	-22.89	-12.22
76	-23.08	-12.22
77	-23.25	-12.22
78	-23.40	-12.22
79	-23.55	-12.22
80	-23.67	-12.22
81	-23.76	-12.22
82	-23.79	-12.22
83	-23.74	-12.22
84	-23.57	-12.22
85	-23.27	-12.22
86	-22.81	-12.22
87	-22.17	-12.22
88	-21.36	-12.22
89	-20.40	-12.22
90	-19.36	-12.22
91	-18.32	-12.22
92	-17.37	-12.22
93	-16.54	-12.22
94	-15.85	-12.22
95	-15.26	-12.22
96	-14.73	-12.22
97	-14.24	-12.22
98	-13.77	-12.22
99	-13.34	-12.22
100	-13.00	-12.22
101	-12.77	-12.22
