	Gait LB - IOR 5.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Y	Y
1	-4.78	-1.55
2	-4.54	-1.55
3	-4.26	-1.55
4	-3.93	-1.55
5	-3.55	-1.55
6	-3.15	-1.55
7	-2.73	-1.55
8	-2.29	-1.55
9	-1.87	-1.55
10	-1.46	-1.55
11	-1.09	-1.55
12	-0.77	-1.55
13	-0.52	-1.55
14	-0.36	-1.55
15	-0.29	-1.55
16	-0.31	-1.55
17	-0.41	-1.55
18	-0.59	-1.55
19	-0.83	-1.55
20	-1.10	-1.55
21	-1.40	-1.55
22	-1.70	-1.55
23	-2.00	-1.55
24	-2.28	-1.55
25	-2.55	-1.55
26	-2.79	-1.55
27	-3.00	-1.55
28	-3.17	-1.55
29	-3.31	-1.55
30	-3.41	-1.55
31	-3.48	-1.55
32	-3.51	-1.55
33	-3.51	-1.55
34	-3.48	-1.55
35	-3.43	-1.55
36	-3.35	-1.55
37	-3.26	-1.55
38	-3.15	-1.55
39	-3.04	-1.55
40	-2.94	-1.55
41	-2.85	-1.55
42	-2.77	-1.55
43	-2.71	-1.55
44	-2.69	-1.55
45	-2.69	-1.55
46	-2.72	-1.55
47	-2.78	-1.55
48	-2.88	-1.55
49	-3.01	-1.55
50	-3.18	-1.55
51	-3.39	-1.55
52	-3.63	-1.55
53	-3.91	-1.55
54	-4.20	-1.55
55	-4.49	-1.55
56	-4.78	-1.55
57	-5.04	-1.55
58	-5.26	-1.55
59	-5.46	-1.55
60	-5.62	-1.55
61	-5.73	-1.55
62	-5.79	-1.55
63	-5.80	-1.55
64	-5.75	-1.55
65	-5.63	-1.55
66	-5.46	-1.55
67	-5.22	-1.54
68	-4.95	-1.54
69	-4.64	-1.54
70	-4.32	-1.54
71	-3.99	-1.54
72	-3.67	-1.54
73	-3.37	-1.54
74	-3.10	-1.54
75	-2.87	-1.54
76	-2.66	-1.54
77	-2.50	-1.54
78	-2.36	-1.54
79	-2.26	-1.54
80	-2.19	-1.54
81	-2.15	-1.54
82	-2.13	-1.54
83	-2.13	-1.54
84	-2.15	-1.54
85	-2.19	-1.54
86	-2.25	-1.54
87	-2.32	-1.54
88	-2.41	-1.54
89	-2.51	-1.54
90	-2.63	-1.54
91	-2.76	-1.54
92	-2.89	-1.54
93	-3.01	-1.54
94	-3.13	-1.54
95	-3.23	-1.54
96	-3.30	-1.54
97	-3.34	-1.54
98	-3.33	-1.54
99	-3.29	-1.54
100	-3.20	-1.54
101	-3.07	-1.54
