	Gait LB - IOR 5.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Z	Z
1	6.43	2.80
2	6.36	2.80
3	6.29	2.80
4	6.22	2.80
5	6.13	2.80
6	6.03	2.80
7	5.93	2.80
8	5.83	2.80
9	5.75	2.80
10	5.70	2.80
11	5.69	2.80
12	5.71	2.80
13	5.76	2.80
14	5.82	2.80
15	5.87	2.80
16	5.89	2.80
17	5.86	2.80
18	5.76	2.80
19	5.60	2.80
20	5.37	2.80
21	5.09	2.80
22	4.76	2.80
23	4.40	2.80
24	4.04	2.80
25	3.67	2.80
26	3.32	2.80
27	3.00	2.80
28	2.71	2.80
29	2.46	2.80
30	2.24	2.80
31	2.05	2.80
32	1.89	2.80
33	1.75	2.80
34	1.63	2.80
35	1.52	2.80
36	1.43	2.80
37	1.35	2.80
38	1.28	2.80
39	1.21	2.80
40	1.15	2.80
41	1.10	2.80
42	1.06	2.80
43	1.01	2.80
44	0.97	2.80
45	0.91	2.80
46	0.85	2.80
47	0.78	2.80
48	0.69	2.80
49	0.58	2.80
50	0.47	2.80
51	0.37	2.80
52	0.28	2.80
53	0.23	2.80
54	0.21	2.80
55	0.22	2.80
56	0.27	2.80
57	0.32	2.80
58	0.38	2.80
59	0.42	2.80
60	0.43	2.80
61	0.42	2.80
62	0.39	2.80
63	0.35	2.80
64	0.31	2.80
65	0.31	2.80
66	0.36	2.80
67	0.49	2.80
68	0.71	2.80
69	1.00	2.80
70	1.38	2.80
71	1.81	2.80
72	2.28	2.80
73	2.76	2.80
74	3.23	2.80
75	3.67	2.80
76	4.07	2.80
77	4.43	2.80
78	4.74	2.80
79	5.01	2.80
80	5.23	2.80
81	5.41	2.80
82	5.56	2.80
83	5.67	2.80
84	5.76	2.80
85	5.82	2.80
86	5.87	2.80
87	5.90	2.80
88	5.93	2.80
89	5.96	2.80
90	6.00	2.80
91	6.05	2.80
92	6.11	2.80
93	6.18	2.80
94	6.25	2.80
95	6.31	2.80
96	6.35	2.80
97	6.37	2.80
98	6.36	2.80
99	6.32	2.80
100	6.25	2.80
101	6.16	2.80
