	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	3.3	4.5	1.3	8.5
2	2.2	3.6	0.6	8.5
3	1.1	2.6	0.0	8.5
4	0.0	1.5	-0.5	8.5
5	-0.8	0.5	-0.9	8.5
6	-1.2	-0.3	-1.0	8.5
7	-1.4	-0.8	-0.9	8.5
8	-1.1	-0.9	-0.6	8.5
9	-0.6	-0.8	-0.1	8.5
10	0.0	-0.4	0.5	8.5
11	0.7	0.2	1.1	8.5
12	1.5	0.8	1.8	8.5
13	2.1	1.5	2.5	8.5
14	2.8	2.1	3.2	8.5
15	3.3	2.7	3.8	8.5
16	3.8	3.2	4.3	8.5
17	4.2	3.7	4.8	8.5
18	4.5	4.1	5.3	8.5
19	4.8	4.5	5.7	8.5
20	5.1	4.8	6.0	8.5
21	5.3	5.1	6.4	8.5
22	5.6	5.4	6.7	8.5
23	5.8	5.6	7.0	8.5
24	6.0	5.8	7.3	8.5
25	6.3	6.1	7.5	8.5
26	6.5	6.3	7.8	8.5
27	6.8	6.5	8.0	8.5
28	7.1	6.8	8.3	8.5
29	7.4	7.1	8.5	8.5
30	7.8	7.5	8.8	8.5
31	8.2	7.9	9.1	8.5
32	8.6	8.3	9.4	8.5
33	9.1	8.8	9.7	8.5
34	9.6	9.3	10.1	8.5
35	10.1	9.8	10.5	8.5
36	10.7	10.4	10.9	8.5
37	11.3	10.9	11.3	8.5
38	11.9	11.4	11.8	8.5
39	12.5	11.9	12.3	8.5
40	13.1	12.3	12.8	8.5
41	13.7	12.7	13.2	8.5
42	14.3	13.0	13.7	8.5
43	14.8	13.2	14.1	8.5
44	15.2	13.3	14.4	8.5
45	15.5	13.3	14.6	8.5
46	15.7	13.2	14.7	8.5
47	15.7	12.9	14.7	8.5
48	15.6	12.6	14.5	8.5
49	15.3	12.1	14.2	8.5
50	14.8	11.6	13.8	8.5
51	14.2	10.8	13.3	8.5
52	13.4	9.9	12.6	8.5
53	12.4	8.8	11.6	8.5
54	11.1	7.4	10.5	8.5
55	9.5	5.7	9.2	8.5
56	7.7	3.8	7.6	8.5
57	5.7	1.7	5.8	8.5
58	3.5	-0.6	3.8	8.5
59	1.4	-2.8	1.7	8.5
60	-0.6	-4.8	-0.3	8.5
61	-2.2	-6.5	-2.1	8.5
62	-3.5	-7.6	-3.6	8.5
63	-4.2	-8.3	-4.7	8.5
64	-4.4	-8.3	-5.2	8.5
65	-4.1	-7.8	-5.3	8.5
66	-3.4	-6.9	-4.7	8.5
67	-2.3	-5.5	-3.7	8.5
68	-1.0	-4.0	-2.3	8.5
69	0.5	-2.2	-0.6	8.5
70	2.0	-0.5	1.3	8.5
71	3.5	1.3	3.2	8.5
72	4.8	3.0	5.2	8.5
73	6.1	4.5	7.1	8.5
74	7.3	6.0	8.9	8.5
75	8.3	7.2	10.6	8.5
76	9.1	8.3	12.0	8.5
77	9.8	9.2	13.3	8.5
78	10.4	9.9	14.4	8.5
79	10.8	10.5	15.2	8.5
80	11.0	10.9	15.8	8.5
81	11.2	11.0	16.1	8.5
82	11.2	11.0	16.1	8.5
83	11.0	10.8	15.8	8.5
84	10.8	10.4	15.1	8.5
85	10.4	9.8	14.1	8.5
86	9.9	9.0	12.7	8.5
87	9.3	8.1	11.1	8.5
88	8.7	7.2	9.4	8.5
89	8.2	6.3	7.6	8.5
90	7.6	5.5	6.1	8.5
91	7.1	4.8	4.8	8.5
92	6.7	4.2	3.9	8.5
93	6.4	3.8	3.3	8.5
94	6.1	3.6	2.9	8.5
95	6.0	3.4	2.8	8.5
96	5.9	3.4	2.8	8.5
97	5.8	3.4	3.0	8.5
98	5.7	3.4	3.1	8.5
99	5.5	3.3	3.3	8.5
100	5.1	2.9	3.3	8.5
101	4.5	2.2	3.2	8.5
