	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y
1	3.2	4.3	3.5	0.5
2	2.2	3.8	3.0	0.5
3	1.3	3.3	2.6	0.5
4	0.4	2.7	2.2	0.5
5	-0.6	1.9	1.7	0.5
6	-1.5	1.0	1.2	0.5
7	-2.4	0.0	0.5	0.5
8	-3.2	-1.0	-0.2	0.5
9	-3.8	-2.0	-1.1	0.5
10	-4.3	-2.9	-1.9	0.5
11	-4.6	-3.5	-2.6	0.5
12	-4.8	-4.0	-3.2	0.5
13	-4.8	-4.2	-3.7	0.5
14	-4.8	-4.3	-3.9	0.5
15	-4.6	-4.3	-4.1	0.5
16	-4.5	-4.2	-4.1	0.5
17	-4.3	-4.1	-4.0	0.5
18	-4.0	-4.0	-3.9	0.5
19	-3.8	-3.9	-3.8	0.5
20	-3.5	-3.8	-3.7	0.5
21	-3.3	-3.7	-3.6	0.5
22	-3.0	-3.6	-3.5	0.5
23	-2.8	-3.6	-3.4	0.5
24	-2.6	-3.5	-3.4	0.5
25	-2.5	-3.4	-3.4	0.5
26	-2.3	-3.3	-3.4	0.5
27	-2.2	-3.2	-3.3	0.5
28	-2.1	-3.1	-3.3	0.5
29	-2.1	-3.1	-3.2	0.5
30	-2.1	-3.0	-3.1	0.5
31	-2.1	-2.9	-3.0	0.5
32	-2.1	-2.7	-2.9	0.5
33	-2.1	-2.6	-2.7	0.5
34	-2.1	-2.4	-2.6	0.5
35	-2.0	-2.2	-2.4	0.5
36	-2.0	-1.9	-2.1	0.5
37	-1.9	-1.6	-1.9	0.5
38	-1.7	-1.3	-1.6	0.5
39	-1.5	-1.0	-1.2	0.5
40	-1.3	-0.6	-0.9	0.5
41	-1.0	-0.2	-0.5	0.5
42	-0.6	0.2	-0.1	0.5
43	-0.2	0.7	0.4	0.5
44	0.3	1.2	0.9	0.5
45	0.8	1.9	1.5	0.5
46	1.5	2.6	2.1	0.5
47	2.1	3.3	2.8	0.5
48	2.9	4.1	3.6	0.5
49	3.6	4.9	4.4	0.5
50	4.3	5.6	5.2	0.5
51	5.0	6.3	6.0	0.5
52	5.5	6.8	6.7	0.5
53	5.8	7.1	7.3	0.5
54	5.8	7.1	7.6	0.5
55	5.5	6.8	7.6	0.5
56	4.9	6.0	7.2	0.5
57	3.9	4.9	6.4	0.5
58	2.6	3.4	5.2	0.5
59	1.1	1.8	3.7	0.5
60	-0.4	0.1	1.9	0.5
61	-1.7	-1.3	0.1	0.5
62	-2.7	-2.4	-1.4	0.5
63	-3.2	-3.0	-2.6	0.5
64	-3.5	-3.2	-3.4	0.5
65	-3.5	-3.2	-3.8	0.5
66	-3.4	-3.0	-3.9	0.5
67	-3.3	-2.8	-3.8	0.5
68	-3.1	-2.7	-3.7	0.5
69	-2.8	-2.5	-3.4	0.5
70	-2.5	-2.2	-3.1	0.5
71	-2.1	-2.0	-2.8	0.5
72	-1.7	-1.6	-2.3	0.5
73	-1.2	-1.2	-1.8	0.5
74	-0.7	-0.8	-1.3	0.5
75	-0.3	-0.4	-0.8	0.5
76	-0.0	-0.1	-0.3	0.5
77	0.2	0.2	0.1	0.5
78	0.4	0.5	0.3	0.5
79	0.6	0.7	0.6	0.5
80	0.7	0.9	0.7	0.5
81	0.8	1.1	0.8	0.5
82	0.9	1.2	0.9	0.5
83	1.0	1.3	0.9	0.5
84	1.2	1.4	0.9	0.5
85	1.3	1.5	0.8	0.5
86	1.5	1.6	0.7	0.5
87	1.6	1.7	0.5	0.5
88	1.8	1.9	0.3	0.5
89	2.0	2.0	0.1	0.5
90	2.2	2.3	-0.1	0.5
91	2.5	2.6	-0.2	0.5
92	2.8	3.0	-0.1	0.5
93	3.2	3.4	0.1	0.5
94	3.6	3.7	0.4	0.5
95	4.0	3.9	0.7	0.5
96	4.3	4.0	1.1	0.5
97	4.6	3.9	1.4	0.5
98	4.7	3.7	1.6	0.5
99	4.7	3.2	1.7	0.5
100	4.5	2.7	1.6	0.5
101	4.3	2.1	1.3	0.5
