	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right GRF	Right GRF	Right GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z
1	0.0436	0.1030	1.0002
2	0.2438	0.3004	1.0002
3	0.3677	0.3131	1.0002
4	0.4084	0.2932	1.0002
5	0.4470	0.2537	1.0002
6	0.5150	0.2350	1.0002
7	0.6373	0.2722	1.0002
8	0.7726	0.3560	1.0002
9	0.8888	0.4645	1.0002
10	0.9800	0.5882	1.0002
11	1.0411	0.7130	1.0002
12	1.0785	0.8243	1.0002
13	1.0895	0.9173	1.0002
14	1.0804	0.9888	1.0002
15	1.0592	1.0381	1.0002
16	1.0297	1.0651	1.0002
17	0.9926	1.0694	1.0002
18	0.9517	1.0576	1.0002
19	0.9109	1.0349	1.0002
20	0.8735	1.0029	1.0002
21	0.8433	0.9640	1.0002
22	0.8187	0.9211	1.0002
23	0.7989	0.8767	1.0002
24	0.7850	0.8360	1.0002
25	0.7768	0.8022	1.0001
26	0.7758	0.7763	1.0001
27	0.7827	0.7589	1.0001
28	0.7964	0.7504	1.0001
29	0.8145	0.7497	1.0001
30	0.8333	0.7542	1.0001
31	0.8507	0.7637	1.0001
32	0.8660	0.7765	1.0001
33	0.8802	0.7907	1.0001
34	0.8937	0.8074	1.0001
35	0.9072	0.8260	1.0001
36	0.9198	0.8448	1.0001
37	0.9312	0.8620	1.0001
38	0.9444	0.8791	1.0001
39	0.9637	0.9010	1.0001
40	0.9928	0.9279	1.0001
41	1.0307	0.9594	1.0001
42	1.0714	0.9977	1.0001
43	1.1085	1.0461	1.0001
44	1.1381	1.1027	1.0001
45	1.1572	1.1584	1.0001
46	1.1642	1.2031	1.0001
47	1.1601	1.2302	1.0001
48	1.1450	1.2399	1.0001
49	1.1176	1.2344	1.0001
50	1.0773	1.2152	1.0001
51	1.0246	1.1817	1.0001
52	0.9602	1.1303	1.0001
53	0.8791	1.0556	1.0001
54	0.7761	0.9584	1.0001
55	0.6524	0.8437	1.0001
56	0.5050	0.7129	1.0001
57	0.3446	0.5635	1.0001
58	0.2039	0.3987	1.0001
59	0.1110	0.2447	1.0001
60	0.0605	0.1328	1.0001
61	0.0287	0.0683	1.0001
62	-0.0017	0.0315	1.0001
63	0.0006	0.0026	1.0001
64	-0.0002	-0.0002	1.0001
65	0.0000	-0.0000	1.0001
66	-0.0000	0.0000	1.0001
67	0.0000	-0.0000	1.0001
68	0.0000	0.0000	1.0000
69	-0.0000	-0.0000	1.0000
70	0.0000	0.0000	1.0000
71	-0.0000	-0.0000	1.0000
72	0.0000	0.0000	1.0000
73	-0.0000	-0.0000	1.0000
74	0.0000	-0.0000	1.0000
75	0.0000	0.0000	1.0000
76	-0.0000	-0.0000	1.0000
77	0.0000	0.0000	1.0000
78	-0.0000	-0.0000	1.0000
79	0.0000	0.0000	1.0000
80	-0.0000	-0.0000	1.0000
81	0.0000	0.0000	1.0000
82	0.0000	-0.0000	1.0000
83	-0.0000	-0.0000	1.0000
84	0.0000	0.0000	1.0000
85	-0.0000	-0.0000	1.0000
86	0.0000	0.0000	1.0000
87	-0.0000	-0.0000	1.0000
88	-0.0000	0.0000	1.0000
89	0.0000	-0.0000	1.0000
90	-0.0000	0.0000	1.0000
91	0.0000	-0.0000	1.0000
92	-0.0000	-0.0000	1.0000
93	0.0000	0.0000	1.0000
94	-0.0000	-0.0000	1.0000
95	-0.0000	0.0000	1.0000
96	0.0000	-0.0000	1.0000
97	-0.0000	0.0000	1.0000
98	0.0000	-0.0000	1.0000
99	-0.0000	0.0000	1.0000
100	0.0000	-0.0000	1.0000
101	0.0000	0.0000	1.0000
