	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	-11.77	-8.94	-11.79	-9.03
2	-11.31	-8.91	-11.17	-9.03
3	-10.80	-8.81	-10.39	-9.03
4	-10.29	-8.63	-9.53	-9.03
5	-9.82	-8.38	-8.70	-9.03
6	-9.44	-8.10	-8.04	-9.03
7	-9.20	-7.82	-7.61	-9.03
8	-9.09	-7.56	-7.46	-9.03
9	-9.10	-7.35	-7.57	-9.03
10	-9.19	-7.19	-7.86	-9.03
11	-9.30	-7.09	-8.25	-9.03
12	-9.41	-7.07	-8.64	-9.03
13	-9.49	-7.11	-8.99	-9.03
14	-9.53	-7.21	-9.26	-9.03
15	-9.53	-7.36	-9.43	-9.03
16	-9.49	-7.51	-9.52	-9.03
17	-9.41	-7.63	-9.50	-9.03
18	-9.27	-7.71	-9.36	-9.03
19	-9.10	-7.74	-9.09	-9.03
20	-8.89	-7.71	-8.68	-9.03
21	-8.66	-7.65	-8.17	-9.03
22	-8.42	-7.57	-7.57	-9.03
23	-8.20	-7.49	-6.94	-9.03
24	-8.01	-7.41	-6.33	-9.03
25	-7.85	-7.35	-5.77	-9.03
26	-7.72	-7.31	-5.31	-9.03
27	-7.60	-7.26	-4.94	-9.03
28	-7.49	-7.21	-4.67	-9.03
29	-7.37	-7.14	-4.48	-9.03
30	-7.22	-7.04	-4.36	-9.03
31	-7.03	-6.90	-4.29	-9.03
32	-6.81	-6.73	-4.25	-9.03
33	-6.56	-6.52	-4.24	-9.03
34	-6.27	-6.28	-4.24	-9.03
35	-5.99	-6.03	-4.26	-9.03
36	-5.71	-5.78	-4.29	-9.03
37	-5.46	-5.57	-4.34	-9.03
38	-5.25	-5.41	-4.38	-9.03
39	-5.09	-5.33	-4.43	-9.03
40	-4.99	-5.34	-4.46	-9.03
41	-4.95	-5.46	-4.50	-9.03
42	-4.97	-5.68	-4.55	-9.03
43	-5.07	-5.98	-4.64	-9.03
44	-5.22	-6.35	-4.78	-9.03
45	-5.42	-6.74	-5.01	-9.03
46	-5.67	-7.13	-5.33	-9.03
47	-5.92	-7.47	-5.73	-9.03
48	-6.15	-7.73	-6.20	-9.03
49	-6.34	-7.90	-6.67	-9.03
50	-6.46	-7.99	-7.11	-9.03
51	-6.52	-8.00	-7.47	-9.03
52	-6.54	-7.98	-7.72	-9.03
53	-6.58	-7.97	-7.86	-9.03
54	-6.68	-8.04	-7.92	-9.03
55	-6.93	-8.23	-7.95	-9.03
56	-7.36	-8.59	-8.01	-9.03
57	-7.98	-9.10	-8.15	-9.03
58	-8.76	-9.72	-8.40	-9.03
59	-9.61	-10.35	-8.74	-9.03
60	-10.40	-10.89	-9.14	-9.03
61	-11.01	-11.22	-9.53	-9.03
62	-11.35	-11.26	-9.84	-9.03
63	-11.36	-11.01	-10.00	-9.03
64	-11.05	-10.50	-9.99	-9.03
65	-10.50	-9.80	-9.81	-9.03
66	-9.79	-9.03	-9.50	-9.03
67	-9.02	-8.27	-9.12	-9.03
68	-8.29	-7.61	-8.74	-9.03
69	-7.63	-7.08	-8.41	-9.03
70	-7.09	-6.70	-8.15	-9.03
71	-6.66	-6.45	-7.98	-9.03
72	-6.35	-6.30	-7.91	-9.03
73	-6.11	-6.20	-7.90	-9.03
74	-5.93	-6.12	-7.92	-9.03
75	-5.77	-6.04	-7.94	-9.03
76	-5.61	-5.92	-7.94	-9.03
77	-5.43	-5.79	-7.89	-9.03
78	-5.23	-5.66	-7.79	-9.03
79	-5.03	-5.54	-7.64	-9.03
80	-4.84	-5.44	-7.47	-9.03
81	-4.71	-5.39	-7.33	-9.04
82	-4.65	-5.40	-7.24	-9.04
83	-4.70	-5.49	-7.26	-9.04
84	-4.86	-5.68	-7.41	-9.04
85	-5.15	-5.99	-7.72	-9.04
86	-5.55	-6.41	-8.19	-9.04
87	-6.05	-6.95	-8.81	-9.04
88	-6.60	-7.58	-9.54	-9.04
89	-7.18	-8.28	-10.35	-9.04
90	-7.74	-8.99	-11.19	-9.04
91	-8.23	-9.67	-12.00	-9.04
92	-8.61	-10.27	-12.72	-9.04
93	-8.88	-10.77	-13.32	-9.04
94	-9.03	-11.16	-13.75	-9.04
95	-9.07	-11.43	-14.01	-9.04
96	-9.05	-11.62	-14.09	-9.04
97	-9.00	-11.73	-14.03	-9.04
98	-8.95	-11.75	-13.86	-9.04
99	-8.93	-11.69	-13.60	-9.04
100	-8.94	-11.50	-13.29	-9.04
101	-8.94	-11.15	-12.92	-9.04
