	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	9.3	9.9	7.4	3.4
2	10.8	11.1	9.5	3.4
3	12.1	12.2	11.6	3.4
4	13.2	13.1	13.7	3.4
5	14.2	13.9	15.6	3.4
6	14.9	14.5	17.3	3.4
7	15.4	14.9	18.7	3.4
8	15.8	15.3	19.7	3.4
9	16.0	15.4	20.4	3.4
10	15.9	15.4	20.7	3.4
11	15.7	15.3	20.8	3.4
12	15.4	15.1	20.6	3.4
13	14.8	14.7	20.3	3.4
14	14.2	14.3	19.8	3.4
15	13.5	13.7	19.3	3.4
16	12.8	13.1	18.7	3.4
17	12.1	12.5	18.1	3.4
18	11.3	11.9	17.4	3.4
19	10.5	11.2	16.8	3.4
20	9.8	10.5	16.0	3.4
21	9.0	9.8	15.3	3.4
22	8.3	9.0	14.5	3.4
23	7.6	8.3	13.6	3.4
24	6.9	7.5	12.8	3.4
25	6.3	6.8	12.0	3.4
26	5.6	6.0	11.1	3.4
27	5.0	5.3	10.3	3.4
28	4.5	4.7	9.5	3.4
29	3.9	4.1	8.7	3.4
30	3.5	3.6	7.9	3.4
31	3.1	3.3	7.2	3.4
32	2.7	3.0	6.5	3.4
33	2.5	2.8	5.8	3.4
34	2.3	2.7	5.2	3.4
35	2.1	2.7	4.6	3.4
36	2.1	2.7	4.2	3.4
37	2.1	2.7	3.8	3.4
38	2.2	2.8	3.5	3.4
39	2.4	3.0	3.4	3.4
40	2.7	3.1	3.3	3.4
41	3.0	3.4	3.4	3.4
42	3.5	3.7	3.6	3.4
43	4.1	4.1	3.8	3.4
44	4.7	4.6	4.2	3.4
45	5.5	5.2	4.6	3.4
46	6.3	5.9	5.1	3.4
47	7.2	6.8	5.6	3.4
48	8.2	7.8	6.3	3.4
49	9.4	9.0	7.1	3.4
50	10.7	10.4	8.0	3.4
51	12.2	12.0	9.2	3.4
52	14.0	13.8	10.6	3.4
53	16.1	16.0	12.3	3.4
54	18.6	18.5	14.3	3.4
55	21.4	21.4	16.6	3.4
56	24.6	24.6	19.4	3.4
57	28.1	28.2	22.5	3.4
58	31.9	32.1	25.9	3.4
59	35.9	36.1	29.7	3.4
60	39.9	40.3	33.7	3.4
61	44.0	44.4	37.8	3.4
62	48.0	48.4	41.9	3.4
63	51.7	52.3	46.0	3.4
64	55.2	55.8	49.8	3.4
65	58.2	58.9	53.3	3.4
66	60.9	61.5	56.4	3.4
67	63.1	63.7	59.1	3.4
68	64.8	65.4	61.3	3.4
69	66.1	66.6	63.0	3.4
70	66.9	67.3	64.3	3.4
71	67.2	67.5	65.1	3.4
72	67.1	67.3	65.5	3.4
73	66.7	66.6	65.4	3.4
74	65.8	65.6	65.0	3.4
75	64.5	64.2	64.2	3.4
76	62.9	62.4	63.1	3.4
77	61.0	60.3	61.7	3.4
78	58.7	57.9	59.9	3.4
79	56.1	55.1	57.9	3.4
80	53.2	52.1	55.6	3.4
81	50.0	48.7	53.0	3.4
82	46.5	45.1	50.1	3.4
83	42.7	41.2	46.9	3.4
84	38.7	37.2	43.6	3.4
85	34.6	33.0	40.0	3.4
86	30.4	28.8	36.3	3.4
87	26.3	24.6	32.5	3.4
88	22.3	20.6	28.7	3.4
89	18.6	16.7	25.0	3.4
90	15.2	13.3	21.4	3.4
91	12.3	10.3	18.1	3.4
92	9.8	7.8	15.0	3.4
93	7.9	5.9	12.2	3.4
94	6.5	4.7	9.8	3.4
95	5.8	4.2	7.9	3.4
96	5.6	4.3	6.5	3.4
97	5.8	4.9	5.7	3.4
98	6.5	6.0	5.5	3.4
99	7.5	7.4	5.9	3.4
100	8.7	8.8	6.7	3.4
101	9.9	10.2	7.9	3.4
