	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	-15.58	-14.67	-13.64	-14.82
2	-15.66	-14.71	-13.64	-14.82
3	-15.77	-14.77	-13.83	-14.82
4	-15.87	-14.82	-14.12	-14.82
5	-15.94	-14.82	-14.40	-14.82
6	-15.94	-14.76	-14.57	-14.82
7	-15.90	-14.65	-14.60	-14.82
8	-15.84	-14.52	-14.47	-14.82
9	-15.81	-14.40	-14.24	-14.82
10	-15.83	-14.32	-13.97	-14.82
11	-15.93	-14.30	-13.69	-14.82
12	-16.10	-14.32	-13.44	-14.82
13	-16.31	-14.38	-13.22	-14.82
14	-16.56	-14.46	-13.03	-14.82
15	-16.81	-14.54	-12.86	-14.82
16	-17.04	-14.62	-12.71	-14.82
17	-17.24	-14.68	-12.60	-14.82
18	-17.40	-14.74	-12.54	-14.82
19	-17.51	-14.79	-12.57	-14.82
20	-17.55	-14.80	-12.69	-14.82
21	-17.53	-14.79	-12.90	-14.82
22	-17.44	-14.72	-13.17	-14.82
23	-17.29	-14.61	-13.46	-14.82
24	-17.09	-14.47	-13.72	-14.82
25	-16.84	-14.30	-13.94	-14.82
26	-16.56	-14.12	-14.09	-14.82
27	-16.26	-13.95	-14.16	-14.83
28	-15.95	-13.81	-14.17	-14.83
29	-15.66	-13.70	-14.12	-14.83
30	-15.38	-13.63	-14.05	-14.83
31	-15.12	-13.60	-13.97	-14.83
32	-14.88	-13.59	-13.90	-14.83
33	-14.66	-13.62	-13.83	-14.83
34	-14.45	-13.67	-13.78	-14.83
35	-14.25	-13.74	-13.75	-14.83
36	-14.06	-13.82	-13.71	-14.83
37	-13.87	-13.90	-13.67	-14.83
38	-13.66	-13.94	-13.62	-14.83
39	-13.44	-13.94	-13.54	-14.83
40	-13.20	-13.87	-13.44	-14.83
41	-12.93	-13.71	-13.30	-14.83
42	-12.63	-13.46	-13.13	-14.83
43	-12.30	-13.11	-12.92	-14.83
44	-11.94	-12.69	-12.66	-14.83
45	-11.55	-12.21	-12.35	-14.83
46	-11.13	-11.70	-11.98	-14.83
47	-10.70	-11.21	-11.58	-14.83
48	-10.28	-10.77	-11.15	-14.83
49	-9.91	-10.43	-10.73	-14.83
50	-9.61	-10.20	-10.36	-14.83
51	-9.42	-10.12	-10.07	-14.83
52	-9.37	-10.19	-9.91	-14.83
53	-9.46	-10.40	-9.89	-14.83
54	-9.69	-10.73	-10.02	-14.83
55	-10.02	-11.13	-10.26	-14.83
56	-10.42	-11.57	-10.59	-14.83
57	-10.83	-11.98	-10.95	-14.83
58	-11.25	-12.32	-11.32	-14.83
59	-11.65	-12.59	-11.64	-14.83
60	-12.07	-12.82	-11.94	-14.83
61	-12.55	-13.07	-12.24	-14.83
62	-13.15	-13.41	-12.61	-14.83
63	-13.91	-13.92	-13.12	-14.83
64	-14.83	-14.62	-13.83	-14.83
65	-15.89	-15.50	-14.73	-14.84
66	-17.03	-16.52	-15.81	-14.84
67	-18.19	-17.62	-16.98	-14.84
68	-19.33	-18.73	-18.17	-14.84
69	-20.38	-19.79	-19.29	-14.84
70	-21.33	-20.74	-20.30	-14.84
71	-22.17	-21.58	-21.14	-14.84
72	-22.87	-22.27	-21.80	-14.84
73	-23.44	-22.82	-22.29	-14.84
74	-23.89	-23.23	-22.59	-14.84
75	-24.21	-23.53	-22.74	-14.84
76	-24.42	-23.72	-22.75	-14.84
77	-24.55	-23.83	-22.67	-14.84
78	-24.62	-23.90	-22.52	-14.84
79	-24.67	-23.96	-22.38	-14.84
80	-24.72	-24.04	-22.29	-14.84
81	-24.80	-24.17	-22.31	-14.84
82	-24.91	-24.35	-22.47	-14.84
83	-25.02	-24.54	-22.78	-14.84
84	-25.11	-24.70	-23.22	-14.84
85	-25.12	-24.76	-23.74	-14.84
86	-25.00	-24.65	-24.25	-14.84
87	-24.68	-24.31	-24.66	-14.84
88	-24.11	-23.68	-24.87	-14.84
89	-23.27	-22.77	-24.79	-14.84
90	-22.19	-21.62	-24.40	-14.84
91	-20.95	-20.33	-23.71	-14.84
92	-19.63	-19.02	-22.79	-14.84
93	-18.36	-17.82	-21.73	-14.84
94	-17.25	-16.79	-20.64	-14.84
95	-16.33	-15.99	-19.60	-14.84
96	-15.65	-15.40	-18.67	-14.84
97	-15.19	-15.00	-17.88	-14.84
98	-14.90	-14.77	-17.21	-14.84
99	-14.74	-14.66	-16.65	-14.84
100	-14.67	-14.67	-16.19	-14.84
101	-14.67	-14.75	-15.84	-14.84
