	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y
1	2.96	3.20	0.13	1.55
2	3.23	3.42	0.43	1.55
3	3.53	3.67	0.79	1.55
4	3.87	3.95	1.23	1.55
5	4.23	4.25	1.70	1.55
6	4.59	4.54	2.20	1.55
7	4.94	4.82	2.69	1.55
8	5.27	5.08	3.17	1.55
9	5.57	5.30	3.60	1.55
10	5.83	5.49	3.98	1.55
11	6.03	5.64	4.32	1.55
12	6.17	5.75	4.62	1.55
13	6.24	5.80	4.89	1.55
14	6.23	5.80	5.11	1.55
15	6.16	5.73	5.30	1.55
16	6.04	5.59	5.43	1.55
17	5.86	5.40	5.50	1.55
18	5.65	5.15	5.49	1.55
19	5.42	4.86	5.40	1.55
20	5.18	4.55	5.24	1.55
21	4.95	4.22	5.03	1.55
22	4.73	3.89	4.76	1.55
23	4.53	3.58	4.47	1.55
24	4.37	3.28	4.16	1.55
25	4.24	3.02	3.85	1.55
26	4.14	2.79	3.55	1.55
27	4.08	2.60	3.25	1.55
28	4.06	2.44	2.98	1.55
29	4.06	2.32	2.73	1.55
30	4.08	2.23	2.51	1.55
31	4.12	2.17	2.32	1.55
32	4.18	2.14	2.17	1.55
33	4.25	2.13	2.04	1.55
34	4.33	2.14	1.93	1.55
35	4.42	2.17	1.86	1.55
36	4.52	2.22	1.80	1.55
37	4.62	2.28	1.78	1.55
38	4.71	2.36	1.77	1.55
39	4.81	2.46	1.80	1.55
40	4.89	2.57	1.86	1.55
41	4.98	2.69	1.94	1.55
42	5.05	2.82	2.05	1.55
43	5.12	2.95	2.18	1.55
44	5.18	3.07	2.32	1.55
45	5.22	3.18	2.47	1.55
46	5.24	3.27	2.60	1.55
47	5.22	3.32	2.72	1.55
48	5.18	3.34	2.79	1.55
49	5.09	3.31	2.81	1.55
50	4.96	3.25	2.78	1.55
51	4.78	3.13	2.67	1.55
52	4.55	2.98	2.51	1.55
53	4.27	2.77	2.29	1.55
54	3.95	2.53	2.02	1.55
55	3.58	2.23	1.73	1.55
56	3.19	1.90	1.44	1.55
57	2.77	1.53	1.15	1.55
58	2.35	1.15	0.89	1.55
59	1.93	0.77	0.65	1.55
60	1.52	0.39	0.43	1.55
61	1.15	0.05	0.22	1.55
62	0.83	-0.23	0.03	1.55
63	0.57	-0.43	-0.14	1.55
64	0.39	-0.54	-0.27	1.55
65	0.29	-0.54	-0.36	1.55
66	0.29	-0.44	-0.38	1.55
67	0.37	-0.25	-0.32	1.54
68	0.53	0.02	-0.17	1.54
69	0.75	0.35	0.06	1.54
70	1.01	0.72	0.35	1.54
71	1.29	1.10	0.69	1.54
72	1.59	1.49	1.06	1.54
73	1.88	1.85	1.44	1.54
74	2.17	2.19	1.82	1.54
75	2.44	2.49	2.18	1.54
76	2.69	2.74	2.53	1.54
77	2.91	2.94	2.84	1.54
78	3.09	3.10	3.12	1.54
79	3.25	3.21	3.37	1.54
80	3.37	3.29	3.59	1.54
81	3.45	3.35	3.76	1.54
82	3.50	3.38	3.89	1.54
83	3.52	3.39	3.97	1.54
84	3.50	3.39	4.01	1.54
85	3.46	3.38	4.01	1.54
86	3.40	3.35	3.96	1.54
87	3.32	3.31	3.88	1.54
88	3.22	3.25	3.76	1.54
89	3.12	3.18	3.62	1.54
90	3.01	3.09	3.45	1.54
91	2.91	3.00	3.26	1.54
92	2.82	2.91	3.06	1.54
93	2.75	2.84	2.87	1.54
94	2.70	2.78	2.68	1.54
95	2.68	2.76	2.51	1.54
96	2.69	2.77	2.37	1.54
97	2.73	2.83	2.27	1.54
98	2.79	2.93	2.21	1.54
99	2.89	3.07	2.20	1.54
100	3.03	3.24	2.25	1.54
101	3.20	3.45	2.34	1.54
