	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	26.1	23.0	20.5	22.2	20.1	23.9	21.6	20.2	19.7	21.5	22.7	0.0
2	23.5	20.0	17.6	18.9	16.3	20.4	18.1	16.5	16.4	17.9	19.4	0.0
3	20.1	16.5	14.3	15.1	12.4	16.3	14.3	12.5	12.8	14.0	15.7	0.0
4	16.3	12.9	11.0	11.4	8.7	12.2	10.6	8.9	9.3	10.4	11.9	0.0
5	12.5	9.6	8.1	8.1	5.8	8.5	7.5	6.0	6.5	7.5	8.6	0.0
6	9.1	6.9	5.9	5.7	3.7	5.7	5.2	4.0	4.4	5.4	6.1	0.0
7	6.5	4.9	4.4	4.0	2.3	3.7	3.6	2.8	3.1	4.0	4.5	0.0
8	4.8	3.6	3.4	3.0	1.5	2.5	2.8	2.3	2.4	3.3	3.6	0.0
9	3.7	2.8	2.7	2.5	1.1	1.9	2.3	2.0	2.1	2.8	3.2	0.0
10	3.1	2.3	2.3	2.1	0.9	1.6	2.0	1.9	1.9	2.5	3.0	0.0
11	2.8	2.0	2.0	1.9	0.7	1.4	1.8	1.7	1.7	2.2	2.8	0.0
12	2.4	1.7	1.7	1.6	0.6	1.2	1.6	1.5	1.5	2.0	2.6	0.0
13	2.1	1.4	1.4	1.3	0.4	1.1	1.4	1.3	1.3	1.7	2.2	0.0
14	1.8	1.1	1.1	1.1	0.3	0.9	1.2	1.0	1.1	1.5	1.9	0.0
15	1.5	0.8	0.9	0.9	0.2	0.7	1.1	0.8	0.9	1.3	1.6	0.0
16	1.3	0.6	0.7	0.7	0.1	0.5	0.9	0.7	0.7	1.1	1.4	0.0
17	1.1	0.4	0.6	0.6	-0.0	0.4	0.7	0.6	0.5	1.0	1.1	0.0
18	0.9	0.2	0.4	0.5	-0.1	0.3	0.6	0.5	0.4	0.9	1.0	0.0
19	0.8	0.1	0.3	0.4	-0.2	0.2	0.5	0.4	0.3	0.8	0.8	0.0
20	0.6	-0.1	0.2	0.4	-0.3	0.0	0.4	0.3	0.2	0.7	0.7	0.0
21	0.5	-0.2	0.1	0.3	-0.4	-0.1	0.3	0.2	0.1	0.6	0.6	0.0
