	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	20.7	16.9	19.9	19.1	18.1	19.0	19.8	19.3	19.9	19.8	18.7	23.2	19.3	0.0
2	18.3	14.2	17.3	16.7	15.1	16.0	17.3	17.3	17.9	17.1	15.8	20.6	16.2	0.0
3	15.1	11.2	14.2	13.6	11.9	12.9	14.4	14.5	15.3	14.0	12.5	17.2	13.0	0.0
4	11.7	8.4	11.0	10.3	8.7	10.0	11.4	11.6	12.4	10.9	9.4	13.5	9.9	0.0
5	8.5	6.0	8.3	7.2	6.2	7.5	8.8	8.8	9.5	8.1	6.8	10.0	7.4	0.0
6	6.0	4.3	6.1	4.8	4.5	5.7	6.6	6.6	7.1	5.8	4.9	7.1	5.7	0.0
7	4.3	3.2	4.5	3.1	3.4	4.4	5.1	5.1	5.3	4.2	3.7	5.1	4.6	0.0
8	3.4	2.5	3.5	2.2	2.9	3.6	4.1	4.1	4.1	3.3	2.9	3.9	4.0	0.0
9	2.9	2.2	2.9	1.7	2.6	3.1	3.4	3.5	3.4	2.8	2.4	3.2	3.7	0.0
10	2.7	1.9	2.4	1.4	2.3	2.7	3.0	3.1	2.9	2.4	2.1	2.8	3.4	0.0
11	2.5	1.7	1.9	1.2	2.1	2.4	2.6	2.8	2.6	2.2	1.8	2.4	3.1	0.0
12	2.2	1.4	1.5	1.0	1.8	2.1	2.3	2.4	2.3	1.8	1.6	2.1	2.8	0.0
13	1.9	1.1	1.2	0.8	1.4	1.9	2.0	2.1	2.0	1.5	1.4	1.7	2.4	0.0
14	1.5	0.9	0.9	0.6	1.2	1.7	1.7	1.8	1.7	1.2	1.3	1.4	2.1	0.0
15	1.2	0.7	0.7	0.4	0.9	1.5	1.5	1.6	1.5	1.0	1.1	1.2	1.9	0.0
16	1.0	0.6	0.6	0.3	0.8	1.4	1.3	1.4	1.3	0.8	1.0	1.0	1.7	0.0
17	0.8	0.5	0.5	0.2	0.7	1.3	1.2	1.3	1.1	0.6	0.9	0.8	1.5	0.0
18	0.7	0.4	0.4	0.1	0.6	1.2	1.1	1.2	1.0	0.5	0.8	0.7	1.4	0.0
19	0.6	0.3	0.3	-0.0	0.5	1.1	1.0	1.1	0.9	0.4	0.7	0.6	1.3	0.0
20	0.5	0.3	0.3	-0.1	0.4	1.0	0.9	1.0	0.8	0.4	0.6	0.5	1.2	0.0
21	0.4	0.2	0.2	-0.1	0.4	0.9	0.8	0.9	0.7	0.3	0.5	0.5	1.1	0.0
22	0.3	0.2	0.1	-0.1	0.3	0.9	0.8	0.8	0.7	0.2	0.4	0.4	1.1	0.0
23	0.3	0.1	0.0	-0.2	0.2	0.8	0.7	0.7	0.7	0.2	0.3	0.4	1.1	0.0
24	0.2	0.1	-0.0	-0.2	0.1	0.8	0.6	0.7	0.6	0.1	0.3	0.4	1.0	0.0
25	0.1	0.1	-0.1	-0.3	-0.0	0.7	0.6	0.6	0.6	0.1	0.2	0.3	1.0	0.0
26	0.1	0.0	-0.1	-0.3	-0.1	0.6	0.5	0.6	0.5	0.1	0.2	0.3	0.9	0.0
27	-0.0	-0.0	-0.2	-0.4	-0.2	0.5	0.4	0.5	0.5	0.0	0.1	0.2	0.8	0.0
28	-0.1	-0.1	-0.2	-0.4	-0.2	0.4	0.4	0.5	0.4	-0.0	0.1	0.1	0.7	0.0
29	-0.1	-0.1	-0.3	-0.5	-0.3	0.3	0.3	0.5	0.4	-0.0	0.1	0.1	0.7	0.0
30	-0.1	-0.2	-0.3	-0.5	-0.3	0.2	0.3	0.4	0.3	-0.1	0.1	0.0	0.6	0.0
31	-0.2	-0.2	-0.3	-0.5	-0.3	0.2	0.3	0.4	0.3	-0.1	0.1	-0.0	0.6	0.0
32	-0.2	-0.2	-0.4	-0.5	-0.3	0.2	0.3	0.4	0.2	-0.1	0.1	-0.0	0.5	0.0
33	-0.2	-0.3	-0.4	-0.5	-0.3	0.2	0.3	0.4	0.2	-0.1	0.1	-0.0	0.5	0.0
34	-0.2	-0.3	-0.4	-0.5	-0.4	0.2	0.3	0.4	0.1	-0.1	0.1	-0.0	0.5	0.0
35	-0.2	-0.3	-0.4	-0.5	-0.4	0.2	0.3	0.4	0.1	-0.1	0.1	-0.0	0.5	0.0
36	-0.2	-0.3	-0.4	-0.5	-0.4	0.2	0.3	0.4	0.1	-0.1	0.1	-0.1	0.4	0.0
37	-0.2	-0.3	-0.5	-0.5	-0.4	0.2	0.3	0.4	0.0	-0.1	0.1	-0.1	0.4	0.0
38	-0.2	-0.4	-0.5	-0.6	-0.5	0.2	0.3	0.4	0.0	-0.1	0.1	-0.1	0.4	0.0
39	-0.2	-0.4	-0.5	-0.6	-0.5	0.2	0.2	0.4	-0.0	-0.1	0.1	-0.2	0.3	0.0
40	-0.3	-0.4	-0.5	-0.6	-0.6	0.1	0.2	0.4	-0.0	-0.1	0.1	-0.3	0.3	0.0
41	-0.3	-0.4	-0.5	-0.7	-0.7	0.1	0.2	0.4	-0.1	-0.1	0.1	-0.3	0.3	0.0
42	-0.4	-0.5	-0.6	-0.7	-0.8	0.0	0.1	0.3	-0.1	-0.1	0.0	-0.4	0.2	0.0
