	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	8.2	8.8	7.4	7.1	14.5
2	8.1	8.7	7.4	7.0	14.5
3	8.0	8.6	7.4	7.0	14.5
4	7.9	8.5	7.3	6.9	14.5
5	7.8	8.4	7.3	6.9	14.5
6	7.6	8.3	7.2	6.8	14.5
7	7.5	8.2	7.1	6.6	14.5
8	7.3	8.0	6.9	6.4	14.5
9	7.0	7.8	6.7	6.2	14.5
10	6.8	7.5	6.4	6.0	14.5
11	6.5	7.2	6.2	5.8	14.5
12	6.3	6.9	5.9	5.6	14.5
13	6.2	6.6	5.7	5.5	14.5
14	6.1	6.4	5.6	5.5	14.5
15	6.0	6.4	5.6	5.6	14.5
16	6.1	6.4	5.7	5.7	14.5
17	6.1	6.5	6.0	5.9	14.5
18	6.2	6.8	6.2	6.1	14.5
19	6.3	7.0	6.5	6.2	14.5
20	6.4	7.3	6.8	6.4	14.5
21	6.4	7.6	7.0	6.5	14.5
22	6.4	7.7	7.2	6.6	14.5
23	6.5	7.9	7.2	6.7	14.5
24	6.5	7.9	7.3	6.7	14.5
25	6.5	8.0	7.2	6.8	14.5
26	6.5	7.9	7.2	6.9	14.5
27	6.6	7.9	7.2	7.0	14.5
28	6.8	7.9	7.2	7.2	14.5
29	6.9	7.8	7.3	7.4	14.5
30	7.1	7.8	7.4	7.6	14.5
31	7.3	7.9	7.5	7.8	14.5
32	7.5	7.9	7.6	7.9	14.5
33	7.6	8.0	7.8	8.1	14.5
34	7.7	8.1	7.9	8.2	14.5
35	7.7	8.2	8.0	8.3	14.5
36	7.7	8.3	8.1	8.3	14.5
37	7.6	8.4	8.2	8.4	14.5
38	7.5	8.4	8.3	8.4	14.5
39	7.4	8.5	8.3	8.4	14.5
40	7.4	8.5	8.4	8.5	14.5
41	7.4	8.5	8.4	8.6	14.5
42	7.5	8.6	8.5	8.7	14.5
43	7.6	8.7	8.6	8.8	14.5
44	7.8	8.9	8.7	8.9	14.5
45	8.0	9.0	8.8	9.1	14.5
46	8.3	9.2	8.9	9.2	14.5
47	8.5	9.4	9.0	9.3	14.5
48	8.6	9.6	9.1	9.3	14.5
49	8.8	9.8	9.2	9.3	14.5
50	8.8	9.9	9.3	9.4	14.5
51	8.9	10.0	9.3	9.3	14.5
52	8.9	10.1	9.4	9.3	14.5
53	8.9	10.1	9.5	9.3	14.5
54	8.8	10.1	9.5	9.3	14.5
55	8.7	10.0	9.4	9.2	14.5
56	8.6	10.0	9.3	9.1	14.5
57	8.4	9.8	9.2	9.0	14.5
58	8.2	9.6	9.0	8.8	14.5
59	8.0	9.4	8.7	8.6	14.5
60	7.8	9.0	8.4	8.4	14.5
61	7.6	8.7	8.2	8.2	14.5
62	7.5	8.4	7.9	8.0	14.5
63	7.4	8.0	7.8	7.9	14.5
64	7.4	7.7	7.7	7.9	14.5
65	7.4	7.5	7.7	7.9	14.5
66	7.5	7.4	7.7	8.0	14.5
67	7.6	7.3	7.9	8.1	14.5
68	7.6	7.3	8.0	8.2	14.5
69	7.7	7.3	8.1	8.4	14.5
70	7.7	7.4	8.2	8.4	14.5
71	7.8	7.4	8.3	8.5	14.5
72	7.8	7.4	8.3	8.5	14.5
73	7.7	7.4	8.3	8.4	14.5
74	7.7	7.4	8.3	8.3	14.5
75	7.7	7.3	8.3	8.2	14.5
76	7.7	7.2	8.3	8.1	14.5
77	7.7	7.1	8.3	8.1	14.5
78	7.8	7.1	8.3	8.1	14.5
79	7.9	7.1	8.4	8.1	14.5
80	8.1	7.2	8.5	8.2	14.5
81	8.3	7.3	8.6	8.3	14.5
82	8.5	7.5	8.7	8.5	14.5
83	8.7	7.7	8.8	8.6	14.5
84	8.8	7.9	8.9	8.7	14.5
85	9.0	8.0	9.0	8.8	14.5
86	9.1	8.2	9.0	8.8	14.5
87	9.1	8.3	9.0	8.8	14.5
88	9.1	8.3	9.0	8.8	14.5
89	9.1	8.4	8.9	8.7	14.5
90	9.0	8.3	8.8	8.7	14.5
91	8.8	8.3	8.8	8.6	14.5
92	8.7	8.2	8.7	8.5	14.5
93	8.5	8.1	8.6	8.5	14.5
94	8.3	8.0	8.6	8.4	14.5
95	8.2	7.8	8.6	8.4	14.5
96	8.1	7.7	8.5	8.3	14.5
97	8.0	7.6	8.5	8.2	14.5
98	7.9	7.5	8.5	8.2	14.5
99	7.8	7.5	8.5	8.1	14.5
100	7.8	7.4	8.5	8.1	14.5
101	7.8	7.4	8.4	8.1	14.5
