	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	8.9	10.1	9.3	14.5
2	8.9	10.1	9.3	14.5
3	8.9	10.1	9.3	14.5
4	8.8	10.0	9.3	14.5
5	8.8	9.9	9.2	14.5
6	8.6	9.7	9.1	14.5
7	8.5	9.4	9.0	14.5
8	8.3	9.1	8.8	14.5
9	8.1	8.8	8.6	14.5
10	7.9	8.5	8.4	14.5
11	7.7	8.1	8.2	14.5
12	7.5	7.8	8.0	14.5
13	7.4	7.6	7.9	14.5
14	7.4	7.4	7.9	14.5
15	7.4	7.3	7.9	14.5
16	7.4	7.3	8.0	14.5
17	7.5	7.3	8.1	14.5
18	7.6	7.4	8.2	14.5
19	7.7	7.4	8.4	14.5
20	7.7	7.4	8.4	14.5
21	7.8	7.4	8.5	14.5
22	7.8	7.4	8.5	14.5
23	7.8	7.3	8.4	14.5
24	7.7	7.2	8.3	14.5
25	7.7	7.2	8.2	14.5
26	7.7	7.1	8.1	14.5
27	7.7	7.1	8.1	14.5
28	7.8	7.2	8.1	14.5
29	7.9	7.3	8.1	14.5
30	8.0	7.4	8.2	14.5
31	8.2	7.6	8.3	14.5
32	8.4	7.8	8.5	14.5
33	8.6	8.0	8.6	14.5
34	8.8	8.1	8.7	14.5
35	8.9	8.2	8.8	14.5
36	9.0	8.3	8.8	14.5
37	9.1	8.4	8.8	14.5
38	9.1	8.4	8.8	14.5
39	9.1	8.3	8.7	14.5
40	9.0	8.2	8.7	14.5
41	8.9	8.1	8.6	14.5
42	8.7	8.0	8.5	14.5
43	8.6	7.9	8.5	14.5
44	8.4	7.8	8.4	14.5
45	8.3	7.7	8.4	14.5
46	8.1	7.6	8.3	14.5
47	8.0	7.5	8.2	14.5
48	7.9	7.5	8.2	14.5
49	7.9	7.4	8.1	14.5
50	7.8	7.4	8.1	14.5
51	7.8	7.4	8.1	14.5
52	7.8	7.4	8.1	14.5
53	7.8	7.3	8.1	14.5
54	7.8	7.3	8.0	14.5
55	7.8	7.2	8.0	14.5
56	7.8	7.0	7.9	14.5
57	7.7	6.9	7.7	14.5
58	7.6	6.6	7.5	14.5
59	7.4	6.4	7.2	14.5
60	7.3	6.1	7.0	14.5
61	7.1	5.9	6.7	14.5
62	7.0	5.7	6.5	14.5
63	7.0	5.6	6.4	14.5
64	7.0	5.6	6.4	14.5
65	7.1	5.8	6.5	14.5
66	7.3	6.0	6.7	14.5
67	7.5	6.2	6.9	14.5
68	7.7	6.5	7.1	14.5
69	7.9	6.8	7.4	14.5
70	8.1	7.0	7.6	14.5
71	8.3	7.2	7.7	14.5
72	8.4	7.2	7.8	14.5
73	8.4	7.3	7.9	14.5
74	8.4	7.2	7.9	14.5
75	8.5	7.2	7.9	14.5
76	8.5	7.2	7.9	14.5
77	8.5	7.2	7.9	14.5
78	8.6	7.3	7.9	14.5
79	8.6	7.3	8.0	14.5
80	8.7	7.5	8.1	14.5
81	8.8	7.6	8.2	14.5
82	8.9	7.8	8.4	14.5
83	9.0	7.9	8.5	14.5
84	9.1	8.0	8.7	14.5
85	9.2	8.1	8.8	14.5
86	9.3	8.2	9.0	14.5
87	9.3	8.2	9.0	14.5
88	9.4	8.3	9.1	14.5
89	9.4	8.3	9.1	14.5
90	9.5	8.4	9.1	14.5
91	9.5	8.5	9.1	14.5
92	9.6	8.5	9.1	14.5
93	9.7	8.6	9.1	14.5
94	9.8	8.7	9.0	14.5
95	10.0	8.8	9.0	14.5
96	10.1	8.9	9.0	14.5
97	10.2	9.1	9.0	14.5
98	10.3	9.1	9.0	14.5
99	10.4	9.2	9.0	14.5
100	10.4	9.3	9.0	14.5
101	10.4	9.4	9.0	14.5
