	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.1208	0.1056	0.0949	0.1010	0.0997	0.1067	0.1025	0.1002	0.0954	0.0938	0.1032	0.0330
2	0.1097	0.0946	0.0841	0.0888	0.0859	0.0950	0.0908	0.0870	0.0842	0.0817	0.0913	0.0330
3	0.0981	0.0824	0.0724	0.0749	0.0718	0.0810	0.0772	0.0729	0.0715	0.0687	0.0785	0.0330
4	0.0849	0.0702	0.0620	0.0622	0.0601	0.0666	0.0650	0.0610	0.0604	0.0580	0.0663	0.0330
5	0.0723	0.0599	0.0531	0.0521	0.0511	0.0546	0.0547	0.0521	0.0510	0.0487	0.0560	0.0330
6	0.0614	0.0515	0.0472	0.0456	0.0467	0.0456	0.0479	0.0479	0.0456	0.0444	0.0484	0.0330
7	0.0544	0.0471	0.0447	0.0434	0.0451	0.0420	0.0461	0.0468	0.0439	0.0429	0.0461	0.0330
8	0.0517	0.0453	0.0432	0.0424	0.0439	0.0406	0.0453	0.0465	0.0432	0.0421	0.0451	0.0330
9	0.0506	0.0441	0.0420	0.0419	0.0432	0.0400	0.0450	0.0463	0.0430	0.0415	0.0450	0.0330
10	0.0499	0.0431	0.0406	0.0411	0.0421	0.0394	0.0443	0.0454	0.0422	0.0403	0.0445	0.0330
11	0.0488	0.0416	0.0390	0.0399	0.0410	0.0383	0.0431	0.0441	0.0408	0.0388	0.0433	0.0330
12	0.0473	0.0399	0.0372	0.0386	0.0401	0.0372	0.0417	0.0428	0.0392	0.0374	0.0417	0.0330
13	0.0456	0.0382	0.0357	0.0375	0.0394	0.0363	0.0406	0.0417	0.0379	0.0364	0.0403	0.0330
14	0.0442	0.0368	0.0347	0.0367	0.0390	0.0357	0.0397	0.0410	0.0370	0.0358	0.0391	0.0330
15	0.0432	0.0358	0.0340	0.0362	0.0387	0.0354	0.0393	0.0406	0.0364	0.0354	0.0385	0.0330
16	0.0428	0.0350	0.0336	0.0359	0.0385	0.0351	0.0390	0.0403	0.0360	0.0351	0.0380	0.0330
17	0.0424	0.0345	0.0332	0.0357	0.0383	0.0348	0.0387	0.0399	0.0356	0.0348	0.0374	0.0330
18	0.0420	0.0340	0.0329	0.0355	0.0381	0.0346	0.0385	0.0396	0.0352	0.0345	0.0370	0.0330
19	0.0416	0.0337	0.0326	0.0354	0.0378	0.0344	0.0382	0.0394	0.0347	0.0342	0.0366	0.0330
20	0.0413	0.0334	0.0324	0.0352	0.0377	0.0342	0.0380	0.0391	0.0344	0.0340	0.0364	0.0330
21	0.0411	0.0331	0.0323	0.0350	0.0375	0.0341	0.0378	0.0389	0.0342	0.0338	0.0361	0.0330
22	0.0409	0.0329	0.0322	0.0349	0.0373	0.0340	0.0377	0.0388	0.0341	0.0337	0.0358	0.0330
23	0.0408	0.0326	0.0322	0.0347	0.0372	0.0339	0.0375	0.0387	0.0340	0.0335	0.0354	0.0330
24	0.0407	0.0324	0.0322	0.0346	0.0371	0.0338	0.0372	0.0386	0.0339	0.0334	0.0351	0.0330
25	0.0406	0.0322	0.0322	0.0344	0.0370	0.0336	0.0369	0.0385	0.0338	0.0333	0.0349	0.0330
26	0.0405	0.0321	0.0322	0.0342	0.0369	0.0334	0.0367	0.0384	0.0337	0.0332	0.0347	0.0330
27	0.0404	0.0320	0.0322	0.0340	0.0369	0.0331	0.0366	0.0383	0.0335	0.0331	0.0346	0.0330
28	0.0403	0.0319	0.0323	0.0339	0.0368	0.0329	0.0365	0.0382	0.0333	0.0331	0.0345	0.0330
29	0.0402	0.0318	0.0325	0.0337	0.0368	0.0328	0.0364	0.0379	0.0332	0.0331	0.0345	0.0330
30	0.0401	0.0318	0.0326	0.0336	0.0368	0.0327	0.0364	0.0378	0.0331	0.0331	0.0346	0.0330
31	0.0400	0.0317	0.0327	0.0336	0.0367	0.0328	0.0364	0.0376	0.0330	0.0331	0.0348	0.0330
32	0.0398	0.0317	0.0327	0.0336	0.0366	0.0328	0.0364	0.0376	0.0329	0.0330	0.0350	0.0330
33	0.0396	0.0315	0.0326	0.0336	0.0366	0.0328	0.0363	0.0376	0.0329	0.0328	0.0350	0.0330
34	0.0395	0.0314	0.0325	0.0336	0.0365	0.0328	0.0363	0.0375	0.0328	0.0327	0.0351	0.0330
35	0.0393	0.0312	0.0325	0.0335	0.0364	0.0327	0.0362	0.0374	0.0327	0.0325	0.0351	0.0330
36	0.0392	0.0311	0.0325	0.0334	0.0363	0.0326	0.0362	0.0373	0.0327	0.0324	0.0351	0.0330
37	0.0391	0.0310	0.0325	0.0333	0.0362	0.0325	0.0361	0.0372	0.0326	0.0323	0.0351	0.0330
38	0.0391	0.0309	0.0325	0.0333	0.0361	0.0324	0.0361	0.0371	0.0325	0.0322	0.0351	0.0330
39	0.0390	0.0309	0.0325	0.0332	0.0360	0.0323	0.0360	0.0371	0.0324	0.0321	0.0350	0.0330
40	0.0390	0.0308	0.0324	0.0332	0.0359	0.0323	0.0359	0.0371	0.0323	0.0319	0.0349	0.0330
41	0.0390	0.0307	0.0324	0.0331	0.0359	0.0322	0.0359	0.0371	0.0321	0.0317	0.0348	0.0330
42	0.0390	0.0307	0.0323	0.0331	0.0358	0.0321	0.0358	0.0370	0.0320	0.0316	0.0347	0.0330
43	0.0389	0.0306	0.0321	0.0330	0.0357	0.0320	0.0357	0.0370	0.0317	0.0314	0.0346	0.0330
44	0.0388	0.0306	0.0318	0.0329	0.0356	0.0320	0.0356	0.0369	0.0316	0.0313	0.0346	0.0330
45	0.0387	0.0305	0.0316	0.0329	0.0355	0.0319	0.0355	0.0369	0.0315	0.0311	0.0345	0.0330
46	0.0386	0.0305	0.0313	0.0328	0.0354	0.0319	0.0354	0.0369	0.0314	0.0310	0.0344	0.0330
47	0.0385	0.0305	0.0311	0.0328	0.0353	0.0318	0.0354	0.0368	0.0313	0.0307	0.0343	0.0330
48	0.0385	0.0305	0.0310	0.0327	0.0352	0.0318	0.0353	0.0367	0.0312	0.0306	0.0342	0.0330
