	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Ankle Moment	Left Ankle Moment	Left Ankle Moment	Left Ankle Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	-0.0007	-0.0083	-0.0019	-0.0080
2	-0.0398	-0.0833	-0.0704	-0.0367
3	-0.1768	-0.1937	-0.1596	-0.1732
4	-0.2125	-0.1622	-0.1015	-0.1803
5	-0.1453	-0.1140	-0.0459	-0.0894
6	-0.1432	-0.1249	-0.0482	-0.1100
7	-0.1267	-0.0812	-0.0087	-0.0744
8	-0.0809	-0.0409	0.0185	-0.0353
9	-0.0400	0.0028	0.0610	0.0083
10	0.0022	0.0423	0.0997	0.0467
11	0.0402	0.0766	0.1396	0.0774
12	0.0786	0.1120	0.1863	0.1041
13	0.1093	0.1477	0.2362	0.1269
14	0.1077	0.1816	0.2815	0.1507
15	0.1092	0.2132	0.3204	0.1755
16	0.1268	0.2448	0.3562	0.2005
17	0.1432	0.2766	0.3911	0.2254
18	0.1550	0.3081	0.4239	0.2501
19	0.1659	0.3399	0.4539	0.2745
20	0.1823	0.3724	0.4829	0.2984
21	0.2075	0.4048	0.5099	0.3205
22	0.2389	0.4367	0.5345	0.3403
23	0.2736	0.4675	0.5564	0.3585
24	0.3079	0.4970	0.5756	0.3746
25	0.3405	0.5239	0.5929	0.3909
26	0.3730	0.5492	0.6078	0.4078
27	0.4064	0.5746	0.6224	0.4250
28	0.4395	0.6011	0.6394	0.4430
29	0.4713	0.6304	0.6591	0.4630
30	0.5005	0.6627	0.6813	0.4866
31	0.5278	0.6979	0.7069	0.5138
32	0.5535	0.7345	0.7354	0.5434
33	0.5785	0.7719	0.7659	0.5749
34	0.6039	0.8096	0.7998	0.6092
35	0.6309	0.8481	0.8386	0.6472
36	0.6603	0.8888	0.8834	0.6894
37	0.6909	0.9341	0.9343	0.7352
38	0.7216	0.9861	0.9903	0.7815
39	0.7529	1.0431	1.0504	0.8314
40	0.7866	1.1038	1.1134	0.8869
41	0.8233	1.1676	1.1795	0.9447
42	0.8570	1.2319	1.2468	1.0034
43	0.8738	1.2937	1.3138	1.0631
44	0.8796	1.3496	1.3780	1.1228
45	0.8835	1.3975	1.4361	1.1765
46	0.8841	1.4362	1.4850	1.2206
47	0.8832	1.4626	1.5178	1.2522
48	0.8828	1.4735	1.5319	1.2695
49	0.8823	1.4678	1.5258	1.2731
50	0.8813	1.4453	1.4975	1.2635
51	0.8784	1.4076	1.4491	1.2425
52	0.8678	1.3490	1.3788	1.1997
53	0.8793	1.2652	1.2850	1.1380
54	0.9912	1.1651	1.1762	1.0625
55	1.0059	1.0504	1.0535	0.9701
56	0.9545	0.9195	0.9187	0.8615
57	0.8503	0.7730	0.7717	0.7394
58	0.7261	0.6118	0.6105	0.6047
59	0.5927	0.4380	0.4361	0.4579
60	0.4471	0.2633	0.2595	0.3039
61	0.2910	0.1145	0.1059	0.1573
62	0.1421	0.0158	0.0044	0.0450
63	0.0369	-0.0173	-0.0256	-0.0150
64	-0.0132	-0.0193	-0.0221	-0.0182
65	-0.0130	-0.0158	-0.0139	-0.0196
66	-0.0149	-0.0155	-0.0154	-0.0123
67	-0.0154	-0.0153	-0.0146	-0.0139
68	-0.0150	-0.0140	-0.0127	-0.0134
69	-0.0136	-0.0118	-0.0100	-0.0117
70	-0.0114	-0.0093	-0.0072	-0.0093
71	-0.0091	-0.0071	-0.0051	-0.0071
72	-0.0071	-0.0055	-0.0038	-0.0054
73	-0.0060	-0.0049	-0.0035	-0.0045
74	-0.0056	-0.0049	-0.0039	-0.0046
75	-0.0059	-0.0055	-0.0047	-0.0052
76	-0.0067	-0.0063	-0.0057	-0.0061
77	-0.0076	-0.0071	-0.0066	-0.0069
78	-0.0084	-0.0078	-0.0076	-0.0076
79	-0.0091	-0.0084	-0.0084	-0.0083
80	-0.0096	-0.0089	-0.0092	-0.0089
81	-0.0100	-0.0095	-0.0100	-0.0098
82	-0.0105	-0.0102	-0.0108	-0.0108
83	-0.0111	-0.0112	-0.0116	-0.0119
84	-0.0119	-0.0124	-0.0127	-0.0132
85	-0.0130	-0.0136	-0.0139	-0.0145
86	-0.0143	-0.0148	-0.0152	-0.0157
87	-0.0156	-0.0157	-0.0163	-0.0164
88	-0.0166	-0.0160	-0.0168	-0.0163
89	-0.0170	-0.0155	-0.0164	-0.0149
90	-0.0165	-0.0139	-0.0149	-0.0122
91	-0.0147	-0.0113	-0.0122	-0.0083
92	-0.0115	-0.0079	-0.0085	-0.0039
93	-0.0073	-0.0041	-0.0044	0.0003
94	-0.0029	-0.0005	-0.0004	0.0035
95	0.0012	0.0024	0.0028	0.0051
96	0.0043	0.0041	0.0046	0.0049
97	0.0059	0.0045	0.0048	0.0029
98	0.0059	0.0032	0.0034	-0.0005
99	0.0042	0.0003	0.0004	-0.0049
100	0.0010	-0.0038	-0.0036	-0.0093
101	-0.0032	-0.0084	-0.0078	-0.0129
