	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Ankle Power	Left Ankle Power	Left Ankle Power	Left Ankle Power
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	-0.0014	-0.0195	-0.0047	-0.0165
2	-0.1057	-0.2528	-0.2220	-0.1112
3	-0.5332	-0.6183	-0.5234	-0.6011
4	-0.6157	-0.4519	-0.2913	-0.5762
5	-0.3363	-0.2184	-0.0904	-0.2052
6	-0.2086	-0.1162	-0.0485	-0.1297
7	-0.0753	-0.0042	-0.0004	-0.0088
8	0.0100	0.0224	-0.0111	0.0217
9	0.0241	-0.0025	-0.0583	-0.0087
10	-0.0019	-0.0443	-0.1125	-0.0579
11	-0.0407	-0.0831	-0.1616	-0.1005
12	-0.0830	-0.1197	-0.2076	-0.1335
13	-0.1150	-0.1532	-0.2464	-0.1560
14	-0.1107	-0.1828	-0.2735	-0.1753
15	-0.1087	-0.2090	-0.2928	-0.1934
16	-0.1221	-0.2341	-0.3117	-0.2119
17	-0.1336	-0.2581	-0.3345	-0.2325
18	-0.1407	-0.2807	-0.3609	-0.2551
19	-0.1474	-0.3031	-0.3906	-0.2789
20	-0.1601	-0.3269	-0.4251	-0.3022
21	-0.1819	-0.3534	-0.4624	-0.3224
22	-0.2108	-0.3833	-0.4994	-0.3376
23	-0.2444	-0.4162	-0.5319	-0.3473
24	-0.2794	-0.4501	-0.5570	-0.3503
25	-0.3136	-0.4810	-0.5749	-0.3494
26	-0.3478	-0.5067	-0.5870	-0.3471
27	-0.3823	-0.5273	-0.5976	-0.3455
28	-0.4172	-0.5436	-0.6112	-0.3466
29	-0.4530	-0.5580	-0.6285	-0.3509
30	-0.4896	-0.5735	-0.6482	-0.3582
31	-0.5266	-0.5930	-0.6694	-0.3670
32	-0.5607	-0.6175	-0.6889	-0.3766
33	-0.5870	-0.6457	-0.7042	-0.3890
34	-0.6015	-0.6740	-0.7159	-0.4078
35	-0.6039	-0.6976	-0.7261	-0.4368
36	-0.5975	-0.7135	-0.7379	-0.4794
37	-0.5872	-0.7219	-0.7550	-0.5389
38	-0.5775	-0.7256	-0.7813	-0.6153
39	-0.5722	-0.7265	-0.8216	-0.7095
40	-0.5737	-0.7286	-0.8791	-0.8166
41	-0.5822	-0.7353	-0.9529	-0.9210
42	-0.5935	-0.7446	-1.0320	-1.0044
43	-0.5957	-0.7470	-1.0946	-1.0488
44	-0.5873	-0.7264	-1.1120	-1.0383
45	-0.5646	-0.6646	-1.0556	-0.9595
46	-0.5164	-0.5490	-0.9075	-0.8105
47	-0.4374	-0.3743	-0.6644	-0.5988
48	-0.3281	-0.1448	-0.3448	-0.3393
49	-0.1933	0.1246	0.0179	-0.0525
50	-0.0400	0.4139	0.3854	0.2417
51	0.1260	0.7059	0.7267	0.5290
52	0.3003	0.9854	1.0257	0.7952
53	0.4966	1.2408	1.2804	1.0346
54	0.8007	1.4789	1.5093	1.2490
55	1.0963	1.7071	1.7299	1.4379
56	1.3705	1.9189	1.9495	1.6061
57	1.5965	2.0784	2.1359	1.7497
58	1.7786	2.1052	2.1953	1.8277
59	1.8793	1.8873	1.9884	1.7527
60	1.7949	1.3651	1.4328	1.4327
61	1.4192	0.6725	0.6606	0.8692
62	0.7914	0.0969	0.0293	0.2716
63	0.2154	-0.0979	-0.1494	-0.0891
64	-0.0724	-0.0861	-0.0972	-0.0948
65	-0.0566	-0.0430	-0.0313	-0.0703
66	-0.0414	-0.0090	-0.0023	-0.0162
67	-0.0134	0.0222	0.0278	0.0103
68	0.0143	0.0430	0.0427	0.0351
69	0.0327	0.0483	0.0411	0.0458
70	0.0380	0.0417	0.0305	0.0422
71	0.0336	0.0308	0.0196	0.0316
72	0.0259	0.0217	0.0127	0.0215
73	0.0196	0.0165	0.0098	0.0153
74	0.0159	0.0142	0.0090	0.0125
75	0.0142	0.0136	0.0091	0.0115
76	0.0135	0.0136	0.0094	0.0111
77	0.0131	0.0137	0.0096	0.0108
78	0.0127	0.0136	0.0098	0.0103
79	0.0123	0.0132	0.0102	0.0098
80	0.0119	0.0126	0.0109	0.0091
81	0.0116	0.0118	0.0118	0.0085
82	0.0113	0.0108	0.0125	0.0076
83	0.0108	0.0097	0.0128	0.0063
84	0.0099	0.0081	0.0121	0.0041
85	0.0081	0.0057	0.0100	0.0010
86	0.0053	0.0025	0.0064	-0.0029
87	0.0016	-0.0012	0.0015	-0.0071
88	-0.0027	-0.0049	-0.0040	-0.0108
89	-0.0069	-0.0078	-0.0089	-0.0132
90	-0.0103	-0.0095	-0.0120	-0.0132
91	-0.0120	-0.0096	-0.0123	-0.0101
92	-0.0112	-0.0076	-0.0095	-0.0047
93	-0.0077	-0.0042	-0.0047	0.0004
94	-0.0029	-0.0005	-0.0004	0.0023
95	0.0010	0.0020	0.0014	0.0012
96	0.0020	0.0028	0.0005	-0.0004
97	0.0010	0.0030	-0.0007	-0.0004
98	0.0003	0.0030	-0.0005	-0.0001
99	0.0011	0.0004	0.0001	-0.0044
100	0.0008	-0.0090	-0.0029	-0.0176
101	-0.0052	-0.0257	-0.0129	-0.0366
