	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
1	7.8	16.2	13.9	21.9	4.9	8.5	9.6	8.4	8.6	6.7
2	14.6	18.5	17.5	26.9	5.8	8.4	11.3	8.5	9.6	8.9
3	16.6	21.2	21.2	28.5	5.3	9.5	13.4	9.4	9.5	9.2
4	20.7	21.9	24.6	28.8	5.1	10.1	13.3	9.9	9.4	9.4
5	20.8	22.2	24.6	28.0	5.3	9.8	13.4	10.0	9.7	9.8
6	20.3	19.2	25.0	25.0	5.2	9.9	13.1	9.1	7.0	10.1
7	20.3	17.0	22.4	24.1	5.4	8.7	14.8	9.5	6.2	8.4
8	18.0	12.9	21.5	24.1	8.2	8.6	13.9	9.3	5.2	8.7
9	21.2	9.4	17.8	24.0	8.7	7.9	15.7	9.4	5.7	9.6
10	19.3	10.0	15.5	24.5	9.4	7.5	15.8	9.2	5.1	8.8
11	20.3	9.1	15.5	23.6	9.7	7.9	16.2	9.0	4.4	8.8
12	20.5	8.3	14.2	20.5	9.7	7.6	12.9	8.1	4.3	8.2
13	20.2	7.2	10.2	19.3	9.9	5.6	12.3	6.3	3.8	6.9
14	18.7	7.0	9.7	10.9	6.8	5.0	8.7	5.6	2.4	5.0
15	13.2	5.7	5.5	8.5	6.1	4.3	6.0	3.4	2.0	3.1
16	9.7	3.9	5.4	4.0	5.0	5.5	5.5	3.1	2.2	2.6
17	8.4	3.4	5.3	3.8	4.4	5.4	2.5	3.0	2.2	2.8
18	7.6	2.9	5.6	3.6	3.7	5.6	2.6	2.8	2.5	2.8
19	7.8	2.5	5.1	3.3	3.1	5.8	2.8	3.2	2.5	3.3
20	7.5	2.8	4.8	3.2	3.2	5.5	2.8	3.4	2.7	3.6
