	Static.c3d
	Left Elbow Angles
	LINK_MODEL_BASED
	ORIGINAL
ITEM	Z
1	135.6
2	135.6
3	135.6
4	135.6
5	135.6
6	135.6
7	135.6
8	135.6
9	135.6
10	135.6
11	135.6
12	135.6
13	135.6
14	135.6
15	135.6
16	135.6
17	135.6
18	135.6
19	135.6
20	135.6
21	135.6
22	135.6
23	135.6
24	135.6
25	135.6
26	135.6
27	135.6
28	135.6
29	135.6
30	135.6
31	135.6
32	135.6
33	135.6
34	135.5
35	135.5
36	135.5
37	135.5
38	135.5
39	135.5
40	135.5
41	135.5
42	135.5
43	135.5
44	135.5
45	135.5
46	135.5
47	135.5
48	135.5
49	135.5
50	135.5
51	135.5
52	135.5
53	135.5
54	135.5
55	135.5
56	135.5
57	135.5
58	135.5
59	135.5
60	135.5
61	135.5
62	135.5
63	135.5
64	135.5
65	135.5
66	135.5
67	135.5
68	135.5
69	135.5
70	135.5
71	135.5
72	135.5
73	135.5
74	135.5
75	135.5
76	135.5
77	135.5
78	135.5
79	135.5
80	135.5
81	135.5
82	135.5
83	135.5
84	135.5
85	135.5
86	135.5
87	135.5
88	135.5
89	135.5
90	135.5
91	135.5
92	135.5
93	135.5
94	135.5
95	135.5
96	135.5
97	135.5
98	135.5
99	135.5
100	135.5
101	135.5
