	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left GRF	Left GRF	Left GRF	Left GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y
1	0.0064	0.0022	0.0057	0.0062
2	0.0089	-0.0248	-0.0316	0.0166
3	-0.0362	-0.0996	-0.1182	-0.0301
4	-0.1327	-0.1697	-0.1769	-0.1367
5	-0.1965	-0.1688	-0.1522	-0.1771
6	-0.1730	-0.1276	-0.1053	-0.1283
7	-0.1245	-0.1318	-0.1237	-0.1493
8	-0.1311	-0.1893	-0.1872	-0.2230
9	-0.1792	-0.2244	-0.2111	-0.2343
10	-0.2048	-0.2022	-0.1838	-0.2047
11	-0.1892	-0.1654	-0.1524	-0.1697
12	-0.1601	-0.1349	-0.1272	-0.1373
13	-0.1387	-0.1109	-0.1045	-0.1116
14	-0.1206	-0.0941	-0.0895	-0.0961
15	-0.1069	-0.0877	-0.0864	-0.0945
16	-0.1004	-0.0919	-0.0934	-0.1025
17	-0.1014	-0.1022	-0.1053	-0.1127
18	-0.1075	-0.1139	-0.1183	-0.1225
19	-0.1155	-0.1252	-0.1301	-0.1311
20	-0.1229	-0.1343	-0.1384	-0.1353
21	-0.1285	-0.1389	-0.1402	-0.1332
22	-0.1311	-0.1369	-0.1352	-0.1274
23	-0.1294	-0.1296	-0.1269	-0.1211
24	-0.1236	-0.1207	-0.1190	-0.1159
25	-0.1164	-0.1130	-0.1132	-0.1121
26	-0.1104	-0.1076	-0.1093	-0.1097
27	-0.1063	-0.1043	-0.1066	-0.1077
28	-0.1036	-0.1020	-0.1037	-0.1050
29	-0.1012	-0.0992	-0.0998	-0.1011
30	-0.0983	-0.0950	-0.0946	-0.0958
31	-0.0943	-0.0891	-0.0882	-0.0900
32	-0.0890	-0.0816	-0.0812	-0.0844
33	-0.0827	-0.0737	-0.0745	-0.0793
34	-0.0760	-0.0664	-0.0685	-0.0748
35	-0.0694	-0.0603	-0.0633	-0.0707
36	-0.0634	-0.0553	-0.0588	-0.0666
37	-0.0583	-0.0513	-0.0547	-0.0623
38	-0.0538	-0.0478	-0.0508	-0.0576
39	-0.0499	-0.0445	-0.0468	-0.0527
40	-0.0463	-0.0410	-0.0428	-0.0476
41	-0.0427	-0.0376	-0.0391	-0.0424
42	-0.0390	-0.0341	-0.0356	-0.0371
43	-0.0353	-0.0307	-0.0323	-0.0318
44	-0.0315	-0.0274	-0.0290	-0.0267
45	-0.0277	-0.0240	-0.0256	-0.0220
46	-0.0241	-0.0208	-0.0224	-0.0174
47	-0.0208	-0.0177	-0.0194	-0.0127
48	-0.0175	-0.0146	-0.0166	-0.0077
49	-0.0143	-0.0114	-0.0137	-0.0026
50	-0.0113	-0.0081	-0.0108	0.0025
51	-0.0084	-0.0046	-0.0077	0.0073
52	-0.0055	-0.0010	-0.0047	0.0121
53	-0.0025	0.0028	-0.0019	0.0172
54	0.0005	0.0070	0.0008	0.0226
55	0.0034	0.0112	0.0035	0.0282
56	0.0062	0.0153	0.0063	0.0341
57	0.0091	0.0191	0.0093	0.0400
58	0.0121	0.0227	0.0128	0.0455
59	0.0153	0.0261	0.0168	0.0500
60	0.0189	0.0296	0.0212	0.0535
61	0.0227	0.0332	0.0260	0.0559
62	0.0266	0.0371	0.0310	0.0574
63	0.0307	0.0412	0.0363	0.0583
64	0.0349	0.0455	0.0417	0.0591
65	0.0395	0.0503	0.0470	0.0600
66	0.0442	0.0558	0.0520	0.0612
67	0.0492	0.0615	0.0567	0.0625
68	0.0544	0.0674	0.0612	0.0649
69	0.0598	0.0735	0.0658	0.0685
70	0.0654	0.0796	0.0711	0.0734
71	0.0713	0.0857	0.0776	0.0793
72	0.0776	0.0922	0.0851	0.0860
73	0.0842	0.0990	0.0927	0.0931
74	0.0912	0.1062	0.1008	0.1007
75	0.0988	0.1137	0.1092	0.1084
76	0.1071	0.1216	0.1174	0.1164
77	0.1155	0.1294	0.1250	0.1244
78	0.1246	0.1367	0.1321	0.1314
79	0.1340	0.1437	0.1384	0.1370
80	0.1433	0.1501	0.1434	0.1407
81	0.1524	0.1551	0.1474	0.1423
82	0.1612	0.1589	0.1504	0.1426
83	0.1694	0.1617	0.1521	0.1411
84	0.1759	0.1631	0.1524	0.1378
85	0.1808	0.1629	0.1520	0.1330
86	0.1850	0.1620	0.1509	0.1271
87	0.1881	0.1602	0.1485	0.1202
88	0.1892	0.1569	0.1445	0.1120
89	0.1886	0.1521	0.1383	0.1023
90	0.1863	0.1454	0.1290	0.0910
91	0.1821	0.1358	0.1159	0.0766
92	0.1764	0.1227	0.0981	0.0560
93	0.1691	0.1055	0.0749	0.0303
94	0.1594	0.0840	0.0465	0.0046
95	0.1473	0.0587	0.0168	-0.0116
96	0.1321	0.0310	-0.0067	-0.0110
97	0.1136	0.0058	-0.0144	-0.0060
98	0.0913	-0.0074	-0.0111	-0.0044
99	0.0649	-0.0079	-0.0050	0.0002
100	0.0378	-0.0052	0.0004	-0.0000
101	0.0156	-0.0027	0.0000	0.0000
