	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	52.6	50.8	50.2	50.5	51.0	51.5	51.1	50.1	50.8	50.8	50.6	19.8
2	51.7	49.8	49.2	49.5	49.8	50.4	49.8	49.1	49.6	49.3	49.3	19.8
3	50.5	48.6	47.9	48.2	48.4	48.9	48.2	47.7	48.1	47.6	47.6	19.8
4	49.0	47.0	46.3	46.6	46.7	47.1	46.4	46.0	46.4	45.6	45.6	19.8
5	47.2	45.3	44.6	44.8	44.8	45.1	44.6	44.1	44.5	43.7	43.5	19.8
6	45.3	43.4	42.8	43.0	42.8	43.1	42.7	42.2	42.6	41.7	41.5	19.8
7	43.2	41.5	41.0	41.1	40.8	41.0	40.9	40.2	40.7	39.8	39.4	19.8
8	41.2	39.7	39.2	39.3	38.8	38.9	39.2	38.3	38.9	38.1	37.5	19.8
9	39.3	38.0	37.5	37.6	37.1	37.1	37.7	36.6	37.2	36.6	35.9	19.8
10	37.6	36.4	36.0	36.2	35.5	35.5	36.4	35.1	35.8	35.3	34.4	19.8
