	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Hip Moment	Left Hip Moment	Left Hip Moment	Left Hip Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	0.2278	0.4775	0.7361	0.1124
2	1.0716	0.8547	0.7723	1.0901
3	0.0456	-0.1134	-0.1884	-0.0438
4	-0.0657	0.3445	0.4185	-0.0079
5	0.5936	0.5991	0.6403	0.5682
6	0.3503	0.1773	0.2416	0.1159
7	0.2487	0.3419	0.4574	0.3142
8	0.4101	0.4377	0.5375	0.4576
9	0.4995	0.5506	0.6688	0.5792
10	0.5730	0.5730	0.6700	0.5821
11	0.5416	0.5051	0.5916	0.4880
12	0.4793	0.4293	0.5140	0.4110
13	0.4138	0.3775	0.4692	0.3615
14	0.3350	0.3769	0.4850	0.3667
15	0.3165	0.4302	0.5489	0.4048
16	0.3474	0.4839	0.5949	0.4153
17	0.3448	0.4904	0.5858	0.3866
18	0.2991	0.4533	0.5394	0.3423
19	0.2439	0.4131	0.4947	0.3081
20	0.2115	0.3965	0.4717	0.2900
21	0.2082	0.4003	0.4643	0.2775
22	0.2198	0.4016	0.4533	0.2552
23	0.2270	0.3846	0.4291	0.2217
24	0.2212	0.3548	0.3944	0.1814
25	0.2074	0.3241	0.3587	0.1516
26	0.1959	0.3022	0.3269	0.1348
27	0.1915	0.2881	0.2976	0.1241
28	0.1910	0.2764	0.2706	0.1181
29	0.1887	0.2669	0.2484	0.1157
30	0.1825	0.2557	0.2287	0.1117
31	0.1747	0.2426	0.2084	0.1070
32	0.1664	0.2302	0.1885	0.1044
33	0.1603	0.2179	0.1720	0.1008
34	0.1566	0.2078	0.1556	0.0885
35	0.1528	0.2012	0.1352	0.0695
36	0.1481	0.1916	0.1106	0.0517
37	0.1430	0.1720	0.0794	0.0443
38	0.1374	0.1405	0.0437	0.0391
39	0.1299	0.1019	0.0052	0.0258
40	0.1248	0.0618	-0.0359	-0.0029
41	0.1249	0.0192	-0.0795	-0.0432
42	0.1271	-0.0214	-0.1249	-0.0891
43	0.1352	-0.0652	-0.1727	-0.1306
44	0.1486	-0.1149	-0.2249	-0.1559
45	0.1647	-0.1697	-0.2845	-0.1761
46	0.1809	-0.2210	-0.3366	-0.1893
47	0.2053	-0.2628	-0.3732	-0.2009
48	0.2422	-0.2926	-0.4013	-0.2146
49	0.2895	-0.3108	-0.4153	-0.2303
50	0.3448	-0.3267	-0.4244	-0.2458
51	0.3971	-0.3400	-0.4327	-0.2566
52	0.4477	-0.3564	-0.4416	-0.2638
53	0.4327	-0.3592	-0.4429	-0.2646
54	0.2522	-0.3626	-0.4453	-0.2745
55	0.1401	-0.3667	-0.4501	-0.2820
56	0.0623	-0.3576	-0.4364	-0.2932
57	0.0220	-0.3335	-0.4057	-0.2995
58	-0.0146	-0.2886	-0.3472	-0.2931
59	-0.0546	-0.2217	-0.2496	-0.2587
60	-0.0669	-0.1378	-0.1190	-0.1659
61	-0.0286	-0.1121	-0.0854	-0.0825
62	0.0123	-0.2433	-0.2423	-0.1525
63	-0.0301	-0.2638	-0.2700	-0.2887
64	-0.0809	-0.1538	-0.1372	-0.1768
65	-0.0209	-0.0576	-0.0123	-0.1007
66	-0.0088	-0.0590	-0.0539	-0.0265
67	-0.0266	-0.0830	-0.0865	-0.0747
68	-0.0572	-0.1050	-0.1090	-0.1126
69	-0.0839	-0.1172	-0.1132	-0.1354
70	-0.0981	-0.1180	-0.0997	-0.1401
71	-0.0987	-0.1080	-0.0751	-0.1292
72	-0.0891	-0.0910	-0.0490	-0.1095
73	-0.0756	-0.0727	-0.0289	-0.0890
74	-0.0643	-0.0578	-0.0171	-0.0733
75	-0.0584	-0.0486	-0.0128	-0.0644
76	-0.0581	-0.0453	-0.0133	-0.0611
77	-0.0615	-0.0468	-0.0153	-0.0603
78	-0.0649	-0.0505	-0.0169	-0.0590
79	-0.0650	-0.0546	-0.0169	-0.0559
80	-0.0613	-0.0573	-0.0154	-0.0511
81	-0.0550	-0.0582	-0.0130	-0.0466
82	-0.0486	-0.0573	-0.0116	-0.0442
83	-0.0446	-0.0549	-0.0134	-0.0444
84	-0.0434	-0.0516	-0.0203	-0.0472
85	-0.0447	-0.0475	-0.0317	-0.0523
86	-0.0473	-0.0438	-0.0460	-0.0596
87	-0.0501	-0.0418	-0.0603	-0.0685
88	-0.0523	-0.0417	-0.0718	-0.0763
89	-0.0537	-0.0415	-0.0781	-0.0792
90	-0.0532	-0.0363	-0.0759	-0.0728
91	-0.0482	-0.0212	-0.0618	-0.0534
92	-0.0345	0.0069	-0.0322	-0.0188
93	-0.0080	0.0480	0.0129	0.0303
94	0.0338	0.0983	0.0721	0.0874
95	0.0877	0.1496	0.1376	0.1415
96	0.1452	0.1893	0.1965	0.1774
97	0.1931	0.2039	0.2340	0.1799
98	0.2162	0.1865	0.2379	0.1390
99	0.2044	0.1452	0.2037	0.0639
100	0.1591	0.1029	0.1418	-0.0092
101	0.1004	0.0804	0.0793	-0.0426
