	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Hip Power	Left Hip Power	Left Hip Power	Left Hip Power
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	0.2296	0.5099	1.0356	0.1503
2	1.4488	1.2017	1.3391	1.9400
3	0.0635	-0.2006	-0.3776	-0.0962
4	-0.1319	0.6994	0.9218	-0.0155
5	1.2902	1.3009	1.4355	1.3846
6	0.7818	0.3902	0.5248	0.2751
7	0.5395	0.7183	0.9103	0.7064
8	0.8316	0.8387	0.9440	0.9266
9	0.9174	0.9394	1.0303	1.0252
10	0.9530	0.8707	0.9275	0.8896
11	0.8288	0.7020	0.7764	0.6511
12	0.6907	0.5655	0.6729	0.4938
13	0.5692	0.4817	0.6250	0.4042
14	0.4386	0.4645	0.6464	0.3886
15	0.3881	0.5010	0.7026	0.4062
16	0.3913	0.5209	0.6977	0.3921
17	0.3532	0.4862	0.6092	0.3442
18	0.2814	0.4242	0.4971	0.2925
19	0.2175	0.3796	0.4181	0.2577
20	0.1856	0.3669	0.3833	0.2394
21	0.1841	0.3722	0.3736	0.2239
22	0.1960	0.3663	0.3619	0.1967
23	0.2003	0.3337	0.3347	0.1583
24	0.1884	0.2849	0.2948	0.1166
25	0.1668	0.2356	0.2533	0.0856
26	0.1468	0.1958	0.2170	0.0662
27	0.1335	0.1646	0.1870	0.0531
28	0.1248	0.1396	0.1633	0.0446
29	0.1170	0.1223	0.1463	0.0387
30	0.1091	0.1124	0.1324	0.0330
31	0.1019	0.1092	0.1179	0.0283
32	0.0954	0.1110	0.1035	0.0258
33	0.0906	0.1140	0.0919	0.0252
34	0.0872	0.1166	0.0823	0.0241
35	0.0845	0.1189	0.0729	0.0214
36	0.0827	0.1175	0.0626	0.0176
37	0.0822	0.1078	0.0480	0.0157
38	0.0832	0.0889	0.0283	0.0135
39	0.0840	0.0649	0.0036	0.0083
40	0.0867	0.0399	-0.0267	-0.0009
41	0.0928	0.0128	-0.0632	-0.0124
42	0.0997	-0.0149	-0.1039	-0.0267
43	0.1093	-0.0477	-0.1457	-0.0441
44	0.1208	-0.0880	-0.1865	-0.0614
45	0.1329	-0.1350	-0.2279	-0.0804
46	0.1460	-0.1794	-0.2606	-0.0969
47	0.1690	-0.2125	-0.2815	-0.1104
48	0.2067	-0.2293	-0.2951	-0.1211
49	0.2551	-0.2306	-0.2936	-0.1286
50	0.3069	-0.2254	-0.2793	-0.1320
51	0.3458	-0.2147	-0.2525	-0.1299
52	0.3677	-0.2017	-0.2136	-0.1240
53	0.3204	-0.1737	-0.1597	-0.1134
54	0.1573	-0.1321	-0.0946	-0.1033
55	0.0634	-0.0681	-0.0137	-0.0842
56	0.0132	0.0253	0.0904	-0.0499
57	-0.0025	0.1382	0.2134	0.0122
58	0.0082	0.2448	0.3281	0.1052
59	0.0614	0.3020	0.3639	0.2047
60	0.1193	0.2656	0.2409	0.2178
61	0.0704	0.2797	0.2223	0.1550
62	-0.0374	0.7319	0.7563	0.3689
63	0.1080	0.8951	0.9456	0.8308
64	0.3182	0.5600	0.5182	0.5675
65	0.0858	0.2149	0.0490	0.3436
66	0.0357	0.2174	0.2112	0.0929
67	0.1049	0.2952	0.3320	0.2588
68	0.2145	0.3565	0.4025	0.3806
69	0.2960	0.3789	0.3979	0.4404
70	0.3237	0.3633	0.3319	0.4349
71	0.3044	0.3172	0.2367	0.3797
72	0.2565	0.2547	0.1457	0.3022
73	0.2025	0.1932	0.0803	0.2289
74	0.1596	0.1450	0.0440	0.1743
75	0.1340	0.1148	0.0301	0.1409
76	0.1233	0.1001	0.0280	0.1225
77	0.1205	0.0959	0.0284	0.1099
78	0.1170	0.0946	0.0272	0.0967
79	0.1073	0.0913	0.0228	0.0808
80	0.0915	0.0824	0.0164	0.0630
81	0.0726	0.0688	0.0102	0.0466
82	0.0549	0.0521	0.0059	0.0328
83	0.0407	0.0348	0.0033	0.0210
84	0.0292	0.0185	0.0001	0.0094
85	0.0185	0.0041	-0.0066	-0.0032
86	0.0072	-0.0072	-0.0179	-0.0179
87	-0.0049	-0.0159	-0.0324	-0.0348
88	-0.0169	-0.0229	-0.0464	-0.0517
89	-0.0275	-0.0272	-0.0556	-0.0629
90	-0.0349	-0.0256	-0.0556	-0.0610
91	-0.0359	-0.0149	-0.0433	-0.0424
92	-0.0265	0.0045	-0.0198	-0.0123
93	-0.0057	0.0280	0.0062	0.0135
94	0.0209	0.0501	0.0228	0.0189
95	0.0433	0.0672	0.0209	0.0041
96	0.0562	0.0799	0.0056	-0.0087
97	0.0652	0.0915	-0.0022	0.0061
98	0.0811	0.1023	0.0182	0.0412
99	0.1053	0.1066	0.0624	0.0458
100	0.1199	0.1030	0.0944	-0.0114
101	0.1070	0.1063	0.0876	-0.0741
