	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-15.44	-11.82	-11.14	-13.41	-12.87	-14.51	-15.20	-12.38	-14.43	-13.05	-12.33	-0.37
2	-14.75	-11.15	-11.08	-12.99	-11.78	-13.43	-14.05	-11.48	-13.38	-12.19	-11.57	-0.37
3	-13.57	-10.22	-10.65	-12.23	-10.44	-12.05	-12.77	-10.20	-11.83	-10.98	-10.82	-0.38
4	-12.11	-9.10	-9.88	-11.18	-8.91	-10.47	-11.45	-8.67	-9.93	-9.53	-10.18	-0.38
5	-10.53	-7.86	-8.82	-9.92	-7.22	-8.81	-10.11	-7.02	-7.86	-7.98	-9.65	-0.38
6	-8.95	-6.55	-7.51	-8.50	-5.44	-7.16	-8.72	-5.32	-5.77	-6.46	-9.14	-0.38
7	-7.40	-5.18	-6.02	-6.97	-3.69	-5.60	-7.27	-3.70	-3.83	-5.10	-8.57	-0.38
8	-5.90	-3.82	-4.50	-5.47	-2.19	-4.23	-5.83	-2.35	-2.19	-4.05	-7.95	-0.38
