	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Knee Power	Left Knee Power	Left Knee Power	Left Knee Power
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	0.0376	0.0242	0.0116	0.0056
2	-0.0039	-0.0761	-0.1685	-0.2638
3	0.0411	0.0861	0.1874	0.1481
4	0.1035	-0.0973	-0.2363	0.1358
5	-0.2813	-0.2676	-0.4595	-0.4766
6	-0.1932	-0.0865	-0.2278	-0.1575
7	-0.1901	-0.2198	-0.3810	-0.3820
8	-0.3012	-0.2637	-0.3384	-0.3915
9	-0.3084	-0.2674	-0.2676	-0.2824
10	-0.2580	-0.1969	-0.1402	-0.0890
11	-0.1526	-0.1018	-0.0377	0.0727
12	-0.0587	-0.0354	0.0086	0.1528
13	-0.0001	-0.0062	0.0073	0.1675
14	0.0221	-0.0048	-0.0243	0.1518
15	0.0227	-0.0182	-0.0678	0.1247
16	0.0166	-0.0350	-0.1017	0.0951
17	0.0104	-0.0459	-0.1094	0.0748
18	0.0082	-0.0474	-0.0904	0.0685
19	0.0107	-0.0397	-0.0522	0.0753
20	0.0179	-0.0202	0.0004	0.0920
21	0.0316	0.0164	0.0658	0.1139
22	0.0541	0.0709	0.1378	0.1338
23	0.0851	0.1349	0.2055	0.1452
24	0.1203	0.1945	0.2581	0.1446
25	0.1532	0.2380	0.2909	0.1360
26	0.1794	0.2616	0.3045	0.1228
27	0.1974	0.2666	0.3026	0.1071
28	0.2074	0.2564	0.2909	0.0916
29	0.2099	0.2367	0.2743	0.0774
30	0.2066	0.2114	0.2558	0.0639
31	0.1990	0.1842	0.2365	0.0510
32	0.1878	0.1584	0.2163	0.0394
33	0.1734	0.1360	0.1945	0.0306
34	0.1560	0.1180	0.1700	0.0273
35	0.1359	0.1044	0.1433	0.0333
36	0.1151	0.0950	0.1183	0.0540
37	0.0970	0.0914	0.1004	0.0962
38	0.0861	0.0969	0.0966	0.1629
39	0.0870	0.1150	0.1140	0.2498
40	0.1044	0.1498	0.1583	0.3426
41	0.1412	0.2048	0.2318	0.4207
42	0.1980	0.2814	0.3308	0.4677
43	0.2721	0.3734	0.4418	0.4820
44	0.3587	0.4666	0.5429	0.4761
45	0.4495	0.5444	0.6095	0.4499
46	0.5319	0.5979	0.6365	0.4128
47	0.6022	0.6246	0.6284	0.3696
48	0.6645	0.6266	0.5917	0.3235
49	0.7255	0.6096	0.5443	0.2787
50	0.7938	0.5750	0.4885	0.2379
51	0.8674	0.5300	0.4259	0.2041
52	0.9476	0.4693	0.3529	0.1728
53	0.9884	0.4033	0.2709	0.1436
54	0.8996	0.3180	0.1629	0.1028
55	0.7988	0.2066	0.0210	0.0531
56	0.6770	0.0799	-0.1295	-0.0199
57	0.5614	-0.0596	-0.2893	-0.1151
58	0.4185	-0.1838	-0.4153	-0.2215
59	0.2319	-0.2337	-0.4010	-0.2928
60	0.0882	-0.1209	-0.1107	-0.1969
61	0.1499	0.0102	0.1144	0.0255
62	0.4062	-0.3295	-0.3289	-0.0694
63	0.4596	-0.4695	-0.5068	-0.4917
64	0.3013	-0.1706	-0.1332	-0.2394
65	0.3908	0.1664	0.3491	-0.0338
66	0.3433	0.1380	0.1805	0.2831
67	0.2242	0.0432	0.0723	0.1346
68	0.0920	-0.0247	-0.0036	0.0402
69	-0.0044	-0.0525	-0.0339	-0.0118
70	-0.0501	-0.0521	-0.0291	-0.0272
71	-0.0555	-0.0365	-0.0102	-0.0197
72	-0.0401	-0.0179	0.0055	-0.0058
73	-0.0211	-0.0046	0.0104	0.0026
74	-0.0079	0.0007	0.0067	0.0031
75	-0.0015	-0.0000	0.0001	-0.0013
76	0.0003	-0.0045	-0.0049	-0.0075
77	-0.0001	-0.0119	-0.0081	-0.0160
78	-0.0033	-0.0235	-0.0139	-0.0298
79	-0.0114	-0.0409	-0.0285	-0.0521
80	-0.0266	-0.0658	-0.0565	-0.0843
81	-0.0500	-0.0989	-0.1001	-0.1256
82	-0.0810	-0.1402	-0.1572	-0.1737
83	-0.1181	-0.1872	-0.2227	-0.2250
84	-0.1606	-0.2359	-0.2876	-0.2753
85	-0.2068	-0.2835	-0.3418	-0.3193
86	-0.2564	-0.3278	-0.3776	-0.3515
87	-0.3082	-0.3676	-0.3957	-0.3686
88	-0.3605	-0.4041	-0.4050	-0.3784
89	-0.4111	-0.4403	-0.4214	-0.3983
90	-0.4638	-0.4851	-0.4602	-0.4479
91	-0.5285	-0.5441	-0.5249	-0.5254
92	-0.6107	-0.6082	-0.5980	-0.5895
93	-0.6938	-0.6485	-0.6355	-0.5713
94	-0.7320	-0.6240	-0.5891	-0.4260
95	-0.6720	-0.5097	-0.4366	-0.1908
96	-0.4982	-0.3252	-0.2154	0.0257
97	-0.2607	-0.1349	-0.0093	0.1233
98	-0.0512	-0.0099	0.1031	0.0891
99	0.0566	0.0266	0.1020	0.0089
100	0.0585	0.0140	0.0402	-0.0137
101	0.0177	0.0013	-0.0027	0.0268
