	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	1.43	2.18	2.34	1.62	2.70	2.37	2.07	2.39	1.35	2.21	1.61	1.10
2	1.70	2.43	2.63	1.99	3.13	2.75	2.39	2.82	1.62	2.63	1.98	1.10
3	2.05	2.78	3.06	2.47	3.72	3.23	2.81	3.40	2.02	3.17	2.42	1.10
4	2.52	3.26	3.66	3.10	4.47	3.85	3.38	4.17	2.63	3.87	3.00	1.10
5	3.15	3.90	4.43	3.90	5.36	4.62	4.12	5.10	3.46	4.72	3.77	1.10
6	3.94	4.70	5.32	4.86	6.34	5.51	5.02	6.13	4.49	5.68	4.74	1.10
7	4.86	5.59	6.25	5.91	7.32	6.47	6.02	7.16	5.63	6.67	5.84	1.10
8	5.81	6.50	7.11	6.97	8.21	7.41	7.03	8.06	6.77	7.58	6.97	1.10
9	6.70	7.31	7.81	7.91	8.92	8.25	7.94	8.74	7.76	8.33	7.99	1.10
10	7.41	7.96	8.31	8.64	9.40	8.91	8.68	9.15	8.51	8.86	8.79	1.10
11	7.89	8.36	8.58	9.11	9.63	9.34	9.18	9.30	8.98	9.13	9.30	1.10
12	8.12	8.53	8.66	9.30	9.65	9.55	9.43	9.25	9.19	9.20	9.54	1.10
13	8.14	8.50	8.61	9.25	9.51	9.57	9.47	9.06	9.19	9.12	9.56	1.10
14	8.00	8.31	8.47	9.05	9.27	9.47	9.35	8.82	9.07	8.94	9.43	1.10
15	7.78	8.03	8.31	8.75	8.98	9.28	9.12	8.57	8.89	8.72	9.22	1.10
16	7.54	7.72	8.13	8.42	8.65	9.04	8.85	8.33	8.70	8.49	8.96	1.10
17	7.28	7.40	7.95	8.08	8.32	8.75	8.57	8.09	8.51	8.26	8.70	1.10
18	7.02	7.08	7.77	7.75	7.98	8.43	8.29	7.84	8.30	8.03	8.43	1.10
19	6.75	6.76	7.57	7.41	7.63	8.08	8.01	7.57	8.07	7.78	8.16	1.10
20	6.46	6.43	7.36	7.06	7.28	7.70	7.71	7.28	7.81	7.53	7.89	1.10
21	6.14	6.10	7.13	6.69	6.91	7.30	7.39	6.97	7.49	7.26	7.61	1.10
22	5.79	5.75	6.88	6.29	6.55	6.87	7.04	6.63	7.14	6.97	7.32	1.10
23	5.42	5.38	6.61	5.88	6.19	6.44	6.67	6.27	6.75	6.67	7.03	1.10
24	5.03	5.01	6.32	5.46	5.83	5.99	6.27	5.90	6.34	6.37	6.74	1.10
25	4.65	4.64	6.02	5.03	5.48	5.55	5.85	5.53	5.93	6.06	6.47	1.10
26	4.27	4.27	5.71	4.62	5.16	5.12	5.43	5.15	5.50	5.75	6.22	1.10
27	3.90	3.92	5.39	4.23	4.86	4.71	5.03	4.80	5.08	5.44	5.98	1.10
28	3.56	3.58	5.07	3.88	4.60	4.33	4.64	4.46	4.66	5.14	5.76	1.10
29	3.25	3.27	4.76	3.57	4.39	3.98	4.29	4.17	4.25	4.85	5.56	1.10
30	2.98	2.99	4.46	3.30	4.24	3.68	3.98	3.92	3.87	4.57	5.38	1.10
31	2.75	2.73	4.17	3.06	4.13	3.43	3.71	3.72	3.53	4.32	5.24	1.10
32	2.57	2.52	3.92	2.86	4.09	3.25	3.49	3.60	3.24	4.11	5.14	1.10
33	2.44	2.34	3.69	2.69	4.11	3.14	3.34	3.55	3.00	3.95	5.09	1.10
34	2.36	2.20	3.50	2.55	4.20	3.11	3.24	3.57	2.82	3.86	5.11	1.10
35	2.35	2.11	3.36	2.46	4.33	3.16	3.21	3.66	2.71	3.83	5.18	1.10
36	2.40	2.06	3.27	2.42	4.51	3.30	3.26	3.81	2.65	3.87	5.31	1.10
37	2.50	2.07	3.25	2.44	4.72	3.51	3.38	4.00	2.67	3.97	5.49	1.10
38	2.66	2.13	3.28	2.51	4.94	3.78	3.55	4.22	2.75	4.12	5.70	1.10
39	2.86	2.23	3.38	2.64	5.16	4.09	3.77	4.45	2.89	4.31	5.92	1.10
40	3.10	2.40	3.52	2.82	5.38	4.40	4.03	4.67	3.07	4.51	6.12	1.10
41	3.34	2.61	3.70	3.04	5.57	4.71	4.31	4.85	3.26	4.71	6.26	1.10
42	3.58	2.85	3.88	3.28	5.74	4.98	4.61	4.99	3.46	4.88	6.30	1.10
43	3.76	3.12	4.05	3.54	5.87	5.19	4.89	5.06	3.62	5.00	6.23	1.10
44	3.88	3.39	4.18	3.79	5.95	5.33	5.13	5.06	3.74	5.04	6.05	1.10
45	3.90	3.61	4.25	3.99	5.99	5.39	5.31	5.00	3.80	5.00	5.77	1.10
46	3.85	3.77	4.25	4.14	6.00	5.35	5.40	4.91	3.80	4.88	5.43	1.10
47	3.72	3.86	4.17	4.22	5.99	5.25	5.41	4.82	3.76	4.70	5.09	1.10
48	3.56	3.86	4.03	4.23	5.97	5.09	5.36	4.77	3.69	4.49	4.79	1.10
49	3.38	3.81	3.84	4.18	5.95	4.91	5.25	4.73	3.62	4.29	4.54	1.10
50	3.23	3.71	3.61	4.06	5.93	4.71	5.11	4.70	3.56	4.11	4.36	1.10
51	3.11	3.59	3.34	3.86	5.87	4.49	4.94	4.61	3.50	3.93	4.20	1.10
52	3.01	3.45	3.02	3.58	5.76	4.22	4.72	4.42	3.42	3.72	4.01	1.10
53	2.89	3.27	2.62	3.17	5.53	3.87	4.42	4.05	3.26	3.43	3.70	1.10
54	2.69	3.01	2.11	2.62	5.15	3.40	3.99	3.49	2.98	2.99	3.22	1.10
55	2.36	2.64	1.47	1.93	4.60	2.81	3.41	2.74	2.54	2.39	2.56	1.10
56	1.84	2.12	0.70	1.15	3.86	2.12	2.70	1.86	1.92	1.61	1.75	1.10
57	1.14	1.45	-0.15	0.37	2.96	1.38	1.90	0.96	1.17	0.71	0.88	1.10
58	0.31	0.66	-0.99	-0.31	1.96	0.69	1.11	0.15	0.34	-0.22	0.07	1.10
59	-0.55	-0.18	-1.74	-0.81	0.94	0.09	0.41	-0.48	-0.46	-1.07	-0.55	1.10
60	-1.32	-0.98	-2.31	-1.08	0.01	-0.34	-0.13	-0.89	-1.15	-1.75	-0.93	1.10
61	-1.91	-1.67	-2.67	-1.15	-0.75	-0.61	-0.46	-1.08	-1.69	-2.23	-1.06	1.10
62	-2.28	-2.20	-2.82	-1.07	-1.28	-0.73	-0.60	-1.08	-2.05	-2.49	-0.98	1.10
63	-2.43	-2.52	-2.79	-0.89	-1.55	-0.71	-0.58	-0.97	-2.22	-2.57	-0.76	1.10
64	-2.41	-2.66	-2.64	-0.67	-1.61	-0.62	-0.46	-0.79	-2.24	-2.53	-0.49	1.10
65	-2.25	-2.63	-2.40	-0.42	-1.50	-0.48	-0.28	-0.59	-2.14	-2.40	-0.22	1.10
66	-2.03	-2.49	-2.11	-0.16	-1.29	-0.31	-0.08	-0.39	-1.96	-2.22	0.00	1.10
67	-1.77	-2.27	-1.78	0.11	-1.03	-0.14	0.10	-0.22	-1.74	-2.02	0.17	1.10
68	-1.52	-2.02	-1.43	0.38	-0.75	0.05	0.27	-0.06	-1.51	-1.82	0.29	1.10
69	-1.27	-1.75	-1.09	0.64	-0.47	0.24	0.42	0.09	-1.30	-1.63	0.39	1.10
70	-1.03	-1.49	-0.77	0.90	-0.19	0.44	0.56	0.26	-1.09	-1.44	0.49	1.10
71	-0.78	-1.21	-0.47	1.14	0.08	0.67	0.70	0.45	-0.91	-1.24	0.60	1.10
72	-0.52	-0.92	-0.19	1.38	0.35	0.91	0.83	0.68	-0.73	-1.02	0.75	1.10
73	-0.23	-0.61	0.09	1.63	0.61	1.16	0.98	0.92	-0.57	-0.79	0.92	1.10
74	0.08	-0.26	0.36	1.87	0.86	1.43	1.12	1.18	-0.41	-0.54	1.09	1.10
75	0.41	0.10	0.64	2.10	1.09	1.70	1.28	1.45	-0.24	-0.29	1.26	1.10
76	0.74	0.47	0.91	2.32	1.30	1.96	1.43	1.72	-0.07	-0.04	1.42	1.10
77	1.07	0.82	1.18	2.50	1.47	2.22	1.59	2.00	0.11	0.21	1.59	1.10
78	1.37	1.15	1.43	2.65	1.62	2.46	1.75	2.26	0.30	0.44	1.76	1.10
