	Static.c3d
	Left Shoulder Angles
	LINK_MODEL_BASED
	ORIGINAL
ITEM	X
1	7.4
2	7.4
3	7.4
4	7.4
5	7.4
6	7.4
7	7.4
8	7.4
9	7.4
10	7.4
11	7.4
12	7.4
13	7.4
14	7.4
15	7.4
16	7.4
17	7.4
18	7.4
19	7.4
20	7.4
21	7.4
22	7.4
23	7.4
24	7.4
25	7.4
26	7.4
27	7.4
28	7.4
29	7.4
30	7.4
31	7.4
32	7.4
33	7.4
34	7.4
35	7.4
36	7.4
37	7.4
38	7.4
39	7.4
40	7.4
41	7.4
42	7.4
43	7.4
44	7.4
45	7.4
46	7.4
47	7.4
48	7.4
49	7.4
50	7.4
51	7.4
52	7.4
53	7.4
54	7.4
55	7.4
56	7.4
57	7.4
58	7.4
59	7.4
60	7.4
61	7.4
62	7.4
63	7.4
64	7.4
65	7.4
66	7.4
67	7.4
68	7.4
69	7.4
70	7.4
71	7.4
72	7.4
73	7.4
74	7.4
75	7.4
76	7.4
77	7.4
78	7.4
79	7.4
80	7.4
81	7.4
82	7.4
83	7.4
84	7.4
85	7.4
86	7.4
87	7.4
88	7.4
89	7.4
90	7.4
91	7.4
92	7.4
93	7.4
94	7.4
95	7.4
96	7.4
97	7.4
98	7.4
99	7.4
100	7.4
101	7.4
