	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
1	18.0	20.6	21.7	29.9	15.6	26.5	41.6	23.2	33.3	12.9
2	23.5	26.2	28.4	30.9	28.4	31.6	42.2	25.7	34.4	27.1
3	24.0	30.1	27.0	34.2	30.4	38.2	45.5	28.1	37.5	31.3
4	30.1	33.1	29.0	34.8	33.4	43.4	46.0	29.4	40.9	34.1
5	32.0	34.2	31.7	34.7	34.4	43.7	47.6	29.6	43.0	35.4
6	32.8	34.0	31.7	25.8	33.7	42.3	39.0	29.2	37.8	38.3
7	32.5	31.0	29.7	28.2	34.5	38.8	30.1	20.4	30.4	35.1
8	29.4	28.9	27.6	26.4	25.5	36.2	26.6	21.3	31.0	32.6
9	29.2	25.1	26.5	22.0	23.2	31.0	26.2	20.6	27.1	35.8
10	25.9	21.7	24.8	20.3	22.1	23.3	24.9	19.2	23.8	39.1
11	23.3	18.9	19.6	18.8	21.3	22.5	23.7	18.1	21.7	40.2
12	21.0	17.4	15.3	18.7	20.3	20.3	23.4	19.0	21.2	43.1
13	19.2	17.6	14.3	14.0	20.6	20.4	22.5	19.6	15.8	41.9
14	17.3	14.2	13.4	15.0	20.4	20.6	21.5	19.2	13.2	38.5
15	16.4	10.6	13.7	15.3	18.4	18.8	20.1	16.0	11.7	31.1
16	10.9	15.2	13.5	15.1	15.9	19.1	20.1	15.9	12.8	29.5
17	10.4	16.0	14.0	14.7	15.4	18.5	16.1	16.5	12.6	16.3
18	10.1	15.8	15.5	12.3	14.7	17.6	12.9	16.3	12.8	15.4
19	10.4	14.6	14.4	16.7	12.4	15.5	14.0	16.6	12.5	14.8
20	9.7	14.3	12.2	16.3	12.9	16.2	12.7	18.0	12.2	12.9
21	9.3	14.2	11.9	15.7	10.1	15.7	12.6	17.3	11.7	13.0
22	8.2	7.8	12.6	17.2	10.2	14.7	13.0	18.4	12.9	12.5
23	8.7	8.3	10.5	17.3	10.1	14.3	14.2	18.2	12.3	11.9
24	11.4	8.2	10.6	17.4	9.4	12.8	13.4	15.2	11.9	10.3
25	11.0	8.3	10.6	13.8	9.4	11.1	13.0	13.5	11.9	10.1
26	11.0	7.4	11.6	12.8	8.7	10.3	12.9	12.5	11.2	9.5
27	11.0	8.0	10.5	12.3	9.4	9.7	11.5	9.7	11.4	11.0
28	11.4	7.8	11.2	9.7	9.8	9.5	9.3	9.0	10.0	10.4
29	11.0	8.0	11.2	9.1	10.3	9.8	8.8	9.9	9.8	11.2
30	9.9	14.4	12.4	8.4	12.1	9.5	8.6	10.1	10.1	11.0
31	11.2	15.3	13.5	9.5	11.8	11.3	8.7	10.1	10.2	10.9
32	11.8	15.6	13.1	10.4	11.5	12.8	9.0	9.9	11.2	11.0
33	12.4	15.7	13.6	11.0	11.1	12.6	8.5	9.7	10.0	9.7
34	12.2	15.3	11.8	11.7	12.0	12.8	8.2	10.1	10.5	11.2
