	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	-18.8	-20.5	-19.8	-19.3	-19.9	-19.3	-18.8	-19.7	-21.2	-20.8	-20.5	-21.4
2	-18.8	-20.5	-19.8	-19.4	-19.8	-19.2	-18.7	-19.5	-21.1	-20.8	-20.6	-21.4
3	-18.9	-20.4	-19.8	-19.4	-19.7	-19.1	-18.6	-19.3	-21.0	-20.9	-20.8	-21.4
4	-18.9	-20.3	-19.8	-19.4	-19.5	-19.0	-18.5	-19.1	-20.9	-21.0	-20.9	-21.4
5	-18.9	-20.1	-19.8	-19.3	-19.3	-18.8	-18.4	-18.9	-20.8	-21.2	-21.0	-21.4
6	-18.9	-20.0	-19.8	-19.3	-19.1	-18.7	-18.4	-18.7	-20.6	-21.4	-21.0	-21.4
7	-18.8	-19.9	-19.8	-19.3	-18.9	-18.6	-18.4	-18.5	-20.5	-21.6	-21.1	-21.4
8	-18.8	-19.8	-19.8	-19.3	-18.8	-18.6	-18.3	-18.4	-20.4	-21.9	-21.1	-21.4
9	-18.8	-19.7	-19.8	-19.4	-18.7	-18.6	-18.3	-18.3	-20.3	-22.1	-21.1	-21.4
10	-18.9	-19.7	-19.8	-19.4	-18.7	-18.6	-18.2	-18.2	-20.2	-22.3	-21.1	-21.4
11	-18.9	-19.7	-19.8	-19.5	-18.8	-18.7	-18.1	-18.1	-20.0	-22.4	-21.0	-21.4
12	-19.0	-19.7	-19.7	-19.6	-18.8	-18.7	-18.0	-18.0	-19.9	-22.6	-20.9	-21.4
13	-19.0	-19.6	-19.6	-19.6	-18.8	-18.8	-17.7	-17.8	-19.8	-22.6	-20.7	-21.4
14	-19.0	-19.5	-19.4	-19.5	-18.7	-18.8	-17.5	-17.7	-19.6	-22.6	-20.4	-21.4
15	-18.9	-19.4	-19.2	-19.4	-18.7	-18.8	-17.2	-17.5	-19.5	-22.5	-20.0	-21.4
16	-18.8	-19.2	-19.0	-19.2	-18.6	-18.8	-17.0	-17.4	-19.3	-22.3	-19.7	-21.4
17	-18.6	-19.0	-18.7	-19.0	-18.5	-18.7	-16.8	-17.3	-19.2	-22.1	-19.3	-21.4
18	-18.4	-18.9	-18.4	-18.8	-18.3	-18.7	-16.7	-17.1	-19.1	-21.8	-18.9	-21.4
19	-18.3	-18.7	-18.2	-18.6	-18.2	-18.6	-16.6	-17.0	-18.9	-21.5	-18.6	-21.4
20	-18.1	-18.5	-18.0	-18.4	-18.0	-18.5	-16.5	-16.8	-18.8	-21.2	-18.3	-21.4
21	-17.9	-18.3	-17.7	-18.2	-17.8	-18.5	-16.4	-16.6	-18.7	-20.8	-18.0	-21.4
22	-17.7	-18.0	-17.5	-17.9	-17.7	-18.4	-16.3	-16.4	-18.6	-20.5	-17.7	-21.4
23	-17.5	-17.8	-17.4	-17.6	-17.5	-18.3	-16.2	-16.2	-18.4	-20.2	-17.4	-21.4
24	-17.3	-17.6	-17.2	-17.4	-17.4	-18.2	-16.1	-16.1	-18.3	-19.9	-17.3	-21.4
25	-17.2	-17.4	-17.2	-17.2	-17.3	-18.2	-16.0	-16.0	-18.2	-19.8	-17.2	-21.4
26	-17.2	-17.3	-17.1	-17.1	-17.3	-18.3	-15.9	-15.9	-18.1	-19.7	-17.1	-21.4
27	-17.2	-17.2	-17.1	-17.0	-17.3	-18.3	-15.9	-15.9	-18.0	-19.6	-17.1	-21.4
28	-17.2	-17.2	-17.2	-17.0	-17.4	-18.4	-15.9	-16.0	-18.0	-19.7	-17.3	-21.4
29	-17.3	-17.2	-17.3	-17.1	-17.5	-18.6	-16.0	-16.1	-18.0	-19.7	-17.4	-21.4
30	-17.5	-17.2	-17.5	-17.3	-17.6	-18.8	-16.1	-16.3	-18.1	-19.8	-17.7	-21.4
31	-17.7	-17.3	-17.7	-17.5	-17.8	-19.0	-16.3	-16.5	-18.2	-19.9	-18.0	-21.4
32	-17.9	-17.4	-17.9	-17.6	-18.0	-19.3	-16.5	-16.7	-18.3	-20.0	-18.3	-21.4
33	-18.1	-17.5	-18.1	-17.8	-18.1	-19.6	-16.7	-16.9	-18.4	-20.2	-18.7	-21.4
34	-18.4	-17.7	-18.4	-18.0	-18.3	-19.9	-17.0	-17.1	-18.6	-20.3	-19.0	-21.4
35	-18.6	-17.9	-18.6	-18.2	-18.5	-20.2	-17.2	-17.3	-18.8	-20.5	-19.3	-21.4
36	-18.9	-18.1	-18.8	-18.4	-18.7	-20.5	-17.5	-17.4	-18.9	-20.6	-19.6	-21.4
37	-19.2	-18.3	-19.0	-18.6	-18.9	-20.7	-17.7	-17.5	-19.1	-20.8	-19.8	-21.4
