	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-7.6	-8.5	-8.2	-8.8	-8.9	-8.6	-10.4	-7.6	-8.2	-7.4	-8.6	-5.5
2	-7.8	-8.7	-8.3	-9.0	-8.8	-8.8	-10.5	-7.7	-8.5	-7.6	-8.8	-5.5
3	-7.9	-8.9	-8.3	-9.1	-8.6	-9.0	-10.7	-7.6	-8.7	-7.8	-9.0	-5.5
4	-8.1	-9.0	-8.2	-9.1	-8.4	-9.1	-10.7	-7.5	-8.7	-7.8	-9.1	-5.5
5	-8.1	-9.0	-8.0	-8.9	-8.2	-9.1	-10.5	-7.3	-8.6	-7.7	-9.0	-5.5
6	-8.0	-8.9	-7.8	-8.7	-7.9	-9.0	-10.2	-7.0	-8.3	-7.5	-8.7	-5.5
7	-7.8	-8.6	-7.4	-8.3	-7.7	-8.8	-9.7	-6.6	-7.9	-7.1	-8.3	-5.5
8	-7.5	-8.2	-7.1	-7.9	-7.5	-8.6	-9.2	-6.3	-7.4	-6.7	-7.8	-5.5
9	-7.2	-7.8	-6.8	-7.5	-7.3	-8.3	-8.6	-6.0	-6.9	-6.4	-7.4	-5.5
10	-6.9	-7.4	-6.5	-7.1	-7.2	-8.1	-8.0	-5.8	-6.5	-6.0	-7.0	-5.5
11	-6.7	-7.0	-6.3	-6.8	-7.2	-7.9	-7.5	-5.6	-6.2	-5.8	-6.8	-5.5
12	-6.6	-6.8	-6.3	-6.6	-7.2	-7.8	-7.1	-5.6	-6.0	-5.6	-6.6	-5.5
13	-6.5	-6.7	-6.4	-6.4	-7.2	-7.8	-6.8	-5.6	-6.0	-5.5	-6.6	-5.5
14	-6.6	-6.6	-6.5	-6.3	-7.1	-7.8	-6.5	-5.7	-6.1	-5.4	-6.6	-5.5
15	-6.7	-6.6	-6.7	-6.2	-7.0	-7.8	-6.3	-5.7	-6.3	-5.3	-6.6	-5.5
16	-6.8	-6.6	-6.8	-6.2	-6.9	-7.7	-6.1	-5.8	-6.5	-5.1	-6.6	-5.5
17	-6.8	-6.6	-6.9	-6.1	-6.7	-7.7	-5.9	-5.9	-6.7	-5.0	-6.6	-5.5
18	-6.8	-6.5	-6.9	-6.0	-6.5	-7.5	-5.8	-5.9	-6.9	-4.8	-6.6	-5.5
19	-6.8	-6.5	-6.8	-5.9	-6.2	-7.4	-5.6	-5.9	-6.9	-4.5	-6.5	-5.5
20	-6.6	-6.4	-6.7	-5.7	-6.0	-7.1	-5.3	-5.7	-6.9	-4.3	-6.4	-5.5
21	-6.4	-6.3	-6.5	-5.5	-5.6	-6.8	-5.0	-5.5	-6.7	-4.0	-6.0	-5.5
22	-6.1	-6.1	-6.1	-5.2	-5.3	-6.4	-4.7	-5.2	-6.4	-3.7	-5.6	-5.5
23	-5.7	-5.8	-5.7	-4.8	-4.9	-6.0	-4.3	-4.7	-5.9	-3.3	-5.0	-5.5
24	-5.3	-5.5	-5.2	-4.3	-4.5	-5.6	-3.8	-4.3	-5.4	-3.0	-4.3	-5.5
25	-4.8	-5.2	-4.6	-3.9	-4.0	-5.1	-3.4	-3.7	-4.8	-2.6	-3.6	-5.5
26	-4.4	-4.8	-4.1	-3.4	-3.6	-4.6	-2.9	-3.3	-4.1	-2.2	-2.8	-5.5
27	-3.9	-4.4	-3.5	-3.0	-3.2	-4.0	-2.4	-2.8	-3.5	-1.9	-2.1	-5.5
28	-3.5	-4.0	-3.0	-2.5	-2.8	-3.5	-2.0	-2.4	-2.9	-1.6	-1.3	-5.5
29	-3.1	-3.6	-2.5	-2.2	-2.4	-3.0	-1.6	-2.1	-2.3	-1.3	-0.6	-5.5
30	-2.7	-3.2	-2.0	-1.8	-2.1	-2.6	-1.2	-1.8	-1.8	-1.0	0.1	-5.5
31	-2.4	-2.8	-1.6	-1.5	-1.8	-2.1	-0.9	-1.5	-1.4	-0.8	0.7	-5.5
32	-2.1	-2.4	-1.2	-1.3	-1.5	-1.7	-0.5	-1.2	-1.0	-0.6	1.3	-5.5
33	-1.8	-2.1	-0.9	-1.0	-1.2	-1.3	-0.2	-1.0	-0.6	-0.4	1.7	-5.5
34	-1.6	-1.8	-0.5	-0.8	-1.0	-1.0	0.1	-0.8	-0.3	-0.2	2.1	-5.5
35	-1.4	-1.5	-0.2	-0.5	-0.7	-0.7	0.4	-0.5	0.0	-0.0	2.5	-5.5
36	-1.2	-1.3	0.1	-0.3	-0.5	-0.4	0.7	-0.3	0.4	0.2	2.7	-5.5
37	-1.1	-1.0	0.4	-0.1	-0.4	-0.2	0.9	-0.0	0.7	0.4	2.8	-5.5
38	-0.9	-0.8	0.6	0.1	-0.2	0.0	1.2	0.2	0.9	0.5	2.9	-5.5
