	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.9	-0.3	1.8	1.9	0.3	0.0	1.0	-0.7	0.5	-1.0	-1.4	0.6
2	-1.1	-0.6	1.5	1.7	0.2	-0.2	0.8	-1.0	0.3	-1.3	-1.6	0.6
3	-1.3	-0.9	1.3	1.4	-0.0	-0.5	0.6	-1.3	-0.0	-1.7	-1.9	0.6
4	-1.5	-1.1	1.0	1.2	-0.2	-0.7	0.3	-1.6	-0.3	-2.0	-2.1	0.6
5	-1.7	-1.4	0.7	0.9	-0.5	-1.0	0.0	-2.0	-0.6	-2.3	-2.4	0.6
6	-2.0	-1.7	0.3	0.6	-0.7	-1.2	-0.3	-2.3	-1.0	-2.6	-2.6	0.6
7	-2.2	-1.9	-0.0	0.2	-1.0	-1.5	-0.7	-2.6	-1.4	-3.0	-2.9	0.6
8	-2.5	-2.3	-0.4	-0.1	-1.3	-1.7	-1.1	-3.0	-1.8	-3.3	-3.2	0.6
9	-2.7	-2.6	-0.7	-0.5	-1.5	-2.0	-1.5	-3.3	-2.2	-3.7	-3.4	0.6
10	-2.9	-2.9	-1.0	-0.8	-1.7	-2.2	-1.9	-3.5	-2.6	-4.0	-3.7	0.6
11	-3.1	-3.1	-1.2	-1.1	-1.8	-2.3	-2.2	-3.7	-3.0	-4.3	-4.0	0.6
12	-3.2	-3.3	-1.4	-1.4	-1.8	-2.4	-2.5	-3.8	-3.2	-4.5	-4.2	0.6
13	-3.2	-3.5	-1.5	-1.5	-1.8	-2.5	-2.7	-3.8	-3.4	-4.6	-4.4	0.6
14	-3.2	-3.5	-1.4	-1.6	-1.7	-2.5	-2.9	-3.8	-3.5	-4.6	-4.4	0.6
15	-3.2	-3.5	-1.4	-1.6	-1.6	-2.4	-2.9	-3.7	-3.5	-4.5	-4.4	0.6
16	-3.1	-3.5	-1.3	-1.6	-1.5	-2.4	-3.0	-3.6	-3.5	-4.4	-4.4	0.6
17	-2.9	-3.4	-1.1	-1.5	-1.3	-2.3	-2.9	-3.5	-3.4	-4.2	-4.2	0.6
18	-2.8	-3.3	-1.0	-1.4	-1.2	-2.2	-2.9	-3.3	-3.3	-4.0	-4.1	0.6
19	-2.8	-3.1	-0.9	-1.2	-1.0	-2.1	-2.8	-3.2	-3.1	-3.8	-4.0	0.6
20	-2.7	-3.0	-0.7	-1.1	-0.8	-1.9	-2.8	-3.1	-3.0	-3.6	-3.9	0.6
21	-2.6	-2.8	-0.6	-1.0	-0.6	-1.8	-2.7	-3.0	-2.9	-3.4	-3.8	0.6
22	-2.6	-2.6	-0.5	-0.9	-0.5	-1.7	-2.6	-2.9	-2.8	-3.3	-3.7	0.6
23	-2.6	-2.5	-0.5	-0.8	-0.3	-1.6	-2.6	-2.8	-2.6	-3.1	-3.6	0.6
24	-2.5	-2.4	-0.4	-0.7	-0.1	-1.5	-2.5	-2.7	-2.5	-3.0	-3.5	0.6
25	-2.5	-2.2	-0.3	-0.6	0.0	-1.4	-2.5	-2.6	-2.4	-2.9	-3.5	0.6
26	-2.5	-2.1	-0.3	-0.5	0.2	-1.4	-2.4	-2.5	-2.3	-2.8	-3.5	0.6
27	-2.5	-1.9	-0.2	-0.5	0.3	-1.3	-2.4	-2.4	-2.2	-2.8	-3.4	0.6
28	-2.5	-1.8	-0.2	-0.4	0.5	-1.2	-2.3	-2.2	-2.1	-2.7	-3.4	0.6
29	-2.4	-1.7	-0.2	-0.3	0.6	-1.1	-2.3	-2.1	-2.0	-2.6	-3.3	0.6
30	-2.4	-1.5	-0.2	-0.3	0.8	-1.1	-2.2	-1.9	-1.9	-2.5	-3.2	0.6
31	-2.3	-1.4	-0.2	-0.2	1.0	-1.0	-2.1	-1.8	-1.8	-2.4	-3.2	0.6
32	-2.3	-1.3	-0.1	-0.1	1.1	-0.9	-2.0	-1.6	-1.7	-2.3	-3.1	0.6
33	-2.2	-1.1	-0.1	-0.0	1.3	-0.9	-2.0	-1.5	-1.6	-2.2	-3.0	0.6
34	-2.2	-1.0	-0.1	0.1	1.4	-0.8	-1.9	-1.3	-1.5	-2.1	-2.9	0.6
35	-2.1	-0.9	-0.0	0.2	1.5	-0.8	-1.8	-1.2	-1.4	-2.0	-2.8	0.6
36	-2.0	-0.7	0.0	0.3	1.6	-0.7	-1.7	-1.0	-1.3	-1.9	-2.7	0.6
37	-2.0	-0.6	0.1	0.4	1.7	-0.7	-1.7	-0.9	-1.2	-1.7	-2.6	0.6
38	-1.9	-0.5	0.1	0.5	1.8	-0.7	-1.6	-0.8	-1.1	-1.6	-2.5	0.6
39	-1.8	-0.4	0.2	0.7	1.9	-0.6	-1.5	-0.7	-1.0	-1.5	-2.4	0.6
40	-1.7	-0.3	0.2	0.8	1.9	-0.6	-1.5	-0.6	-0.9	-1.4	-2.2	0.6
41	-1.7	-0.2	0.3	0.9	2.0	-0.5	-1.4	-0.5	-0.8	-1.3	-2.0	0.6
42	-1.6	-0.1	0.3	1.0	2.1	-0.4	-1.2	-0.4	-0.6	-1.1	-1.8	0.6
43	-1.4	-0.0	0.4	1.2	2.2	-0.2	-1.0	-0.3	-0.4	-0.9	-1.5	0.6
44	-1.3	0.1	0.5	1.3	2.3	-0.1	-0.8	-0.2	-0.2	-0.7	-1.2	0.6
45	-1.1	0.2	0.6	1.5	2.5	0.1	-0.5	-0.1	-0.0	-0.5	-0.9	0.6
46	-1.0	0.4	0.8	1.7	2.6	0.4	-0.2	0.1	0.2	-0.3	-0.6	0.6
47	-0.7	0.5	0.9	1.9	2.8	0.6	0.1	0.2	0.5	-0.0	-0.3	0.6
48	-0.5	0.7	1.1	2.1	2.9	0.8	0.3	0.3	0.7	0.3	-0.0	0.6
49	-0.3	0.9	1.3	2.3	3.1	1.1	0.6	0.5	1.0	0.5	0.3	0.6
50	-0.0	1.0	1.6	2.5	3.2	1.3	0.9	0.6	1.2	0.8	0.5	0.6
51	0.2	1.2	1.8	2.8	3.3	1.5	1.2	0.8	1.4	1.0	0.7	0.6
52	0.5	1.4	2.1	3.0	3.4	1.7	1.4	0.9	1.5	1.2	0.9	0.6
53	0.7	1.5	2.4	3.2	3.5	1.9	1.7	1.1	1.7	1.4	1.1	0.6
