	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-4.0	-4.2	-2.1	-1.4	-4.1	-4.1	-3.1	-4.6	-2.3	-4.5	-4.3	-1.1
2	-4.5	-4.7	-2.6	-2.0	-4.6	-4.7	-3.7	-5.3	-2.8	-5.3	-5.0	-1.1
3	-5.1	-5.3	-3.3	-2.7	-5.4	-5.5	-4.3	-6.2	-3.5	-6.1	-5.6	-1.1
4	-5.7	-6.0	-4.2	-3.6	-6.3	-6.3	-5.1	-7.2	-4.4	-7.1	-6.4	-1.1
5	-6.5	-6.9	-5.2	-4.6	-7.3	-7.3	-6.1	-8.4	-5.5	-8.2	-7.3	-1.1
6	-7.5	-7.9	-6.4	-5.8	-8.5	-8.4	-7.3	-9.8	-6.8	-9.4	-8.5	-1.1
7	-8.6	-9.1	-7.5	-7.1	-9.7	-9.6	-8.5	-11.1	-8.3	-10.6	-9.7	-1.1
8	-9.7	-10.2	-8.7	-8.4	-10.8	-10.7	-9.8	-12.2	-9.7	-11.8	-11.0	-1.1
9	-10.7	-11.2	-9.6	-9.7	-11.7	-11.7	-11.1	-13.2	-11.1	-12.8	-12.3	-1.1
10	-11.6	-12.1	-10.4	-10.7	-12.3	-12.5	-12.1	-13.8	-12.2	-13.6	-13.3	-1.1
11	-12.2	-12.7	-10.8	-11.4	-12.6	-13.0	-12.9	-14.1	-12.9	-14.1	-14.0	-1.1
12	-12.5	-13.0	-11.0	-11.7	-12.7	-13.3	-13.4	-14.1	-13.4	-14.3	-14.4	-1.1
13	-12.5	-13.1	-11.0	-11.8	-12.5	-13.4	-13.6	-14.0	-13.6	-14.3	-14.6	-1.1
14	-12.4	-13.0	-10.9	-11.7	-12.2	-13.3	-13.6	-13.7	-13.6	-14.1	-14.6	-1.1
15	-12.1	-12.7	-10.7	-11.4	-11.8	-13.0	-13.4	-13.4	-13.5	-13.8	-14.4	-1.1
16	-11.8	-12.4	-10.5	-11.1	-11.4	-12.7	-13.2	-13.1	-13.3	-13.5	-14.1	-1.1
17	-11.5	-12.0	-10.2	-10.7	-10.9	-12.4	-12.9	-12.8	-13.1	-13.1	-13.8	-1.1
18	-11.1	-11.6	-10.0	-10.2	-10.4	-11.9	-12.6	-12.5	-12.8	-12.7	-13.4	-1.1
19	-10.8	-11.1	-9.7	-9.8	-9.8	-11.5	-12.2	-12.1	-12.5	-12.2	-13.0	-1.1
20	-10.4	-10.7	-9.3	-9.3	-9.3	-11.0	-11.8	-11.7	-12.1	-11.8	-12.7	-1.1
21	-10.0	-10.2	-9.0	-8.8	-8.7	-10.4	-11.4	-11.3	-11.7	-11.3	-12.3	-1.0
22	-9.6	-9.7	-8.6	-8.3	-8.1	-9.8	-10.9	-10.8	-11.2	-10.8	-11.8	-1.0
23	-9.1	-9.1	-8.2	-7.7	-7.5	-9.2	-10.4	-10.3	-10.6	-10.4	-11.4	-1.0
24	-8.6	-8.5	-7.7	-7.1	-6.9	-8.6	-9.8	-9.7	-10.0	-9.9	-11.0	-1.0
25	-8.1	-8.0	-7.3	-6.5	-6.3	-8.0	-9.3	-9.1	-9.4	-9.5	-10.6	-1.0
26	-7.7	-7.4	-6.8	-5.9	-5.7	-7.4	-8.7	-8.5	-8.7	-9.0	-10.2	-1.0
27	-7.2	-6.8	-6.3	-5.4	-5.2	-6.8	-8.1	-7.9	-8.1	-8.6	-9.8	-1.0
28	-6.7	-6.3	-5.9	-4.9	-4.7	-6.2	-7.6	-7.4	-7.4	-8.2	-9.4	-1.0
29	-6.3	-5.7	-5.5	-4.4	-4.3	-5.7	-7.1	-6.8	-6.8	-7.7	-9.0	-1.0
30	-5.9	-5.2	-5.1	-4.0	-3.9	-5.2	-6.6	-6.4	-6.2	-7.3	-8.7	-1.0
31	-5.6	-4.8	-4.7	-3.6	-3.5	-4.8	-6.2	-6.0	-5.7	-6.9	-8.4	-1.0
32	-5.3	-4.3	-4.3	-3.3	-3.3	-4.5	-5.8	-5.6	-5.2	-6.6	-8.1	-1.0
33	-5.0	-3.9	-4.0	-3.0	-3.1	-4.3	-5.5	-5.3	-4.8	-6.3	-7.9	-1.0
34	-4.9	-3.6	-3.7	-2.7	-3.0	-4.1	-5.2	-5.2	-4.4	-6.0	-7.8	-1.0
35	-4.8	-3.3	-3.5	-2.4	-3.0	-4.1	-5.0	-5.0	-4.2	-5.9	-7.7	-1.0
36	-4.7	-3.1	-3.3	-2.2	-3.0	-4.2	-5.0	-5.0	-4.0	-5.8	-7.8	-1.0
37	-4.7	-2.9	-3.2	-2.1	-3.1	-4.3	-5.0	-5.0	-3.8	-5.7	-7.8	-1.0
