	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	12.4	10.8	10.7	10.6	10.6	11.2	11.1	10.7	9.7	9.7	8.9	6.0
2	12.1	10.6	10.4	10.4	10.4	11.0	11.0	10.6	9.5	9.4	8.5	6.0
3	11.7	10.4	10.2	10.2	10.2	10.8	10.8	10.4	9.4	9.1	8.2	6.0
4	11.4	10.2	9.9	10.0	10.0	10.6	10.7	10.3	9.2	8.7	7.8	6.0
5	11.1	10.0	9.7	9.7	9.8	10.3	10.5	10.1	9.0	8.3	7.4	6.0
6	10.7	9.8	9.4	9.5	9.6	10.1	10.3	10.0	8.9	7.9	7.1	6.0
7	10.4	9.6	9.1	9.3	9.4	9.8	10.2	9.8	8.7	7.5	6.7	6.0
8	10.1	9.5	8.8	9.1	9.2	9.6	10.1	9.7	8.6	7.1	6.4	6.0
9	9.8	9.3	8.6	8.9	9.1	9.3	10.0	9.5	8.5	6.7	6.2	6.0
10	9.6	9.1	8.4	8.7	8.9	9.1	10.0	9.4	8.3	6.3	6.0	6.0
11	9.3	9.0	8.2	8.6	8.8	8.9	10.0	9.4	8.2	6.0	5.8	6.0
12	9.2	8.9	8.1	8.5	8.7	8.8	10.1	9.5	8.2	5.8	5.7	6.0
13	9.1	8.9	8.0	8.5	8.7	8.7	10.3	9.6	8.2	5.8	5.8	6.0
14	9.0	8.9	8.1	8.6	8.8	8.7	10.5	9.7	8.3	5.8	5.9	6.0
15	9.1	9.1	8.2	8.8	9.0	8.8	10.7	10.0	8.5	5.9	6.1	6.0
16	9.2	9.2	8.4	9.0	9.2	9.0	11.0	10.3	8.7	6.2	6.4	6.0
17	9.4	9.5	8.7	9.3	9.4	9.1	11.3	10.6	9.0	6.4	6.8	6.0
18	9.6	9.7	9.0	9.6	9.7	9.3	11.6	10.9	9.3	6.7	7.1	6.0
19	9.8	10.0	9.2	9.9	9.9	9.5	11.8	11.2	9.6	7.1	7.4	6.0
20	9.9	10.2	9.5	10.2	10.1	9.7	12.0	11.4	9.8	7.4	7.6	6.0
21	10.0	10.4	9.7	10.5	10.2	9.8	12.2	11.7	10.0	7.7	7.8	6.0
22	10.1	10.6	9.9	10.7	10.3	9.9	12.3	11.8	10.2	7.9	7.9	6.0
23	10.2	10.8	10.0	10.9	10.4	9.9	12.3	12.0	10.3	8.1	7.9	6.0
24	10.2	10.9	10.1	11.1	10.5	9.9	12.4	12.1	10.4	8.3	8.0	6.0
25	10.2	11.0	10.2	11.2	10.5	9.8	12.4	12.2	10.5	8.4	8.0	6.0
26	10.2	11.1	10.2	11.3	10.4	9.8	12.5	12.3	10.5	8.6	8.0	6.0
27	10.2	11.1	10.2	11.4	10.4	9.7	12.5	12.3	10.6	8.7	8.0	6.0
28	10.1	11.1	10.3	11.5	10.4	9.6	12.4	12.3	10.6	8.7	8.0	6.0
29	10.1	11.1	10.3	11.5	10.3	9.6	12.4	12.3	10.7	8.8	8.0	6.0
30	10.0	11.1	10.3	11.6	10.3	9.5	12.3	12.3	10.7	8.9	8.0	6.0
31	10.0	11.1	10.3	11.6	10.2	9.4	12.2	12.2	10.7	8.9	8.0	6.0
32	9.9	11.1	10.2	11.6	10.1	9.3	12.2	12.2	10.7	9.0	8.0	6.0
33	9.8	11.0	10.2	11.6	10.1	9.2	12.1	12.1	10.7	9.0	8.0	6.0
34	9.8	11.0	10.2	11.6	10.0	9.1	12.0	12.1	10.7	9.1	8.0	6.0
35	9.8	11.0	10.2	11.6	9.9	9.1	11.9	12.1	10.7	9.2	8.1	6.0
36	9.7	10.9	10.3	11.6	9.9	9.0	11.8	12.1	10.7	9.3	8.1	6.0
37	9.7	10.9	10.3	11.6	9.8	9.0	11.7	12.1	10.8	9.4	8.2	6.0
38	9.7	10.9	10.3	11.6	9.8	9.0	11.6	12.1	10.8	9.5	8.3	6.0
39	9.8	10.9	10.4	11.6	9.8	9.0	11.6	12.1	10.9	9.6	8.5	6.0
40	9.8	10.9	10.5	11.6	9.8	9.0	11.5	12.1	10.9	9.7	8.6	6.0
41	9.8	10.9	10.5	11.6	9.7	9.1	11.5	12.1	11.0	9.9	8.8	6.0
42	9.9	10.9	10.6	11.6	9.7	9.2	11.5	12.1	11.1	10.0	8.9	6.0
43	9.9	11.0	10.6	11.6	9.8	9.4	11.4	12.1	11.1	10.1	9.1	6.0
44	10.0	11.0	10.7	11.6	9.8	9.5	11.4	12.0	11.2	10.2	9.2	6.0
45	10.0	11.1	10.7	11.6	9.8	9.6	11.3	12.0	11.3	10.3	9.2	6.0
46	10.0	11.1	10.7	11.6	9.7	9.7	11.3	11.9	11.3	10.4	9.3	6.0
47	10.1	11.2	10.7	11.6	9.7	9.8	11.2	11.8	11.3	10.5	9.2	6.0
48	10.1	11.2	10.7	11.6	9.6	9.7	11.1	11.6	11.3	10.4	9.2	6.0
49	10.0	11.2	10.6	11.5	9.5	9.7	10.9	11.4	11.2	10.4	9.0	6.0
50	9.9	11.1	10.5	11.4	9.4	9.5	10.7	11.2	11.1	10.3	8.8	6.0
51	9.8	11.1	10.3	11.3	9.1	9.3	10.5	10.9	10.8	10.1	8.6	6.0
52	9.6	11.0	10.1	11.1	8.9	9.1	10.2	10.6	10.5	9.9	8.3	6.0
53	9.4	10.8	9.8	10.9	8.6	8.9	9.9	10.4	10.2	9.6	8.1	6.0
54	9.1	10.6	9.6	10.7	8.4	8.6	9.6	10.1	9.9	9.3	7.8	6.0
55	8.8	10.5	9.4	10.5	8.1	8.4	9.3	9.8	9.5	9.1	7.6	6.0
56	8.6	10.3	9.2	10.3	7.9	8.1	9.1	9.6	9.2	8.8	7.5	6.0
57	8.4	10.1	9.0	10.2	7.7	7.9	8.9	9.4	8.9	8.6	7.4	6.0
58	8.3	9.9	8.9	10.0	7.5	7.7	8.7	9.2	8.7	8.4	7.3	6.0
59	8.1	9.7	8.8	9.9	7.4	7.5	8.6	9.1	8.4	8.3	7.3	6.0
60	8.0	9.6	8.7	9.8	7.4	7.4	8.5	9.0	8.2	8.3	7.4	6.0
61	8.0	9.4	8.7	9.8	7.3	7.3	8.4	8.9	8.1	8.3	7.5	6.0
62	8.0	9.3	8.7	9.8	7.3	7.3	8.4	8.9	8.1	8.4	7.6	6.0
