	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
1	69.2	62.5	61.0	81.2	63.7	52.6	45.0	41.8	83.9	32.0
2	85.2	168.6	91.0	88.2	97.7	103.1	60.7	58.5	130.2	36.0
3	109.3	190.6	89.9	106.8	131.3	117.7	79.6	71.1	168.0	40.8
4	128.2	219.3	111.9	109.4	153.1	133.3	87.0	83.7	173.4	46.2
5	133.7	220.0	116.2	109.0	165.8	134.6	87.9	84.4	174.5	52.2
6	132.9	221.4	116.2	105.6	165.3	134.0	89.1	84.5	176.8	54.9
7	135.4	198.1	115.0	87.0	165.5	129.1	75.6	81.3	129.3	60.6
8	126.0	155.5	89.0	75.8	133.1	101.3	68.5	73.4	97.9	51.1
9	104.2	109.6	72.1	41.2	114.6	80.2	53.4	50.1	52.6	49.9
10	80.1	94.1	39.9	41.5	60.9	53.9	50.9	38.5	63.2	42.8
11	55.4	93.2	39.6	39.3	53.9	56.4	52.2	42.3	56.7	45.4
12	59.5	90.6	39.8	37.1	53.3	55.1	52.3	43.6	58.2	37.6
13	52.6	87.2	33.6	47.7	49.7	53.4	56.4	51.2	62.9	52.8
14	48.4	81.3	39.7	48.8	50.1	54.2	56.9	57.4	62.9	51.9
15	52.7	79.3	44.7	48.9	51.2	54.8	54.3	57.3	57.2	51.8
16	55.5	52.2	42.7	50.4	50.1	51.7	51.8	57.1	51.5	48.8
17	56.0	44.2	40.2	50.6	44.7	43.4	53.2	53.4	47.7	46.7
18	48.0	45.8	39.3	53.0	39.9	43.2	45.8	52.5	33.8	33.0
19	45.6	39.5	37.6	44.3	34.9	39.8	43.1	42.0	28.8	26.1
20	45.3	35.3	30.3	43.4	22.7	31.0	41.4	33.5	25.6	24.7
21	38.4	29.1	22.5	65.4	21.0	30.0	36.7	30.4	15.9	15.2
22	41.3	25.9	20.3	62.2	16.3	27.0	34.2	25.5	13.8	14.5
23	41.3	23.2	14.1	64.7	9.1	24.4	28.2	21.5	13.8	14.0
24	40.4	19.2	14.6	63.0	8.5	26.5	28.0	24.7	11.4	9.8
25	44.6	18.8	13.2	64.9	7.5	18.4	25.9	20.0	6.6	8.8
26	43.8	18.7	10.9	63.3	6.0	20.6	25.8	19.5	5.4	8.5
27	46.3	18.9	10.6	43.5	5.1	24.8	22.6	19.6	5.4	6.9
28	38.5	15.2	10.8	42.7	5.5	25.2	21.7	20.2	5.0	6.6
29	35.9	12.1	9.0	39.0	5.7	22.5	22.9	17.4	4.4	5.8
30	34.8	10.7	6.2	42.0	5.7	19.6	24.4	10.5	3.9	3.6
31	25.3	15.1	12.3	39.8	5.0	20.5	23.3	10.4	3.9	3.7
32	33.9	15.1	14.3	35.0	5.1	19.3	22.0	10.1	3.1	3.6
33	31.6	16.4	14.7	35.2	5.1	12.7	21.8	9.6	3.5	4.4
34	31.1	19.3	15.6	37.3	4.8	11.8	26.3	7.1	3.5	11.4
35	32.0	19.2	15.6	40.9	4.7	11.3	27.4	6.3	3.3	12.9
36	33.2	19.0	16.3	36.8	4.9	10.9	27.0	7.2	3.6	13.7
37	39.1	15.7	16.4	42.9	5.2	9.8	28.1	7.3	4.1	14.0
38	32.1	15.4	19.3	51.7	8.2	9.0	32.9	7.3	3.7	14.6
39	36.5	11.2	19.6	57.1	11.8	18.9	39.4	7.4	3.4	12.1
40	40.8	6.3	21.1	56.6	11.9	24.0	45.3	6.9	3.8	9.4
41	47.7	4.7	22.3	55.7	12.7	25.5	49.7	6.2	3.4	8.2
42	49.6	4.2	20.4	56.9	15.0	25.7	55.5	6.2	3.4	9.6
43	50.8	3.5	18.5	49.1	15.5	25.6	54.6	9.7	3.7	9.0
44	63.6	3.9	19.2	64.7	12.7	25.2	55.4	11.4	4.2	9.9
45	62.4	4.1	18.8	79.3	14.5	16.2	44.6	14.0	4.7	10.2
46	62.1	5.0	17.6	89.2	17.6	9.6	43.3	14.1	9.4	10.3
47	62.7	5.3	16.7	99.1	24.1	15.8	32.7	14.4	11.0	8.6
48	65.6	6.7	20.6	99.1	29.9	19.4	45.8	13.9	12.6	7.9
49	66.7	15.1	19.9	104.7	36.5	19.7	48.0	13.0	14.1	7.2
50	56.5	16.2	21.9	94.2	39.5	20.2	46.5	19.0	17.3	5.4
51	55.6	16.3	23.2	89.4	43.0	21.2	49.5	26.4	18.3	5.8
52	55.7	16.4	24.3	83.8	42.6	25.5	49.2	26.5	22.1	5.8
53	52.8	24.3	29.3	76.5	39.9	25.1	38.3	26.8	22.0	5.7
54	59.9	27.6	27.4	79.3	29.5	26.7	31.1	28.0	22.6	7.6
55	60.4	25.9	26.1	64.7	35.8	29.5	30.3	30.7	24.8	18.5
