	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Ankle Power	Right Ankle Power	Right Ankle Power	Right Ankle Power	Right Ankle Power
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	-0.0110	-0.0391	-0.0033	-0.0122	-0.0098
2	-0.0131	-0.1342	-0.0163	0.0390	0.0124
3	-0.1472	-0.2389	-0.1943	-0.0799	-0.0829
4	-0.1833	-0.1411	-0.2735	-0.2434	-0.2274
5	-0.0455	-0.0792	-0.1104	-0.0577	-0.0985
6	-0.0025	-0.0233	-0.0425	0.0049	-0.0174
7	0.0005	-0.0000	-0.0015	0.0056	0.0041
8	-0.0285	-0.0212	-0.0001	-0.0256	-0.0042
9	-0.0700	-0.0652	-0.0219	-0.0702	-0.0381
10	-0.1099	-0.1044	-0.0541	-0.1144	-0.0598
11	-0.1379	-0.1305	-0.0873	-0.1535	-0.0656
12	-0.1624	-0.1561	-0.1194	-0.1875	-0.0721
13	-0.1856	-0.1903	-0.1507	-0.2163	-0.0802
14	-0.2044	-0.2262	-0.1782	-0.2384	-0.0916
15	-0.2232	-0.2589	-0.2036	-0.2555	-0.1052
16	-0.2436	-0.2833	-0.2272	-0.2716	-0.1202
17	-0.2635	-0.3018	-0.2483	-0.2918	-0.1349
18	-0.2815	-0.3195	-0.2669	-0.3158	-0.1485
19	-0.2943	-0.3330	-0.2817	-0.3420	-0.1620
20	-0.3019	-0.3379	-0.2913	-0.3664	-0.1747
21	-0.3090	-0.3355	-0.2967	-0.3835	-0.1869
22	-0.3163	-0.3334	-0.3008	-0.3913	-0.1972
23	-0.3213	-0.3443	-0.3038	-0.3902	-0.2028
24	-0.3231	-0.3688	-0.3040	-0.3873	-0.2028
25	-0.3243	-0.3993	-0.3016	-0.3855	-0.1982
26	-0.3275	-0.4279	-0.2994	-0.3848	-0.1936
