	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles	Right Elbow Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	117.4	111.6	117.7	116.6	120.1	111.9	114.7	119.6	114.2	110.2	114.8	112.3	120.4	116.9
2	117.1	111.5	117.1	115.6	119.8	111.7	114.4	119.6	113.9	109.7	114.3	112.2	120.4	116.9
3	116.9	111.4	116.4	114.7	119.6	111.7	114.0	119.7	113.6	109.2	113.8	112.1	120.3	116.9
4	116.8	111.4	115.7	113.9	119.4	111.8	113.6	119.7	113.2	108.8	113.2	112.2	120.3	116.9
5	116.8	111.4	115.3	113.2	119.2	111.9	113.3	119.8	112.9	108.5	112.7	112.3	120.2	116.9
6	116.8	111.3	115.0	112.6	118.9	112.0	112.9	119.8	112.6	108.3	112.1	112.4	120.1	116.9
7	116.8	111.2	115.0	112.0	118.5	112.0	112.5	119.7	112.1	108.2	111.6	112.4	119.9	116.9
8	116.6	111.0	114.9	111.5	118.0	111.8	112.0	119.3	111.6	108.0	111.0	112.2	119.8	116.9
9	116.3	110.6	114.9	110.9	117.2	111.4	111.5	118.7	110.9	107.9	110.3	111.8	119.6	116.9
10	115.7	110.0	114.7	110.2	116.3	110.9	111.0	117.7	110.0	107.6	109.5	111.2	119.3	116.9
11	115.0	109.3	114.5	109.4	115.2	110.3	110.4	116.4	109.1	107.1	108.6	110.5	118.9	116.9
12	114.2	108.6	114.1	108.6	114.1	109.7	109.9	114.9	108.1	106.5	107.8	109.7	118.3	116.9
13	113.4	107.8	113.7	107.9	113.1	109.2	109.5	113.3	107.2	105.7	107.1	108.9	117.6	116.9
14	112.6	107.2	113.3	107.3	112.3	108.9	109.2	111.9	106.4	104.8	106.5	108.1	116.9	116.9
