	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right GRF	Right GRF	Right GRF	Right GRF	Right GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	-0.0076	-0.0099	-0.0034	0.0003	-0.0018
2	-0.0313	-0.0317	-0.0235	-0.0091	-0.0274
3	-0.0443	-0.0472	-0.0397	-0.0312	-0.0468
4	-0.0388	-0.0486	-0.0355	-0.0347	-0.0332
5	-0.0278	-0.0389	-0.0263	-0.0248	-0.0231
6	-0.0153	-0.0234	-0.0138	-0.0152	-0.0178
7	-0.0060	-0.0109	0.0090	0.0114	-0.0082
8	-0.0094	-0.0076	0.0240	0.0344	-0.0169
9	-0.0181	-0.0054	0.0169	0.0265	-0.0334
10	-0.0127	0.0035	0.0115	0.0117	-0.0271
11	0.0093	0.0244	0.0217	0.0168	-0.0000
12	0.0347	0.0496	0.0426	0.0377	0.0280
13	0.0512	0.0669	0.0580	0.0570	0.0446
14	0.0557	0.0719	0.0603	0.0620	0.0481
15	0.0534	0.0687	0.0560	0.0578	0.0464
16	0.0489	0.0618	0.0519	0.0543	0.0428
17	0.0419	0.0507	0.0475	0.0508	0.0345
18	0.0326	0.0350	0.0413	0.0443	0.0222
19	0.0244	0.0199	0.0357	0.0363	0.0109
20	0.0206	0.0116	0.0337	0.0316	0.0043
21	0.0215	0.0116	0.0348	0.0319	0.0025
22	0.0253	0.0173	0.0374	0.0351	0.0048
23	0.0304	0.0257	0.0408	0.0400	0.0097
24	0.0353	0.0337	0.0437	0.0450	0.0150
25	0.0383	0.0396	0.0449	0.0479	0.0189
26	0.0386	0.0432	0.0438	0.0476	0.0204
27	0.0361	0.0442	0.0411	0.0438	0.0193
28	0.0315	0.0427	0.0373	0.0380	0.0162
29	0.0265	0.0392	0.0334	0.0320	0.0125
30	0.0222	0.0352	0.0301	0.0274	0.0094
31	0.0194	0.0311	0.0279	0.0250	0.0075
32	0.0184	0.0276	0.0267	0.0250	0.0068
33	0.0190	0.0251	0.0264	0.0262	0.0075
34	0.0206	0.0237	0.0267	0.0278	0.0091
35	0.0226	0.0236	0.0271	0.0289	0.0110
36	0.0243	0.0243	0.0273	0.0292	0.0128
37	0.0254	0.0253	0.0271	0.0285	0.0143
38	0.0258	0.0263	0.0265	0.0270	0.0151
39	0.0254	0.0271	0.0255	0.0251	0.0154
40	0.0244	0.0274	0.0244	0.0231	0.0152
41	0.0230	0.0273	0.0234	0.0212	0.0147
42	0.0213	0.0269	0.0224	0.0196	0.0141
43	0.0197	0.0264	0.0214	0.0182	0.0134
44	0.0183	0.0261	0.0204	0.0170	0.0128
45	0.0173	0.0257	0.0196	0.0159	0.0125
46	0.0167	0.0252	0.0191	0.0150	0.0126
47	0.0165	0.0248	0.0189	0.0141	0.0130
48	0.0164	0.0248	0.0189	0.0134	0.0136
49	0.0165	0.0253	0.0193	0.0128	0.0145
50	0.0167	0.0262	0.0199	0.0127	0.0155
51	0.0170	0.0276	0.0207	0.0131	0.0167
52	0.0175	0.0293	0.0217	0.0136	0.0180
53	0.0182	0.0308	0.0228	0.0140	0.0192
54	0.0192	0.0322	0.0243	0.0142	0.0206
55	0.0207	0.0336	0.0260	0.0146	0.0223
