	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right GRF	Right GRF	Right GRF	Right GRF	Right GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	0.0137	-0.0041	0.0112	0.0034	0.0120
2	0.0287	-0.0174	0.0214	0.0210	0.0457
3	0.0042	-0.0421	-0.0019	0.0159	0.0307
4	-0.0414	-0.0685	-0.0470	-0.0244	-0.0168
5	-0.0941	-0.0936	-0.0952	-0.0807	-0.0840
6	-0.1331	-0.1270	-0.1234	-0.1154	-0.1424
7	-0.1589	-0.1692	-0.1422	-0.1269	-0.1598
8	-0.1812	-0.1962	-0.1709	-0.1651	-0.1703
9	-0.1800	-0.1866	-0.1848	-0.1928	-0.1701
10	-0.1508	-0.1531	-0.1728	-0.1785	-0.1517
11	-0.1226	-0.1164	-0.1553	-0.1518	-0.1300
12	-0.1018	-0.0853	-0.1362	-0.1257	-0.1077
13	-0.0871	-0.0610	-0.1184	-0.1000	-0.0870
14	-0.0820	-0.0458	-0.1061	-0.0818	-0.0764
15	-0.0891	-0.0440	-0.1035	-0.0753	-0.0780
16	-0.1048	-0.0572	-0.1119	-0.0812	-0.0871
17	-0.1220	-0.0810	-0.1270	-0.0951	-0.0978
18	-0.1351	-0.1071	-0.1408	-0.1116	-0.1068
19	-0.1423	-0.1272	-0.1480	-0.1269	-0.1129
20	-0.1430	-0.1359	-0.1486	-0.1369	-0.1143
21	-0.1367	-0.1321	-0.1443	-0.1381	-0.1107
22	-0.1263	-0.1190	-0.1374	-0.1318	-0.1039
23	-0.1161	-0.1032	-0.1299	-0.1227	-0.0972
24	-0.1092	-0.0908	-0.1227	-0.1151	-0.0922
25	-0.1051	-0.0840	-0.1161	-0.1103	-0.0893
26	-0.1020	-0.0815	-0.1104	-0.1076	-0.0877
27	-0.0991	-0.0809	-0.1058	-0.1059	-0.0859
28	-0.0958	-0.0809	-0.1021	-0.1043	-0.0835
29	-0.0913	-0.0807	-0.0983	-0.1018	-0.0805
30	-0.0852	-0.0790	-0.0935	-0.0981	-0.0764
31	-0.0782	-0.0750	-0.0873	-0.0932	-0.0710
32	-0.0714	-0.0692	-0.0802	-0.0870	-0.0647
33	-0.0651	-0.0623	-0.0731	-0.0801	-0.0583
34	-0.0592	-0.0548	-0.0663	-0.0730	-0.0519
35	-0.0533	-0.0474	-0.0601	-0.0660	-0.0455
36	-0.0472	-0.0410	-0.0545	-0.0594	-0.0393
37	-0.0410	-0.0359	-0.0492	-0.0533	-0.0334
38	-0.0350	-0.0319	-0.0441	-0.0479	-0.0281
39	-0.0295	-0.0284	-0.0388	-0.0429	-0.0235
40	-0.0246	-0.0250	-0.0332	-0.0382	-0.0194
41	-0.0204	-0.0214	-0.0277	-0.0334	-0.0156
42	-0.0163	-0.0175	-0.0225	-0.0286	-0.0119
43	-0.0123	-0.0132	-0.0174	-0.0235	-0.0081
44	-0.0081	-0.0084	-0.0125	-0.0186	-0.0042
45	-0.0035	-0.0035	-0.0075	-0.0138	-0.0001
46	0.0012	0.0012	-0.0025	-0.0093	0.0039
47	0.0058	0.0056	0.0026	-0.0049	0.0078
48	0.0105	0.0096	0.0079	-0.0003	0.0118
