	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Hip Moment	Right Hip Moment	Right Hip Moment	Right Hip Moment	Right Hip Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	0.1034	0.0610	0.0739	0.0978	0.1188
2	-0.0174	-0.0527	-0.0570	-0.0405	0.0247
3	-0.0214	-0.0870	-0.0461	-0.1127	0.0315
4	0.0903	0.0081	0.0487	-0.0224	0.1509
5	0.1801	0.1030	0.2104	0.0732	0.2671
6	0.1122	0.0905	0.2662	0.1653	0.1860
7	0.1111	0.1350	0.2073	0.0240	0.1883
8	0.2942	0.3170	0.3405	0.1163	0.3916
9	0.4383	0.4506	0.4926	0.3000	0.5205
10	0.4780	0.4846	0.5143	0.3426	0.5502
11	0.5022	0.4867	0.5430	0.3676	0.5869
12	0.4988	0.4365	0.5724	0.3910	0.5773
13	0.4945	0.4005	0.5885	0.3801	0.5579
14	0.5326	0.4413	0.6309	0.4012	0.5766
15	0.5910	0.5128	0.6818	0.4506	0.6230
16	0.6486	0.5701	0.7291	0.5079	0.6802
17	0.6841	0.6009	0.7512	0.5483	0.7222
18	0.6804	0.6050	0.7472	0.5496	0.7356
19	0.6504	0.5881	0.7318	0.5216	0.7262
20	0.6204	0.5671	0.7178	0.4957	0.7182
21	0.6063	0.5495	0.7108	0.4963	0.7223
22	0.6123	0.5424	0.7114	0.5169	0.7389
23	0.6277	0.5480	0.7169	0.5376	0.7611
24	0.6387	0.5615	0.7209	0.5452	0.7762
25	0.6388	0.5744	0.7202	0.5373	0.7811
26	0.6292	0.5817	0.7148	0.5219	0.7755
27	0.6148	0.5816	0.7082	0.5071	0.7648
28	0.5993	0.5805	0.7036	0.4937	0.7549
29	0.5863	0.5805	0.6999	0.4819	0.7461
30	0.5771	0.5804	0.6994	0.4715	0.7417
31	0.5734	0.5844	0.7024	0.4640	0.7455
32	0.5733	0.5952	0.7078	0.4579	0.7525
33	0.5739	0.6127	0.7172	0.4560	0.7626
34	0.5753	0.6304	0.7306	0.4645	0.7747
35	0.5798	0.6448	0.7473	0.4761	0.7890
36	0.5918	0.6612	0.7707	0.4884	0.8102
37	0.6072	0.6815	0.8014	0.5043	0.8419
38	0.6226	0.7027	0.8355	0.5256	0.8774
39	0.6422	0.7251	0.8717	0.5529	0.9139
40	0.6650	0.7483	0.9077	0.5852	0.9495
41	0.6956	0.7719	0.9406	0.6152	0.9867
42	0.7260	0.7952	0.9732	0.6420	1.0245
43	0.7500	0.8185	1.0016	0.6700	1.0530
44	0.7649	0.8343	1.0219	0.6962	1.0607
45	0.7686	0.8345	1.0272	0.7073	1.0485
46	0.7586	0.8231	1.0146	0.7008	1.0349
47	0.7444	0.8110	0.9948	0.6855	1.0229
48	0.7370	0.8054	0.9795	0.6659	0.9953
49	0.7341	0.8090	0.9733	0.6473	0.9483
50	0.7172	0.7963	0.9636	0.6316	0.8886
51	0.6899	0.7605	0.9429	0.6112	0.8261
52	0.6491	0.7219	0.8900	0.5820	0.7473
53	0.5782	0.6717	0.8192	0.5207	0.6517
54	0.5110	0.6204	0.7419	0.4509	0.5588
55	0.4301	0.5348	0.6730	0.3807	0.4634
56	0.3352	0.4348	0.5836	0.2968	0.4018
57	0.2517	0.3446	0.4941	0.2381	0.3602
58	0.1915	0.2656	0.4152	0.2042	0.3021
59	0.1468	0.1936	0.3379	0.1631	0.2189
60	0.1044	0.1373	0.2575	0.1111	0.1562
61	0.0810	0.0982	0.1829	0.0822	0.1191
62	0.0666	0.0688	0.1212	0.0733	0.0843
63	0.0508	0.0280	0.0749	0.0642	0.0551
64	0.0120	-0.0245	0.0410	0.0367	0.0252
65	-0.0273	-0.0799	-0.0232	-0.0077	-0.0166
66	-0.0729	-0.0868	-0.0878	-0.0599	-0.0792
67	-0.0891	-0.0843	-0.0934	-0.0872	-0.0847
68	-0.0895	-0.0710	-0.0896	-0.0950	-0.0815
69	-0.0809	-0.0529	-0.0743	-0.0910	-0.0678
70	-0.0669	-0.0357	-0.0552	-0.0782	-0.0506
71	-0.0507	-0.0228	-0.0399	-0.0612	-0.0375
72	-0.0367	-0.0146	-0.0316	-0.0460	-0.0318
73	-0.0279	-0.0090	-0.0288	-0.0362	-0.0315
74	-0.0246	-0.0036	-0.0280	-0.0312	-0.0312
75	-0.0239	0.0034	-0.0260	-0.0274	-0.0279
76	-0.0224	0.0123	-0.0214	-0.0219	-0.0215
77	-0.0182	0.0224	-0.0144	-0.0141	-0.0143
78	-0.0108	0.0327	-0.0061	-0.0058	-0.0080
79	-0.0014	0.0420	0.0016	0.0006	-0.0030
80	0.0087	0.0497	0.0075	0.0048	0.0007
81	0.0178	0.0549	0.0113	0.0070	0.0022
82	0.0239	0.0569	0.0132	0.0075	0.0009
83	0.0257	0.0556	0.0137	0.0060	-0.0027
84	0.0233	0.0513	0.0126	0.0025	-0.0073
85	0.0181	0.0447	0.0093	-0.0027	-0.0111
86	0.0117	0.0365	0.0035	-0.0087	-0.0136
87	0.0054	0.0274	-0.0042	-0.0151	-0.0154
88	-0.0010	0.0180	-0.0125	-0.0213	-0.0170
89	-0.0075	0.0094	-0.0204	-0.0264	-0.0187
90	-0.0135	0.0031	-0.0274	-0.0290	-0.0200
91	-0.0176	-0.0001	-0.0330	-0.0283	-0.0211
92	-0.0189	-0.0008	-0.0373	-0.0245	-0.0224
93	-0.0181	-0.0010	-0.0404	-0.0192	-0.0239
94	-0.0172	-0.0020	-0.0426	-0.0135	-0.0244
95	-0.0168	-0.0033	-0.0440	-0.0065	-0.0218
96	-0.0154	-0.0028	-0.0431	0.0040	-0.0139
97	-0.0086	0.0025	-0.0367	0.0207	0.0015
98	0.0082	0.0149	-0.0211	0.0448	0.0259
99	0.0367	0.0353	0.0060	0.0746	0.0591
100	0.0745	0.0612	0.0435	0.1028	0.0968
101	0.1132	0.0848	0.0844	0.1161	0.1283
