	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Hip Moment	Right Hip Moment	Right Hip Moment	Right Hip Moment	Right Hip Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	0.3056	0.4148	0.3455	0.0246	0.0769
2	0.9013	0.7374	0.9777	0.8556	1.0324
3	0.1779	0.3565	0.3322	0.4111	0.3219
4	-0.1219	0.4729	0.0230	-0.0641	-0.1829
5	0.1468	0.4257	0.3462	0.3275	0.2646
6	0.1165	0.3729	0.2752	0.1782	0.4441
7	0.3228	0.5072	0.3405	0.2443	0.5178
8	0.4705	0.6629	0.4447	0.3703	0.6176
9	0.5703	0.8189	0.5657	0.5205	0.7266
10	0.5566	0.8499	0.6092	0.5681	0.6982
11	0.4473	0.7219	0.5641	0.5179	0.6148
12	0.3597	0.5511	0.4726	0.4253	0.5521
13	0.3422	0.4809	0.4320	0.3427	0.5254
14	0.3910	0.5524	0.4519	0.3279	0.5546
15	0.4645	0.6757	0.4925	0.3879	0.6062
16	0.4899	0.7235	0.5183	0.4419	0.6289
17	0.4634	0.6840	0.5198	0.4439	0.6142
18	0.4245	0.6189	0.4949	0.4082	0.5847
19	0.3869	0.5553	0.4507	0.3603	0.5572
20	0.3692	0.5141	0.4105	0.3231	0.5362
21	0.3654	0.4934	0.3875	0.3032	0.5260
22	0.3553	0.4799	0.3739	0.2967	0.5165
23	0.3385	0.4715	0.3587	0.2886	0.5003
24	0.3221	0.4536	0.3365	0.2768	0.4778
25	0.3082	0.4255	0.3095	0.2582	0.4485
26	0.2940	0.3958	0.2855	0.2345	0.4118
27	0.2746	0.3713	0.2691	0.2116	0.3736
28	0.2540	0.3541	0.2550	0.1952	0.3370
29	0.2370	0.3421	0.2411	0.1847	0.3072
30	0.2257	0.3251	0.2282	0.1751	0.2827
31	0.2161	0.3020	0.2173	0.1637	0.2602
32	0.2054	0.2752	0.2085	0.1520	0.2402
33	0.1942	0.2502	0.2004	0.1423	0.2215
34	0.1824	0.2268	0.1880	0.1355	0.2059
35	0.1712	0.2022	0.1748	0.1336	0.1902
36	0.1605	0.1802	0.1645	0.1305	0.1699
37	0.1476	0.1584	0.1578	0.1223	0.1484
38	0.1351	0.1320	0.1491	0.1139	0.1301
39	0.1167	0.1000	0.1327	0.1027	0.1095
40	0.0931	0.0659	0.1095	0.0845	0.0826
41	0.0664	0.0306	0.0840	0.0625	0.0515
42	0.0353	-0.0066	0.0596	0.0389	0.0204
43	-0.0007	-0.0436	0.0314	0.0121	-0.0069
44	-0.0387	-0.0742	-0.0005	-0.0154	-0.0344
45	-0.0864	-0.1062	-0.0384	-0.0446	-0.0755
46	-0.1437	-0.1469	-0.0856	-0.0837	-0.1225
47	-0.2051	-0.1988	-0.1378	-0.1327	-0.1590
48	-0.2582	-0.2585	-0.1816	-0.1822	-0.1839
49	-0.3041	-0.3232	-0.2210	-0.2228	-0.1992
50	-0.3539	-0.3447	-0.2673	-0.2565	-0.2146
51	-0.4062	-0.3807	-0.3194	-0.2871	-0.2403
52	-0.4340	-0.4020	-0.3378	-0.3157	-0.2909
53	-0.4613	-0.4254	-0.3550	-0.3276	-0.2969
54	-0.4910	-0.4389	-0.3744	-0.3568	-0.3045
55	-0.5070	-0.4463	-0.3891	-0.3692	-0.3155
56	-0.5302	-0.4507	-0.4026	-0.3915	-0.3131
57	-0.5372	-0.4158	-0.3977	-0.4018	-0.3115
58	-0.5119	-0.3412	-0.3627	-0.4022	-0.2962
59	-0.4627	-0.2405	-0.3139	-0.3941	-0.2469
60	-0.3915	-0.0867	-0.2330	-0.3415	-0.1647
61	-0.2760	-0.0848	-0.0845	-0.2428	-0.0508
62	-0.1950	-0.2786	-0.0718	-0.1261	-0.0361
63	-0.2864	-0.2264	-0.2797	-0.2070	-0.1579
64	-0.2632	-0.0849	-0.2520	-0.3322	-0.1861
65	-0.1315	0.0192	-0.1050	-0.1635	-0.0747
66	-0.0177	0.0009	0.0006	-0.0252	0.0399
67	-0.0122	-0.0225	-0.0065	-0.0181	0.0026
68	-0.0417	-0.0460	-0.0236	-0.0366	-0.0356
69	-0.0736	-0.0627	-0.0446	-0.0597	-0.0696
70	-0.0956	-0.0714	-0.0630	-0.0802	-0.0924
71	-0.1057	-0.0715	-0.0767	-0.0964	-0.1026
72	-0.1051	-0.0632	-0.0843	-0.1061	-0.1010
73	-0.0956	-0.0480	-0.0849	-0.1071	-0.0914
74	-0.0796	-0.0303	-0.0782	-0.0987	-0.0795
75	-0.0616	-0.0156	-0.0662	-0.0842	-0.0714
76	-0.0471	-0.0076	-0.0523	-0.0691	-0.0695
77	-0.0394	-0.0079	-0.0402	-0.0580	-0.0730
78	-0.0389	-0.0159	-0.0322	-0.0528	-0.0798
79	-0.0441	-0.0299	-0.0295	-0.0532	-0.0860
80	-0.0529	-0.0469	-0.0319	-0.0571	-0.0896
81	-0.0629	-0.0633	-0.0379	-0.0623	-0.0894
82	-0.0722	-0.0761	-0.0455	-0.0677	-0.0860
83	-0.0796	-0.0831	-0.0520	-0.0728	-0.0805
84	-0.0836	-0.0838	-0.0558	-0.0760	-0.0746
85	-0.0822	-0.0792	-0.0564	-0.0746	-0.0678
86	-0.0734	-0.0704	-0.0545	-0.0658	-0.0584
87	-0.0565	-0.0574	-0.0493	-0.0487	-0.0444
88	-0.0311	-0.0391	-0.0369	-0.0246	-0.0249
89	0.0013	-0.0136	-0.0144	0.0037	-0.0004
90	0.0392	0.0203	0.0199	0.0343	0.0275
91	0.0811	0.0619	0.0638	0.0659	0.0581
92	0.1245	0.1095	0.1130	0.0995	0.0920
93	0.1671	0.1597	0.1641	0.1366	0.1293
94	0.2064	0.2087	0.2135	0.1765	0.1668
95	0.2387	0.2495	0.2563	0.2142	0.1969
96	0.2592	0.2737	0.2856	0.2379	0.2094
97	0.2611	0.2694	0.2921	0.2333	0.1928
98	0.2357	0.2277	0.2656	0.1895	0.1375
99	0.1806	0.1481	0.2006	0.1094	0.0461
100	0.1072	0.0450	0.1038	0.0192	-0.0555
101	0.0407	-0.0516	0.0016	-0.0413	-0.1201
