	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-6.21	-9.63	-6.16	-7.79	-9.38	-9.24	-11.32	-10.19	-7.87	-9.07	-7.67	-14.22	-11.81	-0.20
2	-6.11	-9.38	-5.57	-7.77	-8.83	-8.74	-11.12	-10.09	-7.25	-9.17	-6.95	-13.47	-11.05	-0.20
3	-5.98	-9.09	-5.03	-7.67	-8.08	-8.16	-10.95	-10.03	-6.59	-9.36	-6.36	-12.63	-10.32	-0.20
4	-5.73	-8.71	-4.51	-7.36	-7.13	-7.49	-10.77	-9.95	-5.88	-9.60	-5.93	-11.71	-9.66	-0.20
5	-5.25	-8.20	-3.97	-6.74	-6.02	-6.67	-10.56	-9.77	-5.12	-9.81	-5.65	-10.70	-9.07	-0.20
6	-4.50	-7.55	-3.34	-5.75	-4.84	-5.68	-10.25	-9.41	-4.29	-9.86	-5.49	-9.64	-8.49	-0.20
7	-3.51	-6.78	-2.62	-4.47	-3.72	-4.58	-9.84	-8.82	-3.40	-9.70	-5.42	-8.58	-7.85	-0.20
8	-2.45	-5.99	-1.87	-3.11	-2.85	-3.48	-9.35	-8.08	-2.49	-9.36	-5.43	-7.62	-7.14	-0.20
9	-1.56	-5.27	-1.25	-1.97	-2.40	-2.57	-8.89	-7.34	-1.63	-8.97	-5.56	-6.90	-6.40	-0.20
10	-1.06	-4.75	-0.88	-1.28	-2.39	-1.98	-8.57	-6.76	-0.99	-8.69	-5.80	-6.47	-5.78	-0.20
11	-1.05	-4.46	-0.83	-1.14	-2.77	-1.76	-8.45	-6.46	-0.67	-8.60	-6.12	-6.33	-5.37	-0.20
12	-1.44	-4.41	-1.06	-1.47	-3.35	-1.88	-8.53	-6.48	-0.74	-8.68	-6.44	-6.40	-5.25	-0.19
13	-2.06	-4.55	-1.46	-2.05	-3.93	-2.26	-8.74	-6.75	-1.09	-8.87	-6.72	-6.59	-5.40	-0.19
14	-2.69	-4.84	-1.92	-2.67	-4.33	-2.81	-9.02	-7.21	-1.60	-9.11	-6.97	-6.85	-5.79	-0.19
15	-3.21	-5.22	-2.35	-3.15	-4.51	-3.46	-9.29	-7.75	-2.09	-9.37	-7.23	-7.14	-6.30	-0.19
16	-3.56	-5.62	-2.72	-3.44	-4.48	-4.12	-9.50	-8.31	-2.47	-9.64	-7.54	-7.42	-6.82	-0.19
17	-3.80	-6.01	-3.03	-3.54	-4.34	-4.73	-9.64	-8.83	-2.72	-9.91	-7.92	-7.66	-7.28	-0.19
18	-4.00	-6.33	-3.27	-3.52	-4.18	-5.24	-9.69	-9.25	-2.87	-10.16	-8.34	-7.84	-7.63	-0.19
19	-4.23	-6.55	-3.46	-3.47	-4.06	-5.61	-9.66	-9.53	-2.97	-10.35	-8.76	-7.93	-7.88	-0.19
