	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Knee Moment	Right Knee Moment	Right Knee Moment	Right Knee Moment	Right Knee Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	0.0860	0.0626	0.0897	0.0610	0.0806
2	0.0263	-0.0170	0.0555	0.0365	0.0987
3	-0.0480	-0.0859	-0.0237	-0.0824	0.0430
4	0.0121	0.0146	0.0178	-0.0723	0.1234
5	0.1081	0.1151	0.1996	0.0614	0.2926
6	0.0525	0.1191	0.2384	0.1049	0.2367
7	0.0754	0.1604	0.2017	0.0082	0.2401
8	0.2270	0.3005	0.3167	0.0993	0.3996
9	0.3273	0.3796	0.4303	0.2410	0.4813
10	0.3311	0.3736	0.4259	0.2485	0.4742
11	0.3187	0.3473	0.4179	0.2266	0.4737
12	0.2879	0.2841	0.4077	0.2008	0.4387
13	0.2606	0.2349	0.3959	0.1566	0.4009
14	0.2717	0.2517	0.4129	0.1482	0.3991
15	0.3049	0.2999	0.4424	0.1742	0.4262
16	0.3406	0.3426	0.4717	0.2101	0.4659
17	0.3617	0.3657	0.4834	0.2311	0.4964
18	0.3564	0.3669	0.4752	0.2232	0.5064
19	0.3332	0.3501	0.4568	0.1949	0.4978
20	0.3102	0.3290	0.4394	0.1683	0.4872
21	0.2972	0.3106	0.4287	0.1612	0.4835
22	0.2972	0.3003	0.4241	0.1698	0.4882
23	0.3041	0.2986	0.4229	0.1811	0.4977
24	0.3096	0.3021	0.4207	0.1843	0.5036
25	0.3078	0.3053	0.4153	0.1768	0.5037
26	0.2983	0.3049	0.4070	0.1632	0.4963
27	0.2839	0.2998	0.3979	0.1495	0.4849
28	0.2680	0.2946	0.3898	0.1373	0.4736
29	0.2546	0.2907	0.3828	0.1272	0.4629
30	0.2450	0.2871	0.3790	0.1189	0.4554
31	0.2401	0.2861	0.3788	0.1133	0.4533
32	0.2391	0.2896	0.3816	0.1093	0.4538
33	0.2397	0.2981	0.3878	0.1084	0.4564
34	0.2418	0.3076	0.3968	0.1136	0.4600
35	0.2461	0.3148	0.4080	0.1204	0.4652
36	0.2536	0.3222	0.4230	0.1276	0.4744
37	0.2617	0.3301	0.4412	0.1359	0.4897
38	0.2682	0.3371	0.4594	0.1468	0.5068
39	0.2757	0.3437	0.4771	0.1594	0.5249
40	0.2830	0.3495	0.4931	0.1741	0.5426
41	0.2927	0.3534	0.5064	0.1878	0.5608
42	0.3000	0.3550	0.5187	0.2000	0.5785
43	0.3016	0.3549	0.5276	0.2118	0.5892
44	0.2964	0.3501	0.5303	0.2208	0.5852
45	0.2838	0.3365	0.5230	0.2187	0.5673
46	0.2629	0.3174	0.5045	0.2041	0.5454
47	0.2398	0.3006	0.4824	0.1826	0.5216
48	0.2224	0.2907	0.4645	0.1576	0.4870
49	0.2113	0.2901	0.4544	0.1345	0.4410
50	0.1966	0.2864	0.4459	0.1159	0.3894
51	0.1809	0.2738	0.4351	0.0994	0.3405
52	0.1628	0.2641	0.4112	0.0833	0.2900
53	0.1326	0.2527	0.3814	0.0567	0.2425
54	0.1096	0.2450	0.3526	0.0331	0.2049
55	0.0845	0.2210	0.3323	0.0179	0.1709
56	0.0558	0.1899	0.3030	0.0014	0.1587
57	0.0366	0.1647	0.2750	0.0024	0.1600
58	0.0327	0.1449	0.2523	0.0187	0.1529
59	0.0381	0.1231	0.2275	0.0308	0.1302
